,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,7670,20617,Entire home/apt,,Ciutat Vella,119,4.5,2.0,,,55.0,2.0,41.386942,2.183842,2015-11-13 18:58:48.009865
1,11194,41161,Private room,,Ciutat Vella,63,4.5,2.0,1.0,,39.0,2.0,41.383905,2.181047,2015-11-13 14:04:57.539955
2,11318,38836,Entire home/apt,,Ciutat Vella,14,4.5,3.0,2.0,1.0,44.0,30.0,41.387442,2.177791,2015-11-06 04:11:11.538389
3,11368,42188,Entire home/apt,,Ciutat Vella,20,4.5,4.0,1.0,1.0,96.0,2.0,41.387507,2.178608,2015-11-06 05:39:08.987623
4,15090,59369,Entire home/apt,,Ciutat Vella,114,4.0,,1.0,1.0,84.0,2.0,41.383706,2.181556,2015-11-06 20:16:37.462965
5,18477,71164,Entire home/apt,,Eixample,64,5.0,4.0,2.0,1.0,35.0,30.0,41.377683,2.154875,2015-11-06 13:13:35.452722
6,18653,71615,Entire home/apt,,Eixample,0,,,2.0,1.0,124.0,2.0,41.409215,2.173868,2015-11-14 07:39:14.714112
7,18666,71615,Entire home/apt,,Sant Mart�,1,4.0,,2.0,1.0,104.0,,41.408886,2.185545,2015-11-06 17:48:09.717031
8,18674,71615,Entire home/apt,,Eixample,3,5.0,,3.0,2.0,106.0,,41.404197,2.173058,2015-11-06 19:21:50.672898
9,19157,73099,Private room,,Eixample,91,4.5,2.0,1.0,1.0,33.0,2.0,41.407929,2.17454,2015-11-14 13:12:52.769208
10,19246,73385,Private room,,Eixample,52,4.5,3.0,1.0,1.0,56.0,2.0,41.384167,2.150367,2015-11-06 15:27:54.459899
11,19552,74164,Entire home/apt,,Ciutat Vella,175,4.5,3.0,1.0,1.0,78.0,1.0,41.381082,2.174243,2015-11-07 01:51:58.530284
12,19954,75365,Entire home/apt,,Ciutat Vella,23,5.0,2.0,1.0,1.0,94.0,7.0,41.388269,2.176325,2015-11-14 09:54:40.371498
13,21158,80585,Private room,,Nou Barris,5,5.0,1.0,1.0,1.0,22.0,1.0,41.427495,2.172357,2015-11-06 05:18:34.713526
14,21974,73163,Private room,,Ciutat Vella,0,,2.0,1.0,1.0,67.0,4.0,41.380768,2.17551,2015-11-06 17:59:39.408497
15,28331,14621253,Entire home/apt,,Ciutat Vella,157,5.0,2.0,1.0,1.0,168.0,2.0,41.387015,2.179262,2015-11-06 11:16:04.712006
16,31377,134698,Private room,,Horta-Guinard�,1,5.0,2.0,1.0,1.0,45.0,1.0,41.410969,2.170701,2015-11-06 16:55:08.680388
17,31380,134698,Private room,,Horta-Guinard�,14,4.0,3.0,1.0,1.0,57.0,1.0,41.4109,2.170819,2015-11-06 18:37:06.318645
18,31823,136853,Entire home/apt,,Eixample,7,4.5,,2.0,1.0,127.0,,41.387336,2.159215,2015-11-07 00:13:30.901735
19,31826,136853,Entire home/apt,,Ciutat Vella,12,4.5,4.0,2.0,1.0,63.0,60.0,41.38177,2.187106,2015-11-06 14:13:12.358112
20,31831,136853,Private room,,Gr�cia,0,,,1.0,1.0,243.0,,41.398466,2.157697,2015-11-06 03:39:50.863985
21,31845,136853,Entire home/apt,,Gr�cia,0,,4.0,2.0,1.0,185.0,,41.398907,2.160085,2015-11-06 23:00:18.362750
22,31846,136853,Entire home/apt,,Gr�cia,0,,4.0,1.0,1.0,150.0,,41.398423,2.158638,2015-11-06 09:22:34.882508
23,31958,136853,Entire home/apt,,Gr�cia,43,4.5,4.0,1.0,1.0,126.0,,41.409555,2.15924,2015-11-06 09:06:00.024740
24,32471,136853,Entire home/apt,,Gr�cia,20,4.5,,3.0,,161.0,,41.408972,2.159313,2015-11-07 00:07:56.935081
25,32480,136853,Entire home/apt,,Ciutat Vella,18,4.5,,3.0,2.0,69.0,62.0,41.388725,2.177917,2015-11-06 19:57:59.739967
26,32711,135703,Entire home/apt,,Gr�cia,11,4.5,,2.0,,130.0,2.0,41.404636,2.169538,2015-11-06 10:37:35.194482
27,32868,136853,Entire home/apt,,Eixample,35,4.5,,3.0,2.0,183.0,,41.395659,2.174168,2015-11-13 18:33:21.003371
28,32911,142622,Private room,,Ciutat Vella,9,4.0,2.0,1.0,1.0,50.0,1.0,41.386158,2.181544,2015-11-13 16:27:08.937929
29,33718,136853,Entire home/apt,,Eixample,10,4.5,,3.0,2.0,132.0,3.0,41.398566,2.175273,2015-11-06 20:35:32.798614
30,34236,73163,Private room,,Ciutat Vella,4,4.0,2.0,1.0,,66.0,1.0,41.378534,2.177443,2015-11-13 20:21:03.583227
31,34924,136853,Entire home/apt,,Sant Mart�,2,5.0,5.0,2.0,1.0,185.0,,41.394099,2.202205,2015-11-06 14:27:06.466859
32,35318,152070,Private room,,Ciutat Vella,167,4.5,2.0,1.0,2.0,73.0,3.0,41.381451,2.17544,2015-11-06 04:40:10.755195
33,35379,152232,Private room,,Eixample,29,4.5,2.0,1.0,2.0,50.0,2.0,41.390292,2.152678,2015-11-06 12:44:20.854164
34,35388,152232,Private room,,Eixample,34,4.5,1.0,1.0,2.0,31.0,2.0,41.390584,2.151897,2015-11-14 08:35:50.398556
35,35390,152232,Private room,,Eixample,15,4.5,1.0,1.0,2.0,31.0,2.0,41.391467,2.151185,2015-11-13 23:16:33.644677
36,35392,152232,Private room,,Eixample,7,4.5,2.0,1.0,2.0,53.0,2.0,41.390752,2.150717,2015-11-06 10:03:04.812852
37,36061,73163,Private room,,Ciutat Vella,3,4.5,2.0,1.0,,65.0,4.0,41.380304,2.176919,2015-11-06 12:16:51.444555
38,36463,156814,Entire home/apt,,Ciutat Vella,72,5.0,3.0,1.0,1.0,72.0,5.0,41.387253,2.181467,2015-11-14 11:50:58.998144
39,36763,158596,Private room,,Ciutat Vella,17,4.5,1.0,1.0,1.0,39.0,3.0,41.379064,2.191414,2015-11-06 06:46:14.324215
40,36769,131794,Entire home/apt,,Ciutat Vella,179,4.5,,2.0,1.0,111.0,,41.387244,2.175627,2015-11-06 20:08:43.457851
41,39760,74164,Entire home/apt,,Ciutat Vella,6,4.0,5.0,4.0,,112.0,1.0,41.383617,2.183628,2015-11-06 16:25:51.283942
