,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,24234,97810,Entire home/apt,Bologna,Bologn,33,4.5,4.0,1.0,1.0,64.0,2.0,44.485579,11.338807,2016-02-07 06:52:41.429893
1,42196,184487,Entire home/apt,Bologna,Bologn,123,4.5,2.0,1.0,1.0,78.0,3.0,44.485071,11.347864,2016-02-07 07:11:52.810942
2,70463,357202,Shared room,Bologna,Bologn,2,3.0,4.0,1.0,1.0,80.0,1.0,44.495792,11.331965,2016-02-07 07:12:38.662611
3,81499,281319,Entire home/apt,Bologna,Bologn,98,5.0,4.0,2.0,2.0,115.0,1.0,44.504188,11.373656,2016-02-07 06:39:18.011771
4,110319,567356,Private room,Bologna,Bologn,225,4.5,2.0,1.0,0.0,35.0,1.0,44.492008,11.356508,2016-02-07 06:37:10.283264
5,115553,584685,Private room,Bologna,Bologn,101,5.0,4.0,1.0,,68.0,1.0,44.436875,11.341544,2016-02-07 06:31:40.431402
6,158499,760991,Private room,Bologna,Bologn,33,4.5,3.0,1.0,1.0,58.0,1.0,44.493084,11.346332,2016-02-07 07:11:03.739077
7,174096,831542,Private room,Bologna,Bologn,42,5.0,2.0,1.0,2.0,52.0,1.0,44.503704,11.30145,2016-02-07 07:14:05.852575
8,174609,834262,Private room,Bologna,Bologn,2,3.0,1.0,1.0,0.0,33.0,1.0,44.510513,11.272954,2016-02-07 06:58:25.542148
9,204553,569422,Private room,Bologna,Bologn,141,5.0,2.0,1.0,2.0,50.0,2.0,44.491049,11.339822,2016-02-07 06:52:00.237872
10,209096,1030083,Private room,Modena,Moden,1,5.0,2.0,1.0,1.0,69.0,1.0,44.645341,10.934022,2016-02-07 06:33:03.787116
11,219878,1139326,Entire home/apt,Bologna,Bologn,75,5.0,3.0,1.0,1.0,98.0,3.0,44.486822,11.354833,2016-02-07 06:34:10.758324
12,228124,1189801,Entire home/apt,Bologna,Bologn,33,4.5,4.0,2.0,1.0,69.0,2.0,44.504614,11.36924,2016-02-07 07:12:01.138345
13,242237,1271350,Entire home/apt,Bologna,Bologn,96,4.5,4.0,1.0,1.0,69.0,1.0,44.491976,11.336644,2016-02-07 07:18:33.441049
14,272379,1425492,Entire home/apt,Bologna,Bologn,36,4.5,5.0,2.0,1.0,40.0,1.0,44.491575,11.387345,2016-02-07 06:33:49.254370
