,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,15112,59427,Entire home/apt,,Saint-Michel - Nansouty - Saint-Genès,103,4.5,3.0,1.0,1.0,69.0,2.0,44.834404,-0.567761,2016-03-17 13:13:55.409659
1,15112,59427,Entire home/apt,,Bordeaux,103,4.5,3.0,1.0,1.0,69.0,2.0,44.834404,-0.567761,2016-03-17 13:13:55.409659
2,28925,124398,Private room,,Centre ville,0,,2.0,1.0,2.0,28.0,1.0,44.849101,-0.593501,2016-03-17 10:53:50.998279
3,28925,124398,Private room,,Bordeaux,0,,2.0,1.0,2.0,28.0,1.0,44.849101,-0.593501,2016-03-17 10:53:50.998279
4,40151,165163,Entire home/apt,,Bordeaux,25,4.5,2.0,1.0,1.0,81.0,3.0,44.856533,-0.574601,2016-03-17 11:27:22.911599
5,40151,165163,Entire home/apt,,Bordeaux Maritime,25,4.5,2.0,1.0,1.0,81.0,3.0,44.856533,-0.574601,2016-03-17 11:27:22.911599
6,178337,853391,Entire home/apt,,Victor Hugo - Saint-Augustin,8,4.5,4.0,1.0,,74.0,3.0,44.829608,-0.606971,2016-03-17 11:57:01.564696
7,178337,853391,Entire home/apt,,Bordeaux,8,4.5,4.0,1.0,,74.0,3.0,44.829608,-0.606971,2016-03-17 11:57:01.564696
8,185534,890736,Private room,,Bordeaux,0,,2.0,1.0,3.0,85.0,1.0,44.830634,-0.593309,2016-03-17 12:44:30.173825
9,185534,890736,Private room,,Victor Hugo - Saint-Augustin,0,,2.0,1.0,3.0,85.0,1.0,44.830634,-0.593309,2016-03-17 12:44:30.173825
10,222887,1156398,Entire home/apt,,Bordeaux,8,5.0,4.0,2.0,,177.0,3.0,44.835159,-0.565349,2016-03-17 10:46:27.661156
11,222887,1156398,Entire home/apt,,Saint-Michel - Nansouty - Saint-Genès,8,5.0,4.0,2.0,,177.0,3.0,44.835159,-0.565349,2016-03-17 10:46:27.661156
12,286581,1491084,Entire home/apt,,Bordeaux,71,5.0,4.0,1.0,1.0,109.0,1.0,44.837695,-0.573713,2016-03-17 13:11:35.949238
