,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,8521,306681,Entire home/apt,,West Cambridge,23,4.5,5,2.0,1.0,200.0,4.0,42.383289,-71.13617,2016-09-30 03:34:41.525010
1,8533,25188,Entire home/apt,,East Cambridge,3,5.0,3,1.0,1.0,249.0,3.0,42.364061,-71.083592,2016-09-30 05:10:08.585240
2,10745,1312,Private room,,Cambridgeport,468,5.0,2,1.0,2.0,109.0,1.0,42.362988,-71.106521,2016-09-30 05:35:41.501494
3,11169,40965,Private room,,North Cambridge,118,4.5,3,1.0,1.0,115.0,2.0,42.395181,-71.132928,2016-09-30 06:02:13.938229
4,11945,40965,Private room,,North Cambridge,23,5.0,2,1.0,1.0,85.0,3.0,42.394537,-71.13431,2016-09-30 05:11:12.897218
5,13551,53093,Private room,,Mid-Cambridge,86,4.0,2,1.0,0.0,115.0,2.0,42.367778,-71.103524,2016-09-30 03:32:41.845505
6,13827,53093,Private room,,Mid-Cambridge,122,4.0,2,1.0,0.0,110.0,2.0,42.367841,-71.103344,2016-09-30 07:07:13.021556
7,13828,53093,Private room,,Mid-Cambridge,126,4.0,1,1.0,,95.0,2.0,42.367119,-71.10419,2016-09-30 05:37:45.279196
8,13834,53093,Private room,,Mid-Cambridge,138,4.0,2,1.0,0.0,110.0,2.0,42.369288,-71.104153,2016-09-30 05:09:15.355661
9,19581,74249,Private room,,Area Four,5,4.0,1,1.0,1.0,125.0,5.0,42.362759,-71.097648,2016-09-30 05:58:47.928984
10,22006,84280,Private room,,Neighborhood Nine,28,4.5,2,1.0,,120.0,2.0,42.386696,-71.123873,2016-09-30 03:40:09.417424
11,22684,87398,Entire home/apt,,West Cambridge,2,,4,2.0,1.0,299.0,1.0,42.373663,-71.122299,2016-09-30 06:48:44.708268
12,27498,74249,Private room,,Area Four,8,4.0,2,1.0,1.0,155.0,4.0,42.36381,-71.097541,2016-09-30 05:33:26.391344
13,29185,53093,Entire home/apt,,Mid-Cambridge,127,4.0,4,1.0,1.0,135.0,2.0,42.368721,-71.105525,2016-09-30 04:02:35.081835
14,30220,130306,Private room,,Area Four,134,4.0,1,1.0,1.0,70.0,1.0,42.364132,-71.093869,2016-09-30 05:35:18.348046
15,38363,25188,Entire home/apt,,East Cambridge,14,4.5,5,2.0,2.0,389.0,3.0,42.364551,-71.083643,2016-09-30 05:59:38.713447
16,53820,53093,Private room,,Mid-Cambridge,110,4.0,2,1.0,0.0,110.0,2.0,42.367716,-71.105178,2016-09-30 04:17:04.186058
17,53823,53093,Private room,,Mid-Cambridge,100,4.0,1,1.0,0.0,95.0,2.0,42.369313,-71.105014,2016-09-30 04:55:04.043873
18,56083,53093,Private room,,Mid-Cambridge,106,4.0,2,1.0,0.0,110.0,2.0,42.367814,-71.10325,2016-09-30 06:48:04.693434
19,69365,347182,Entire home/apt,,Wellington-Harrington,10,5.0,3,2.0,1.0,195.0,6.0,42.369139,-71.093342,2016-09-30 04:44:15.556946
20,79762,430015,Entire home/apt,,Mid-Cambridge,207,5.0,5,2.0,1.0,200.0,3.0,42.370572,-71.100294,2016-09-30 04:45:44.436627
21,106474,74249,Private room,,Area Four,5,4.5,3,1.0,1.0,180.0,5.0,42.362702,-71.096449,2016-09-30 05:15:03.182063
22,108898,306681,Entire home/apt,,West Cambridge,12,4.5,4,2.0,1.0,175.0,2.0,42.383773,-71.135433,2016-09-30 06:52:59.347427
23,124998,622255,Private room,,Mid-Cambridge,245,5.0,2,1.0,1.0,100.0,2.0,42.372745,-71.106704,2016-09-30 04:20:37.330100
24,164449,25188,Entire home/apt,,East Cambridge,2,,4,2.0,1.0,349.0,4.0,42.367177,-71.082502,2016-09-30 05:54:29.210023
25,170371,66472,Private room,,North Cambridge,105,4.5,4,1.0,1.0,102.0,1.0,42.395351,-71.135857,2016-09-30 05:30:14.441084
26,170461,66472,Private room,,North Cambridge,61,4.5,3,1.0,1.0,77.0,1.0,42.39536,-71.135761,2016-09-30 04:46:48.538238
27,190784,921752,Private room,,East Cambridge,142,5.0,1,1.0,0.0,95.0,3.0,42.366909,-71.082515,2016-09-30 06:48:40.856111
28,195545,25188,Entire home/apt,,East Cambridge,5,5.0,2,1.0,1.0,349.0,3.0,42.363766,-71.084338,2016-09-30 03:36:03.615371
29,217548,25188,Entire home/apt,,East Cambridge,4,5.0,2,1.0,1.0,289.0,7.0,42.36414,-71.082244,2016-09-30 05:18:47.187611
30,219471,444945,Entire home/apt,,Cambridgeport,35,4.5,3,1.0,1.0,120.0,2.0,42.361087,-71.104255,2016-09-30 05:18:17.154709
31,222060,1152305,Entire home/apt,,Neighborhood Nine,82,4.5,3,1.0,1.0,125.0,3.0,42.384954,-71.136167,2016-09-30 05:02:23.416500
