,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,68262,237662,Private room,Ottersberg,Ottersber,0,,1.0,1.0,1.0,20.0,3.0,53.110806,9.14059,2016-01-05 21:40:27.908859
1,82500,445419,Private room,Bassum,Bassu,13,4.5,,1.0,4.0,37.0,1.0,52.845941,8.741372,2016-01-05 22:12:23.703705
2,190822,922059,Entire home/apt,Bremen,Breme,58,5.0,2.0,1.0,,64.0,2.0,53.080375,8.815094,2016-01-05 22:02:39.425414
3,192776,934115,Entire home/apt,Brake,Brak,74,4.0,,1.0,2.0,18.0,1.0,53.352849,8.465522,2016-01-05 21:41:20.261589
4,198326,967828,Entire home/apt,Bremen,Breme,23,4.5,4.0,1.0,1.0,56.0,1.0,53.097866,8.782125,2016-01-05 21:54:49.002645
5,261250,1370253,Private room,Hoyerhagen,Hoyerhage,19,4.5,5.0,1.0,,23.0,1.0,52.809371,9.085558,2016-01-05 21:45:35.634715
6,263816,1384310,Private room,Rotenburg an der W�mme,Rotenburg an der W�mm,9,5.0,1.0,1.0,1.0,34.0,2.0,53.113104,9.389831,2016-01-05 22:11:57.259024
7,273117,1429134,Private room,Bremen,Breme,126,5.0,2.0,1.0,1.0,30.0,1.0,53.09159,8.802771,2016-01-05 22:12:18.192311
8,289849,1504538,Private room,Bremen,Breme,2,4.0,1.0,1.0,1.0,45.0,1.0,53.207615,8.588903,2016-01-05 21:54:16.494604
9,289860,1504538,Private room,Bremen,Breme,0,,2.0,1.0,,50.0,1.0,53.209258,8.58774,2016-01-05 21:48:52.113383
10,295813,1527043,Private room,Bremen,Breme,27,5.0,1.0,1.0,,34.0,3.0,53.079362,8.824973,2016-01-05 21:41:33.035595
11,295827,1527043,Private room,Bremen,Breme,3,5.0,2.0,1.0,1.0,56.0,2.0,53.077612,8.825113,2016-01-05 22:12:35.139081
12,295837,1527043,Private room,Bremen,Breme,5,5.0,2.0,1.0,,45.0,2.0,53.079668,8.825422,2016-01-05 21:56:21.789360
13,295843,1527043,Private room,Bremen,Breme,11,4.5,2.0,1.0,0.0,45.0,2.0,53.07984,8.824047,2016-01-05 21:44:10.656669
14,295871,1527043,Private room,Bremen,Breme,10,4.5,4.0,1.0,,56.0,3.0,53.079232,8.824023,2016-01-05 22:13:41.316512
15,295881,1527043,Private room,Bremen,Breme,2,5.0,4.0,1.0,,56.0,2.0,53.078118,8.824208,2016-01-05 21:57:14.601060
16,296019,1527508,Private room,Bremen,Breme,26,4.5,2.0,1.0,1.0,51.0,2.0,53.082281,8.808015,2016-01-05 21:59:35.052040
17,296039,1527558,Entire home/apt,Bremen,Breme,1,,4.0,1.0,1.0,93.0,1.0,53.072628,8.820416,2016-01-05 22:13:56.466521
18,303102,1379537,Entire home/apt,Bremen,Breme,71,4.5,4.0,1.0,1.0,58.0,2.0,53.081075,8.808122,2016-01-05 22:01:21.403798
19,304177,1527633,Entire home/apt,Bremen,Breme,0,,2.0,1.0,0.0,81.0,7.0,53.062518,8.792525,2016-01-05 22:05:20.613188
20,304333,1527633,Entire home/apt,Bremen,Breme,0,,3.0,1.0,0.0,92.0,7.0,53.063376,8.791787,2016-01-05 22:07:59.511564
21,308054,1527633,Entire home/apt,Bremen,Breme,0,,2.0,1.0,1.0,92.0,7.0,53.061643,8.791372,2016-01-05 21:41:50.053919
22,308064,1527633,Entire home/apt,Bremen,Breme,0,,4.0,2.0,1.0,91.0,7.0,53.063953,8.790894,2016-01-05 22:12:44.682708
23,309894,1504538,Private room,Bremen,Breme,0,,1.0,1.0,,45.0,1.0,53.207257,8.588592,2016-01-05 21:55:42.235868
24,309924,1504538,Private room,Bremen,Breme,1,4.0,2.0,1.0,,50.0,1.0,53.207221,8.587839,2016-01-05 21:44:50.759221
25,346912,1758860,Private room,Bremen,Breme,2,4.0,2.0,1.0,,55.0,2.0,53.067698,8.788836,2016-01-05 22:03:39.358806
26,349115,1758860,Entire home/apt,Bremen,Breme,3,4.5,,4.0,2.0,179.0,2.0,53.069224,8.789033,2016-01-05 22:01:13.041674
27,355145,1797960,Private room,Bremen,Breme,0,,3.0,1.0,1.0,34.0,1.0,53.209809,8.588168,2016-01-05 22:14:59.956594
28,430265,2138823,Entire home/apt,Hambergen,Hamberge,52,5.0,4.0,2.0,1.0,54.0,2.0,53.277933,8.829319,2016-01-05 22:09:07.794572
29,434662,1767612,Entire home/apt,Bremen,Breme,3,2.5,2.0,1.0,1.0,67.0,2.0,53.092946,8.806851,2016-01-05 21:50:58.262906
30,465418,1988026,Entire home/apt,Bremen,Breme,117,4.5,2.0,1.0,1.0,55.0,1.0,53.080376,8.829525,2016-01-05 21:58:20.776179
31,556253,934115,Private room,Brake,Brak,33,4.0,,1.0,2.0,18.0,1.0,53.352744,8.465483,2016-01-05 22:15:06.621063
32,633933,3156191,Entire home/apt,Kirchlinteln,Kirchlintel,10,4.5,2.0,1.0,1.0,39.0,2.0,52.944573,9.32775,2016-01-05 22:10:40.327277
33,636386,934115,Private room,Brake,Brak,27,4.5,6.0,1.0,2.0,18.0,1.0,53.352086,8.465079,2016-01-05 21:45:10.048539
34,638686,3186964,Private room,Bremen,Breme,13,5.0,2.0,1.0,1.0,34.0,2.0,53.117329,8.907522,2016-01-05 22:08:43.155324
35,644336,3153010,Entire home/apt,Bremen,Breme,0,,3.0,1.0,,67.0,1.0,53.164627,8.738884,2016-01-05 21:58:35.576712
36,645771,3234521,Entire home/apt,Thedinghausen,Thedinghause,9,5.0,4.0,1.0,1.0,50.0,1.0,52.938598,9.103958,2016-01-05 22:13:01.531108
37,658004,1988026,Entire home/apt,Bremen,Breme,69,4.5,,1.0,1.0,60.0,1.0,53.074921,8.833809,2016-01-05 22:02:30.274530
38,659491,3327098,Private room,Bremen,Breme,198,4.5,2.0,1.0,1.0,34.0,1.0,53.089226,8.807595,2016-01-05 22:00:41.592172
39,669489,3396198,Entire home/apt,Gro� Ippener,Gro� Ippene,28,5.0,2.0,1.0,1.0,57.0,2.0,52.997639,8.620174,2016-01-05 22:06:41.556213
40,680939,3467496,Entire home/apt,Bremen,Breme,55,4.5,4.0,1.0,1.0,50.0,1.0,53.112712,8.752728,2016-01-05 22:04:02.976188
41,685940,3498852,Private room,Bremen,Breme,5,5.0,3.0,1.0,1.0,56.0,2.0,53.071057,8.84987,2016-01-05 22:07:55.663552
42,689494,3522310,Private room,Bremen,Breme,140,4.5,2.0,1.0,1.0,45.0,1.0,53.073564,8.81205,2016-01-05 22:15:18.431830
43,719021,3534490,Private room,Bremen,Breme,52,5.0,1.0,1.0,,28.0,1.0,53.096851,8.807499,2016-01-05 22:07:26.588184
44,720235,3534490,Private room,Bremen,Breme,39,5.0,2.0,1.0,,32.0,1.0,53.09209,8.813694,2016-01-05 22:14:23.285747
45,727664,3534490,Private room,Bremen,Breme,9,5.0,2.0,1.0,1.0,40.0,1.0,53.095959,8.814204,2016-01-05 22:13:20.762166
46,739504,3867911,Entire home/apt,Stuhr,Stuh,2,5.0,2.0,2.0,1.0,44.0,2.0,53.051195,8.765453,2016-01-05 22:12:11.242333
47,748845,1988026,Entire home/apt,Bremen,Breme,72,4.5,2.0,1.0,1.0,55.0,1.0,53.076197,8.831901,2016-01-05 21:47:31.763222
48,799662,4210014,Entire home/apt,Bremen,Breme,5,5.0,4.0,1.0,1.0,64.0,3.0,53.081085,8.821742,2016-01-05 22:12:01.591078
49,799675,4210014,Entire home/apt,Bremen,Breme,7,4.5,,2.0,2.0,110.0,3.0,53.081042,8.820434,2016-01-05 22:15:30.565214
50,800954,4216321,Entire home/apt,Bremen,Breme,38,5.0,2.0,1.0,1.0,50.0,3.0,53.06625,8.791341,2016-01-05 21:45:56.045434
51,809712,4210014,Entire home/apt,Bremen,Breme,8,4.5,4.0,1.0,1.0,53.0,3.0,53.081455,8.821423,2016-01-05 22:09:36.142607
52,809744,4210014,Entire home/apt,Bremen,Breme,2,4.5,4.0,1.0,1.0,53.0,3.0,53.081199,8.820215,2016-01-05 22:01:59.494714
53,814742,4258246,Private room,Oldenburg,Oldenbur,13,4.5,2.0,1.0,,34.0,1.0,53.148233,8.218311,2016-01-05 21:48:48.722596
54,881438,2936249,Entire home/apt,Bremen,Breme,13,5.0,4.0,1.0,1.0,84.0,1.0,53.092597,8.802904,2016-01-05 21:56:30.309163
55,903801,4831932,Entire home/apt,Bremen,Breme,3,5.0,2.0,1.0,1.0,54.0,3.0,53.098015,8.783846,2016-01-05 21:51:11.016750
56,993958,5460093,Entire home/apt,Berne,Bern,11,5.0,2.0,1.0,1.0,62.0,2.0,53.175441,8.506379,2016-01-05 22:02:42.497619
57,1016760,5460093,Private room,Berne,Bern,5,5.0,4.0,1.0,1.0,84.0,2.0,53.17599,8.505776,2016-01-05 21:58:11.875595
58,1023033,4615082,Private room,Bremen,Breme,41,4.5,2.0,1.0,1.0,32.0,2.0,53.173553,8.706303,2016-01-05 21:45:04.375324
59,1067862,5875683,Entire home/apt,Bremen,Breme,0,,4.0,1.0,1.0,64.0,2.0,53.045128,8.950877,2016-01-05 21:55:46.968845
60,1067866,5875683,Entire home/apt,Bremen,Breme,4,5.0,4.0,1.0,1.0,64.0,2.0,53.046005,8.949773,2016-01-05 22:10:56.090591
61,1106183,6073494,Private room,Bremen,Breme,0,,1.0,1.0,,54.0,1.0,53.076839,8.834066,2016-01-05 21:44:03.149728
62,1109361,5875683,Entire home/apt,Bremen,Breme,26,4.5,,3.0,1.0,73.0,2.0,53.07219,8.869875,2016-01-05 22:09:31.087802
63,1164517,6379378,Entire home/apt,Bremen,Breme,6,5.0,2.0,1.0,1.0,62.0,3.0,53.065173,8.889065,2016-01-05 21:48:08.448935
64,1164740,6102504,Private room,Bremen,Breme,9,5.0,2.0,1.0,1.0,32.0,3.0,53.061697,8.873761,2016-01-05 22:11:34.038552
65,1192723,3522310,Private room,Bremen,Breme,22,4.5,2.0,1.0,1.0,56.0,1.0,53.077808,8.810759,2016-01-05 21:53:03.300843
66,1245098,6659957,Entire home/apt,Hambergen,Hamberge,18,5.0,4.0,2.0,1.0,39.0,1.0,53.27846,8.830135,2016-01-05 22:03:06.503556
67,1257554,6659957,Entire home/apt,Hambergen,Hamberge,32,5.0,4.0,2.0,1.0,62.0,2.0,53.277012,8.829116,2016-01-05 21:56:26.020016
68,1257635,6850630,Private room,Bremen,Breme,23,4.5,2.0,1.0,1.0,44.0,1.0,53.08966,8.842338,2016-01-05 21:57:11.641391
69,1259280,6857584,Shared room,Bremen,Breme,0,,2.0,1.0,1.0,112.0,1.0,53.069827,8.948213,2016-01-05 22:02:03.639685
70,1399746,7560164,Entire home/apt,Hatten,Hatte,20,4.5,5.0,2.0,1.0,39.0,1.0,53.071492,8.272744,2016-01-05 22:06:47.938279
71,1424553,4977656,Entire home/apt,Oldenburg,Oldenbur,20,5.0,2.0,1.0,1.0,67.0,2.0,53.138304,8.215715,2016-01-05 21:56:04.433081
72,1432112,4831932,Entire home/apt,Bremen,Breme,4,5.0,,3.0,2.0,159.0,3.0,53.098386,8.786754,2016-01-05 21:57:18.336296
73,1479214,7915170,Private room,Bremen,Breme,26,4.5,2.0,1.0,,32.0,2.0,53.053738,8.893931,2016-01-05 22:03:19.668400
74,1495649,7994530,Entire home/apt,Bremen,Breme,23,4.5,2.0,1.0,1.0,62.0,2.0,53.08044,8.827223,2016-01-05 21:40:30.567768
75,1513983,6379378,Entire home/apt,Bremen,Breme,6,4.5,1.0,1.0,1.0,43.0,3.0,53.063772,8.890599,2016-01-05 21:55:00.066572
76,1518466,8061733,Private room,Bremen,Breme,3,4.5,2.0,1.0,,45.0,1.0,53.079421,8.816947,2016-01-05 21:46:08.982421
77,1578136,8388153,Private room,Bremen,Breme,82,4.5,2.0,1.0,1.0,39.0,1.0,53.076665,8.824803,2016-01-05 22:13:44.133998
78,1600106,7947447,Entire home/apt,Bremen,Breme,10,4.5,2.0,1.0,1.0,55.0,1.0,53.08351,8.824837,2016-01-05 22:08:04.884732
79,1655622,8777548,Entire home/apt,Bremen,Breme,0,,2.0,1.0,1.0,56.0,3.0,53.06302,8.876298,2016-01-05 21:52:02.617788
80,1668235,8777548,Entire home/apt,Bremen,Breme,12,5.0,2.0,1.0,1.0,44.0,14.0,53.094908,8.778097,2016-01-05 21:58:15.845376
81,1764803,9275549,Entire home/apt,Bremen,Breme,15,4.5,2.0,1.0,1.0,50.0,2.0,53.072124,8.832131,2016-01-05 22:08:14.564316
82,1776539,9327745,Entire home/apt,Bremen,Breme,38,4.5,,2.0,,168.0,2.0,53.087191,8.819922,2016-01-05 21:42:16.660623
83,1777963,2668955,Entire home/apt,Stuhr,Stuh,11,5.0,5.0,3.0,1.0,95.0,2.0,53.031816,8.701492,2016-01-05 21:54:40.755695
84,1831215,9379534,Private room,Bremen,Breme,1,5.0,2.0,1.0,1.0,21.0,2.0,53.070412,8.849793,2016-01-05 21:58:26.455669
85,1848234,9654324,Entire home/apt,D�tlingen,D�tlinge,0,,4.0,1.0,1.0,54.0,2.0,52.964216,8.34808,2016-01-05 21:59:23.251952
86,1876402,8601053,Entire home/apt,Oldenburg,Oldenbur,29,5.0,4.0,2.0,1.0,66.0,2.0,53.152382,8.222732,2016-01-05 22:09:19.070291
87,1885420,1988026,Private room,Bremen,Breme,41,4.5,2.0,1.0,1.0,48.0,1.0,53.077088,8.823638,2016-01-05 22:03:49.617804
88,1885546,1988026,Private room,Bremen,Breme,28,4.5,3.0,1.0,,55.0,1.0,53.071709,8.827149,2016-01-05 21:54:07.269903
89,1885621,1988026,Entire home/apt,Bremen,Breme,59,4.5,4.0,2.0,1.0,77.0,1.0,53.074393,8.825281,2016-01-05 21:56:49.142651
90,1889088,1988026,Entire home/apt,Bremen,Breme,18,4.5,3.0,1.0,1.0,55.0,1.0,53.074687,8.827468,2016-01-05 22:09:55.635565
91,1894134,9822487,Entire home/apt,Bremen,Breme,8,4.5,2.0,2.0,1.0,90.0,3.0,53.081846,8.849899,2016-01-05 21:51:21.723996
92,1899599,1988026,Entire home/apt,Bremen,Breme,21,4.5,3.0,1.0,1.0,55.0,1.0,53.072824,8.826914,2016-01-05 21:54:04.081478
93,1899675,1988026,Entire home/apt,Bremen,Breme,35,4.5,4.0,1.0,1.0,77.0,1.0,53.071641,8.827283,2016-01-05 21:55:52.054710
94,1948239,1983577,Entire home/apt,Bremen,Breme,3,5.0,,3.0,,134.0,2.0,53.094335,8.78756,2016-01-05 21:59:42.156369
95,1959120,5731208,Entire home/apt,Bremen,Breme,30,4.5,2.0,1.0,1.0,42.0,3.0,53.075756,8.836506,2016-01-05 22:02:58.252266
96,2021669,10390367,Entire home/apt,Bremen,Breme,17,5.0,2.0,1.0,1.0,53.0,3.0,53.077767,8.840867,2016-01-05 21:46:46.172479
97,2166634,11056034,Private room,Bremen,Breme,7,4.5,1.0,1.0,1.0,37.0,2.0,53.085056,8.84868,2016-01-05 22:09:52.661472
98,2180796,11121035,Entire home/apt,Ritterhude,Ritterhud,39,5.0,,5.0,2.0,140.0,,53.180696,8.687019,2016-01-05 22:04:21.761509
99,2181147,9277553,Entire home/apt,Bremen,Breme,33,4.5,2.0,1.0,1.0,54.0,3.0,53.079249,8.828599,2016-01-05 21:58:52.835747
100,2241128,11445342,Private room,Bremen,Breme,60,4.5,2.0,1.0,1.0,40.0,2.0,53.069642,8.822742,2016-01-05 21:50:22.182500
101,2265548,1379537,Entire home/apt,Bremen,Breme,16,4.5,3.0,1.0,1.0,58.0,2.0,53.082817,8.808281,2016-01-05 21:58:57.515634
102,2290030,11160286,Private room,S�stedt,S�sted,2,5.0,1.0,1.0,1.0,23.0,2.0,52.843355,8.955123,2016-01-05 22:09:58.400978
103,2291263,11703241,Entire home/apt,Bremen,Breme,63,5.0,3.0,1.0,1.0,65.0,2.0,53.064144,8.799894,2016-01-05 22:12:30.284038
104,2309239,3305084,Private room,Bremen,Breme,40,4.5,1.0,1.0,1.0,38.0,1.0,53.070787,8.823815,2016-01-05 22:03:26.185130
105,2382099,12170817,Private room,Bremen,Breme,16,4.5,3.0,1.0,,31.0,1.0,53.121136,8.907932,2016-01-05 21:49:04.386687
106,2382738,12172625,Private room,Bremen,Breme,16,4.5,1.0,1.0,1.0,34.0,1.0,53.075201,8.834864,2016-01-05 21:46:15.885646
107,2399194,12259333,Entire home/apt,Bremen,Breme,15,4.5,,3.0,,146.0,3.0,53.072048,8.795221,2016-01-05 21:43:53.901247
108,2406049,1767612,Entire home/apt,Bremen,Breme,0,,3.0,1.0,1.0,83.0,1.0,53.126049,8.911747,2016-01-05 21:51:48.702494
109,2407950,12309179,Entire home/apt,Bremen,Breme,1,3.0,4.0,2.0,1.0,66.0,3.0,53.037415,8.944934,2016-01-05 21:41:40.005236
110,2424770,934115,Private room,Brake (Unterweser),Unterweser,10,4.5,2.0,1.0,1.0,19.0,1.0,53.351054,8.46552,2016-01-05 21:48:13.242637
111,2469386,12630193,Entire home/apt,Bremen,Breme,25,5.0,5.0,2.0,1.0,71.0,,53.082203,8.832937,2016-01-05 22:05:16.650265
112,2484562,12716060,Private room,Gyhum-Nartum,Gyhum-Nartu,7,4.0,4.0,1.0,1.0,51.0,1.0,53.20149,9.250699,2016-01-05 22:04:26.888770
113,2484800,12714791,Private room,Bremen,Breme,25,4.0,2.0,1.0,1.0,56.0,1.0,53.060342,8.806236,2016-01-05 22:02:26.668276
114,2484828,12213507,Entire home/apt,Bremen,Breme,33,5.0,2.0,1.0,1.0,50.0,2.0,53.084003,8.800897,2016-01-05 21:43:56.146105
115,2497975,5875683,Entire home/apt,Bremen,Breme,12,5.0,,4.0,2.0,78.0,2.0,53.037921,8.944304,2016-01-05 21:42:50.756972
116,2517871,12890360,Private room,Bremen,Breme,3,4.5,1.0,1.0,1.0,67.0,1.0,53.074424,8.832833,2016-01-05 21:41:16.115715
117,2519784,12716060,Private room,Gyhum,Gyhu,11,4.5,3.0,1.0,1.0,34.0,1.0,53.200774,9.251062,2016-01-05 22:00:22.353734
118,2524246,12924434,Entire home/apt,Bremen,Breme,49,5.0,2.0,1.0,1.0,53.0,1.0,53.091906,8.813972,2016-01-05 21:40:53.767939
119,2538250,12996815,Private room,Bremen,Breme,1,5.0,1.0,1.0,1.0,31.0,1.0,53.09673,8.915934,2016-01-05 21:44:53.332064
120,2573439,7527032,Private room,Ritterhude,Ritterhud,19,5.0,2.0,1.0,1.0,30.0,2.0,53.193464,8.711995,2016-01-05 21:56:00.172923
121,2597539,13302583,Entire home/apt,Bremen,Breme,11,4.0,2.0,1.0,1.0,45.0,3.0,53.098303,8.799848,2016-01-05 22:03:02.989914
122,2602911,9673177,Private room,Leeste,Leest,43,5.0,2.0,1.0,1.0,34.0,1.0,52.974843,8.842517,2016-01-05 21:56:55.467080
123,2609782,13366448,Entire home/apt,Jade,Jad,33,4.5,,5.0,3.0,67.0,1.0,53.369565,8.244614,2016-01-05 21:52:22.793476
124,2617431,13404677,Entire home/apt,Bremen,Breme,46,4.5,4.0,2.0,1.0,55.0,2.0,53.065448,8.868918,2016-01-05 22:00:02.945729
125,2631202,8508106,Entire home/apt,Bremen,Breme,11,5.0,2.0,1.0,1.0,73.0,3.0,53.093474,8.767752,2016-01-05 21:53:14.899313
