,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,42498,185586,Private room,,Brno,1,,2,1.0,2.0,47.0,2.0,49.211613,16.584011,2016-10-31 01:44:18.125308
1,196961,959732,Entire home/apt,,Brno,35,5.0,2,1.0,1.0,39.0,1.0,49.210096,16.596706,2016-10-31 01:35:46.264607
2,606685,2972917,Private room,,Brno,1,,2,1.0,1.0,25.0,2.0,49.207059,16.640822,2016-10-31 01:41:28.312286
3,614785,2826581,Entire home/apt,,Brno,46,5.0,3,0.0,1.0,48.0,2.0,49.195031,16.612109,2016-10-31 01:42:58.487092
4,652231,3277922,Entire home/apt,,Brno,35,4.0,3,0.0,1.0,38.0,1.0,49.193613,16.615841,2016-10-31 01:41:20.619040
5,699815,2802348,Entire home/apt,,Brno,106,4.5,10,3.0,1.0,38.0,1.0,49.195372,16.62376,2016-10-31 01:26:57.290762
6,704190,3616342,Private room,,Brno,3,4.5,1,1.0,1.0,27.0,1.0,49.206861,16.613813,2016-10-31 01:19:00.902936
7,720933,3722091,Private room,,Brno,3,3.5,2,1.0,1.0,28.0,1.0,49.205366,16.627774,2016-10-31 01:36:05.797469
8,743812,3897520,Entire home/apt,,Brno,9,4.5,2,1.0,1.0,42.0,1.0,49.211445,16.603738,2016-10-31 01:33:43.182632
9,768296,4053078,Private room,,Brno,27,5.0,2,1.0,1.0,21.0,1.0,49.180903,16.560597,2016-10-31 01:22:30.942963
10,829710,3946283,Private room,,Brno,13,5.0,2,1.0,,46.0,1.0,49.192789,16.609863,2016-10-31 01:38:31.882053
11,860023,4504049,Private room,,Brno,8,4.5,4,1.0,,58.0,1.0,49.196225,16.608077,2016-10-31 01:31:45.251210
12,1061239,5843024,Entire home/apt,,Brno,21,5.0,2,1.0,1.0,66.0,1.0,49.188816,16.606871,2016-10-31 01:33:53.684445
13,1075372,5916522,Private room,,Brno,4,4.5,2,1.0,1.0,29.0,3.0,49.190406,16.618206,2016-10-31 01:30:13.326403
14,1102346,6054918,Entire home/apt,,Brno,1,,2,1.0,1.0,44.0,1.0,49.171494,16.684185,2016-10-31 01:23:49.621324
15,1161461,4351643,Private room,,Brno,1,,2,1.0,1.0,25.0,1.0,49.19511,16.591551,2016-10-31 01:43:49.612863
16,1183861,6476206,Private room,,Brno,21,5.0,2,1.0,1.0,27.0,1.0,49.172992,16.685079,2016-10-31 01:32:39.284639
17,1293748,7034433,Entire home/apt,,Brno,32,4.0,2,0.0,1.0,33.0,1.0,49.189729,16.595235,2016-10-31 01:32:11.160683
