description,name,room_type,host,price,income,rank,geometry
,346290,Entire home/apt,1741026,135,24840,1,"<Point><coordinates>4.347611,50.844589,0.0</coordinates></Point>"
,595983,Entire home/apt,2945662,89,24030,2,"<Point><coordinates>4.370145,50.851802,0.0</coordinates></Point>"
,180358,Entire home/apt,835940,122,21350,3,"<Point><coordinates>4.347909,50.847029,0.0</coordinates></Point>"
,807834,Entire home/apt,4250257,117,19188,4,"<Point><coordinates>4.351099,50.837186,0.0</coordinates></Point>"
,184201,Private room,883668,103,18334,5,"<Point><coordinates>4.364222,50.840942,0.0</coordinates></Point>"
,2231394,Entire home/apt,12534520,614,17192,6,"<Point><coordinates>4.362227,50.828085,0.0</coordinates></Point>"
,1563187,Entire home/apt,8317466,199,17114,7,"<Point><coordinates>4.356098,50.84738,0.0</coordinates></Point>"
,429409,Entire home/apt,2126739,82,16810,8,"<Point><coordinates>4.343712,50.863775,0.0</coordinates></Point>"
,316947,Entire home/apt,1627343,110,16500,9,"<Point><coordinates>4.343407,50.851654,0.0</coordinates></Point>"
,1282373,Entire home/apt,6976878,343,15435,10,"<Point><coordinates>4.351514,50.850806,0.0</coordinates></Point>"
,715223,Entire home/apt,3337596,103,15244,11,"<Point><coordinates>4.343211,50.844719,0.0</coordinates></Point>"
,367612,Entire home/apt,1855847,104,14352,12,"<Point><coordinates>4.327547,50.866151,0.0</coordinates></Point>"
,59503,Private room,282079,71,14271,13,"<Point><coordinates>4.361166,50.858496,0.0</coordinates></Point>"
,1141316,Entire home/apt,6258748,82,14268,14,"<Point><coordinates>4.341799,50.847526,0.0</coordinates></Point>"
,393332,Entire home/apt,4393,232,14152,15,"<Point><coordinates>4.345058,50.851706,0.0</coordinates></Point>"
,1947026,Entire home/apt,3527825,220,13200,16,"<Point><coordinates>4.35143,50.851861,0.0</coordinates></Point>"
,544762,Entire home/apt,253564,103,13184,17,"<Point><coordinates>4.3637,50.836945,0.0</coordinates></Point>"
,592270,Entire home/apt,2923773,151,12986,18,"<Point><coordinates>4.351392,50.856511,0.0</coordinates></Point>"
,548394,Entire home/apt,941268,130,12740,19,"<Point><coordinates>4.374238,50.8407,0.0</coordinates></Point>"
,2471897,Entire home/apt,2945662,199,12736,20,"<Point><coordinates>4.375588,50.844338,0.0</coordinates></Point>"
,590788,Entire home/apt,2915303,103,12669,21,"<Point><coordinates>4.350229,50.84685,0.0</coordinates></Point>"
,431251,Private room,1928822,102,12546,22,"<Point><coordinates>4.357745,50.8503,0.0</coordinates></Point>"
,905055,Private room,4841685,96,12480,23,"<Point><coordinates>4.345808,50.85196,0.0</coordinates></Point>"
,1994337,Entire home/apt,6251727,106,12402,24,"<Point><coordinates>4.351314,50.838576,0.0</coordinates></Point>"
,402016,Entire home/apt,2006579,124,12400,25,"<Point><coordinates>4.340421,50.851295,0.0</coordinates></Point>"
,823737,Entire home/apt,4324902,108,12312,26,"<Point><coordinates>4.384858,50.843882,0.0</coordinates></Point>"
,73099,Entire home/apt,373870,117,12285,27,"<Point><coordinates>4.359639,50.808516,0.0</coordinates></Point>"
,932024,Private room,2175389,77,12243,28,"<Point><coordinates>4.371794,50.846579,0.0</coordinates></Point>"
,444866,Entire home/apt,2210565,412,11948,29,"<Point><coordinates>4.351967,50.844645,0.0</coordinates></Point>"
,1600489,Entire home/apt,2537421,275,11825,30,"<Point><coordinates>4.350557,50.856184,0.0</coordinates></Point>"
,702465,Entire home/apt,3275907,124,11656,31,"<Point><coordinates>4.337977,50.84105,0.0</coordinates></Point>"
,526664,Entire home/apt,2588327,110,11550,32,"<Point><coordinates>4.342593,50.852994,0.0</coordinates></Point>"
,3473369,Entire home/apt,17496707,824,11536,33,"<Point><coordinates>4.36763,50.825217,0.0</coordinates></Point>"
