,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,6020,2850,Entire home/apt,Budapest,Budapes,50,5.0,4.0,2.0,1.0,58.0,2.0,47.515424,19.048783,2016-03-22 08:30:08.449464
1,6022,2850,Entire home/apt,Budapest,Budapes,11,4.5,5.0,2.0,1.0,70.0,3.0,47.514125,19.047593,2016-03-22 11:15:03.635709
2,8289,23961,Entire home/apt,Budapest,Budapes,8,5.0,,2.0,1.0,70.0,3.0,47.512066,19.049506,2016-03-22 07:49:32.393864
3,8290,23961,Entire home/apt,Budapest,Budapes,3,5.0,4.0,0.0,1.0,39.0,3.0,47.513851,19.050015,2016-03-22 08:51:53.559392
4,10173,34731,Entire home/apt,Budapest,Budapes,45,5.0,,1.0,1.0,35.0,2.0,47.509544,19.059476,2016-03-22 09:43:16.579285
5,12635,49626,Entire home/apt,Budapest,Budapes,35,5.0,,3.0,2.0,52.0,2.0,47.50945,19.053625,2016-03-22 11:13:44.098717
6,15304,60010,Private room,Budapest,Budapes,115,4.5,4.0,1.0,2.0,34.0,,47.494442,19.06118,2016-03-22 08:09:57.826143
7,15306,60010,Private room,Budapest,Budapes,93,4.5,4.0,1.0,2.0,33.0,,47.494168,19.061609,2016-03-22 07:54:57.945779
8,15307,60010,Private room,Budapest,Budapes,81,4.5,4.0,1.0,2.0,31.0,,47.494908,19.060567,2016-03-22 07:51:44.033493
9,15308,60010,Private room,Budapest,Budapes,27,4.5,5.0,1.0,1.0,44.0,,47.504441,19.055444,2016-03-22 08:36:47.961129
10,15310,60010,Private room,Budapest,Budapes,69,4.0,3.0,1.0,1.0,28.0,,47.503455,19.06826,2016-03-22 07:50:07.612891
11,15311,60010,Private room,Budapest,Budapes,44,4.5,4.0,1.0,1.0,29.0,,47.504548,19.067073,2016-03-22 09:22:11.933107
12,15314,60010,Private room,Budapest,Budapes,5,4.5,,1.0,1.0,79.0,,47.505117,19.05541,2016-03-22 10:55:06.843491
13,16322,63580,Entire home/apt,Budapest,Budapes,21,5.0,5.0,2.0,1.0,41.0,2.0,47.51099,19.052673,2016-03-22 08:54:28.751906
14,21310,81310,Private room,Budapest,Budapes,4,4.5,2.0,1.0,1.0,24.0,1.0,47.492326,19.012174,2016-03-22 10:58:41.962923
15,23949,95672,Entire home/apt,Budapest,Budapes,35,4.5,4.0,2.0,1.0,46.0,2.0,47.50846,19.052467,2016-03-22 10:19:08.807024
16,25639,107196,Entire home/apt,Budapest,Budapes,77,5.0,4.0,1.0,1.0,46.0,2.0,47.505233,19.051212,2016-03-22 10:55:52.512170
