,room_id,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
0,364,783,Entire home/apt,75.0,5.0,4.0,1.0,1.5,159.0,2.0,39.763,-104.976321
1,590,933,Private room,398.0,5.0,3.0,1.0,1.0,61.0,1.0,39.753609,-104.912373
2,592,933,Private room,118.0,5.0,2.0,1.0,1.0,48.0,2.0,39.75438,-104.911557
3,686,990,Private room,135.0,5.0,2.0,1.0,2.0,70.0,2.0,39.74503,-104.977564
4,930,1147,Private room,7.0,5.0,2.0,1.0,1.0,100.0,3.0,39.708812,-104.967474
5,6905,16280,Private room,,,2.0,1.0,,75.0,2.0,39.682391,-104.978408
6,21745,990,Private room,115.0,4.5,3.0,1.0,2.0,80.0,2.0,39.745131,-104.979028
7,21746,990,Private room,172.0,5.0,2.0,1.0,2.0,60.0,2.0,39.744874,-104.97758
8,39405,666,Entire home/apt,249.0,5.0,2.0,1.0,1.0,90.0,1.0,39.765845,-105.003201
9,56185,266051,Entire home/apt,53.0,5.0,,4.0,2.0,300.0,3.0,39.753215,-104.933345
10,58598,280583,Entire home/apt,300.0,5.0,,3.0,1.0,89.0,2.0,39.737304,-104.956156
11,59631,1496,Entire home/apt,79.0,5.0,4.0,2.0,2.5,179.0,1.0,39.749472,-104.976113
12,68255,228639,Private room,88.0,5.0,4.0,1.0,2.0,89.0,2.0,39.728287,-105.031865
13,69699,350324,Private room,5.0,4.5,2.0,1.0,1.0,100.0,2.0,39.709369,-104.980006
14,74125,385864,Entire home/apt,40.0,4.5,3.0,1.0,1.0,130.0,3.0,39.732758,-104.980352
15,81540,98912,Entire home/apt,71.0,5.0,2.0,1.0,1.0,96.0,2.0,39.671898,-104.985436
16,98008,297382,Private room,113.0,5.0,2.0,1.0,1.0,65.0,2.0,39.749266,-104.974818
17,98014,297382,Private room,104.0,5.0,1.0,1.0,,55.0,2.0,39.748655,-104.975215
18,142683,692622,Entire home/apt,136.0,4.5,4.0,2.0,1.5,145.0,1.0,39.739718,-104.947111
19,182353,874113,Private room,77.0,5.0,2.0,1.0,1.0,70.0,1.0,39.652829,-104.910989
20,183518,879998,Entire home/apt,4.0,5.0,2.0,1.0,1.0,150.0,4.0,39.71403,-104.991812
21,192430,923646,Private room,93.0,4.5,1.0,1.0,1.0,60.0,2.0,39.741597,-104.93613
22,194325,943693,Private room,12.0,5.0,2.0,1.0,2.0,95.0,3.0,39.789718,-104.798277
23,196096,943693,Private room,,3.0,2.0,1.0,,120.0,3.0,39.78948,-104.797514
24,196106,943693,Shared room,3.0,5.0,1.0,1.0,,50.0,15.0,39.789957,-104.797089
25,196677,943693,Private room,8.0,5.0,,1.0,2.0,150.0,3.0,39.788754,-104.798569
26,204102,984667,Entire home/apt,95.0,4.5,3.0,1.0,1.0,72.0,2.0,39.73733,-104.976515
27,216641,1118196,Private room,79.0,5.0,2.0,1.0,1.0,86.0,1.0,39.72966,-105.050486
28,217678,524,Private room,84.0,5.0,2.0,1.0,1.0,55.0,1.0,39.731908,-104.972226
29,217715,1124687,Private room,6.0,5.0,2.0,1.0,1.0,89.0,1.0,39.670634,-104.953586
30,217996,10730,Entire home/apt,,,4.0,1.0,1.0,125.0,2.0,39.75701,-105.009866
31,236207,1238201,Entire home/apt,32.0,5.0,4.0,2.0,1.5,210.0,3.0,39.754749,-105.005334
32,244505,365991,Private room,36.0,5.0,1.0,1.0,1.0,66.0,5.0,39.730723,-104.944628
33,245185,1279438,Private room,26.0,5.0,2.0,1.0,1.0,50.0,2.0,39.657482,-104.875034
34,248064,1166781,Entire home/apt,52.0,5.0,,0.0,1.0,199.0,2.0,39.772698,-104.965335
35,254702,625,Private room,,4.5,2.0,1.0,2.5,75.0,2.0,39.724849,-104.989301
36,259616,1362862,Entire home/apt,38.0,5.0,,3.0,2.0,258.0,2.0,39.76581,-105.014825
