,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,14596,57434,Entire home/apt,,Dublin city and suburbs,120,4.5,3,1.0,1.0,133.0,3.0,53.326823,-6.240605,2016-08-30 08:06:32.065634
1,42686,186483,Private room,,Dublin city and suburbs,21,5.0,2,1.0,1.0,35.0,1.0,53.316953,-6.396916,2016-08-30 06:46:47.590778
2,44077,193005,Private room,,Dublin city and suburbs,116,4.5,2,1.0,1.0,52.0,3.0,53.290008,-6.258201,2016-08-30 08:38:27.586516
3,45539,201445,Entire home/apt,,Dublin city and suburbs,82,4.5,2,1.0,,104.0,2.0,53.353428,-6.237373,2016-08-30 09:58:15.409543
4,46517,208080,Private room,,Dublin city and suburbs,2,,1,1.0,,40.0,1.0,53.276973,-6.32408,2016-08-30 05:28:57.382066
5,68483,339817,Entire home/apt,,Dublin city and suburbs,79,5.0,2,2.0,1.0,102.0,3.0,53.345013,-6.265524,2016-08-30 08:11:21.793450
6,71813,273380,Entire home/apt,,Dublin city and suburbs,84,4.0,6,2.0,1.0,173.0,1.0,53.345785,-6.263169,2016-08-30 12:25:18.753727
7,78443,421216,Private room,,Dublin city and suburbs,1,,1,1.0,,40.0,1.0,53.311633,-6.240166,2016-08-30 10:49:09.620825
8,85106,465808,Private room,,Dublin city and suburbs,60,5.0,4,1.0,1.0,77.0,1.0,53.277051,-6.246138,2016-08-30 11:27:21.221110
9,85156,193005,Private room,,Dublin city and suburbs,84,4.5,2,1.0,1.0,52.0,3.0,53.29178,-6.256175,2016-08-30 07:32:47.577907
10,97259,514949,Private room,,Dublin city and suburbs,12,5.0,2,1.0,1.0,75.0,2.0,53.342365,-6.314967,2016-08-30 11:28:38.314629
11,121030,608225,Private room,,Dublin city and suburbs,96,4.5,2,1.0,2.0,61.0,2.0,53.336483,-6.220745,2016-08-30 12:17:32.622554
12,159889,766611,Private room,,Dublin city and suburbs,124,4.5,1,1.0,2.0,37.0,2.0,53.389881,-6.236198,2016-08-30 12:07:05.255751
13,162809,777681,Private room,,Dublin city and suburbs,93,5.0,6,1.0,,69.0,1.0,53.284446,-6.190943,2016-08-30 08:33:56.093994
14,163398,779989,Entire home/apt,,Dublin city and suburbs,36,5.0,3,1.0,1.0,104.0,,53.338447,-6.30505,2016-08-30 12:46:59.895085
15,165828,790601,Entire home/apt,,Dublin city and suburbs,14,4.5,5,1.0,1.0,115.0,,53.336297,-6.324392,2016-08-30 08:40:34.564722
16,165829,790601,Entire home/apt,,Dublin city and suburbs,23,4.5,5,1.0,1.0,156.0,3.0,53.338113,-6.322589,2016-08-30 09:34:22.160316
17,171883,5035,Private room,,Dublin city and suburbs,22,5.0,2,1.0,1.0,75.0,2.0,53.35408,-6.271283,2016-08-30 06:21:58.044023
18,173221,826885,Private room,,Dublin city and suburbs,3,4.5,2,1.0,,58.0,5.0,53.310661,-6.304234,2016-08-30 07:46:59.092379
19,178860,856312,Private room,,Dublin city and suburbs,171,5.0,2,1.0,,56.0,2.0,53.332816,-6.268212,2016-08-30 07:01:50.486068
20,181823,608225,Private room,,Dublin city and suburbs,46,4.5,2,1.0,1.0,55.0,2.0,53.336505,-6.220665,2016-08-30 11:20:12.749580
21,217050,19819,Private room,,Dublin city and suburbs,45,4.5,2,1.0,,69.0,1.0,53.348887,-6.274826,2016-08-30 10:47:15.730815
22,217072,19819,Private room,,Dublin city and suburbs,35,4.5,2,1.0,,69.0,1.0,53.34986,-6.27328,2016-08-30 08:11:01.426673
23,217084,19819,Entire home/apt,,Dublin city and suburbs,148,4.5,8,2.0,1.0,213.0,1.0,53.348908,-6.273426,2016-08-30 06:52:53.934574
24,227966,1189146,Entire home/apt,,Dublin city and suburbs,120,4.0,4,1.0,,109.0,2.0,53.333875,-6.260155,2016-08-30 11:31:13.463865
25,237465,1245198,Entire home/apt,,Dublin city and suburbs,79,4.5,3,1.0,1.0,35.0,3.0,53.396147,-6.17456,2016-08-30 11:21:39.177865
26,246560,435734,Private room,,Dublin city and suburbs,55,4.5,2,1.0,1.0,68.0,2.0,53.330011,-6.27186,2016-08-30 12:26:07.183518
27,275425,1357428,Entire home/apt,,Dublin city and suburbs,2,,6,2.0,2.0,227.0,2.0,53.3267,-6.209212,2016-08-30 12:14:04.036352
28,278064,234259,Entire home/apt,,Dublin city and suburbs,0,,2,1.0,,150.0,3.0,53.340079,-6.27309,2016-08-30 05:35:01.554014
29,286635,1491424,Private room,,Dublin city and suburbs,23,5.0,3,1.0,1.0,103.0,3.0,53.388336,-6.245095,2016-08-30 12:21:04.056413
30,292474,1522559,Private room,,Dublin city and suburbs,57,5.0,2,1.0,2.0,35.0,4.0,53.380525,-6.197792,2016-08-30 12:40:39.925452
31,292757,1515549,Entire home/apt,,Dublin city and suburbs,91,5.0,9,4.0,,144.0,1.0,53.369736,-6.349835,2016-08-30 05:45:39.906814
32,302554,1557844,Entire home/apt,,Dublin city and suburbs,22,4.5,5,1.0,1.0,134.0,3.0,53.356276,-6.289805,2016-08-30 10:44:52.294691
33,302634,1557844,Entire home/apt,,Dublin city and suburbs,38,4.5,3,1.0,1.0,92.0,3.0,53.355609,-6.291495,2016-08-30 09:51:00.918196
34,314639,1491424,Private room,,Dublin city and suburbs,10,5.0,2,1.0,1.0,103.0,3.0,53.386461,-6.245451,2016-08-30 06:30:09.522488
35,314640,1491424,Private room,,Dublin city and suburbs,11,5.0,2,1.0,1.0,103.0,3.0,53.387314,-6.244577,2016-08-30 08:06:02.762136
36,314641,1491424,Private room,,Dublin city and suburbs,6,5.0,2,1.0,1.0,103.0,3.0,53.388112,-6.244748,2016-08-30 12:35:44.919793
37,315698,1625811,Private room,,Dublin city and suburbs,149,4.5,2,1.0,1.0,56.0,3.0,53.339797,-6.226595,2016-08-30 07:46:44.965708
38,315833,1189146,Entire home/apt,,Dublin city and suburbs,64,4.5,6,2.0,1.0,185.0,2.0,53.333038,-6.259817,2016-08-30 07:20:55.883957
39,318171,683843,Entire home/apt,,Dublin city and suburbs,4,4.5,4,2.0,1.0,144.0,2.0,53.332736,-6.278844,2016-08-30 11:02:25.903391
40,333950,1607393,Private room,,Dublin city and suburbs,149,5.0,2,1.0,1.0,87.0,2.0,53.341105,-6.273176,2016-08-30 09:25:13.190941
41,365854,1847391,Entire home/apt,,Dublin city and suburbs,91,4.0,3,1.0,1.0,102.0,2.0,53.353053,-6.257084,2016-08-30 06:37:22.752136
42,374792,790601,Entire home/apt,,Dublin city and suburbs,14,4.5,4,1.0,1.0,156.0,3.0,53.336796,-6.324096,2016-08-30 12:47:19.410672
43,393631,1968168,Entire home/apt,,Dublin city and suburbs,69,5.0,6,3.0,2.0,207.0,2.0,53.357964,-6.241453,2016-08-30 10:50:37.886279
44,412483,1522559,Private room,,Dublin city and suburbs,46,5.0,1,1.0,1.0,31.0,28.0,53.379547,-6.196466,2016-08-30 08:47:44.560323
45,412493,1522559,Private room,,Dublin city and suburbs,55,5.0,2,1.0,2.0,41.0,3.0,53.379376,-6.195899,2016-08-30 09:22:04.056186
