,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,13115,51116,Private room,Edinburgh,Edinburg,0,,2.0,1.0,1.0,157.0,2.0,55.975606,-3.167647,2015-11-03 11:31:09.541435
1,13116,51116,Private room,Edinburgh,Edinburg,0,,2.0,1.0,1.5,157.0,2.0,55.974177,-3.167298,2015-11-03 06:18:12.017463
2,15420,60423,Entire home/apt,Edinburgh,Edinburg,100,5.0,2.0,1.0,,127.0,3.0,55.956892,-3.187677,2015-11-03 04:39:31.461463
3,24288,46498,Entire home/apt,Edinburgh,Edinburg,78,4.5,5.0,2.0,1.5,159.0,2.0,55.942646,-3.18467,2015-11-03 18:23:25.753379
4,41223,179132,Private room,Edinburgh,Edinburg,71,5.0,2.0,1.0,1.0,62.0,2.0,55.95702,-3.200367,2015-11-03 08:42:35.880370
5,44552,195950,Private room,Edinburgh,Edinburg,115,4.5,2.0,1.0,1.0,54.0,3.0,55.966,-3.172409,2015-11-03 06:01:25.926063
6,48645,221474,Private room,Edinburgh,Edinburg,307,5.0,3.0,1.0,1.0,87.0,1.0,55.951133,-3.183797,2015-11-03 17:24:37.920672
7,54188,253850,Entire home/apt,Edinburgh,Edinburg,9,4.5,,3.0,1.0,294.0,,55.941971,-3.208271,2015-11-05 03:38:42.827318
8,55881,264345,Entire home/apt,Edinburgh,Edinburg,80,5.0,,3.0,1.0,215.0,2.0,55.96049,-3.178279,2015-11-03 17:13:31.602319
9,57371,273097,Entire home/apt,Edinburgh,Edinburg,73,4.5,4.0,2.0,1.5,270.0,4.0,55.947236,-3.212036,2015-11-03 11:53:09.458385
10,58682,281109,Entire home/apt,Edinburgh,Edinburg,6,5.0,,4.0,2.0,294.0,2.0,55.957475,-3.214751,2015-11-03 20:55:58.073051
11,59944,288464,Entire home/apt,Edinburgh,Edinburg,33,5.0,4.0,1.0,1.0,135.0,2.0,55.944013,-3.205074,2015-11-03 08:48:35.380802
12,74877,394949,Entire home/apt,Edinburgh,Edinburg,5,4.5,4.0,1.0,2.0,223.0,1.0,55.976322,-3.176864,2015-11-03 22:09:51.522234
13,85620,334208,Entire home/apt,Edinburgh,Edinburg,76,5.0,3.0,1.0,1.0,111.0,2.0,55.961643,-3.176272,2015-11-03 05:18:54.188150
14,93904,502783,Private room,Edinburgh,Edinburg,202,5.0,2.0,1.0,2.0,87.0,1.0,55.946269,-3.217842,2015-11-03 05:36:58.166926
15,97472,486859,Entire home/apt,Edinburgh,Edinburg,20,4.5,4.0,2.0,1.0,121.0,4.0,55.930509,-3.210627,2015-11-03 08:14:52.491804
16,100285,527379,Entire home/apt,Edinburgh,Edinburg,30,4.5,2.0,1.0,1.0,127.0,3.0,55.956133,-3.174771,2015-11-03 15:18:07.428976
17,112625,574430,Entire home/apt,Edinburgh,Edinburg,51,5.0,,5.0,1.5,310.0,2.0,55.939269,-3.180313,2015-11-03 10:10:53.640510
18,118314,597415,Entire home/apt,Edinburgh,Edinburg,53,4.5,4.0,1.0,1.0,159.0,5.0,55.964934,-3.164914,2015-11-03 00:33:46.625996
19,127886,632899,Private room,Edinburgh,Edinburg,127,4.5,2.0,1.0,1.0,72.0,2.0,55.966248,-3.172103,2015-11-03 14:39:35.451162
20,131342,646405,Entire home/apt,Edinburgh,Edinburg,87,4.5,4.0,1.0,,127.0,2.0,55.946819,-3.218152,2015-11-03 00:46:52.942623
21,137001,646405,Entire home/apt,Edinburgh,Edinburg,60,4.5,4.0,1.0,,127.0,2.0,55.947466,-3.22008,2015-11-03 19:39:13.724600
22,138010,199204,Entire home/apt,Edinburgh,Edinburg,210,5.0,4.0,1.0,1.0,127.0,2.0,55.944998,-3.195061,2015-11-03 08:43:37.436732
23,143047,694281,Entire home/apt,Edinburgh,Edinburg,3,4.5,4.0,2.0,1.0,286.0,3.0,55.958632,-3.177633,2015-11-03 20:59:49.308215
24,145325,703882,Entire home/apt,Edinburgh,Edinburg,15,4.5,4.0,1.0,1.0,127.0,3.0,55.92749,-3.211664,2015-11-03 09:30:31.461259
25,163870,33078,Entire home/apt,Edinburgh,Edinburg,25,4.5,4.0,2.0,1.0,87.0,7.0,55.977213,-3.168869,2015-11-03 07:58:22.434622
26,170559,813657,Entire home/apt,Edinburgh,Edinburg,37,4.0,2.0,1.0,1.0,95.0,3.0,55.944874,-3.201115,2015-11-02 23:33:26.524094
27,170756,278168,Private room,Edinburgh,Edinburg,109,5.0,2.0,1.0,2.0,87.0,2.0,55.944885,-3.210642,2015-11-03 14:13:28.621023
28,170762,278168,Entire home/apt,Edinburgh,Edinburg,161,4.5,4.0,2.0,1.0,175.0,2.0,55.950848,-3.204532,2015-11-03 01:15:08.751699
29,177944,851172,Private room,Edinburgh,Edinburg,24,4.5,2.0,1.0,0.0,64.0,1.0,55.961062,-3.172016,2015-11-03 11:57:42.162105
30,180429,851172,Private room,Edinburgh,Edinburg,41,4.5,3.0,1.0,,80.0,1.0,55.962133,-3.17144,2015-11-03 14:51:28.298714
