,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,8402,544.0,Entire home/apt,Hong Kong,Hong Kon,60,4.5,,0.0,1.0,117.0,,22.303878,114.170461,2015-12-09 04:52:20.385687
1,17891,69063.0,Entire home/apt,Hong Kong Island,Hong Kong Islan,58,5.0,3.0,0.0,1.0,200.0,2.0,22.284636,114.149998,2015-12-09 04:13:17.392431
2,65117,318340.0,Private room,Wong Chuk Hang,Wong Chuk Han,140,4.5,,1.0,3.0,88.0,2.0,22.240344,114.165605,2015-12-09 05:38:37.585475
3,69074,160139.0,Entire home/apt,Sheung Wan,Sheung Wa,36,5.0,3.0,1.0,1.0,180.0,3.0,22.283516,114.150177,2015-12-09 05:57:43.917712
4,71448,304876.0,Entire home/apt,Hong Kong,Hong Kon,129,4.5,2.0,0.0,1.0,59.0,2.0,22.288804,114.143903,2015-12-09 05:52:11.841812
5,72571,304876.0,Entire home/apt,Sheung Wan,Sheung Wa,126,4.0,2.0,0.0,1.0,92.0,2.0,22.286015,114.14904,2015-12-09 07:05:10.813017
6,75083,304876.0,Entire home/apt,Sheung Wan,Sheung Wa,192,4.5,3.0,0.0,1.0,101.0,2.0,22.283981,114.148386,2015-12-09 06:25:03.024691
7,80712,304876.0,Entire home/apt,Hong Kong,Hong Kon,124,4.5,2.0,0.0,1.0,57.0,2.0,22.287165,114.14601,2015-12-09 04:01:21.641950
8,103741,304876.0,Entire home/apt,Hong Kong,Hong Kon,117,4.5,2.0,0.0,1.0,62.0,2.0,22.28878,114.14392,2015-12-09 06:06:04.213170
9,103760,304876.0,Entire home/apt,Central,Centra,152,4.5,,2.0,1.0,145.0,2.0,22.284074,114.155696,2015-12-09 07:19:24.672684
10,108552,304876.0,Entire home/apt,Hong Kong,Hong Kon,80,4.5,2.0,0.0,1.0,57.0,2.0,22.287856,114.143971,2015-12-09 06:42:32.504062
11,117933,595699.0,Private room,Mong Kok,Mong Ko,70,4.5,3.0,1.0,0.0,53.0,1.0,22.322447,114.172194,2015-12-09 06:25:16.663159
12,132773,304876.0,Entire home/apt,Sai Ying Pun,Sai Ying Pu,111,4.5,,2.0,1.0,143.0,2.0,22.288517,114.145158,2015-12-09 05:53:27.343188
13,149570,721491.0,Entire home/apt,Tsim Sha Tsui,Tsim Sha Tsu,134,4.5,2.0,1.0,1.0,73.0,2.0,22.302062,114.175583,2015-12-09 07:07:45.252586
14,162294,721491.0,Entire home/apt,Jordan,Jorda,145,4.5,2.0,1.0,1.0,73.0,2.0,22.308346,114.164737,2015-12-09 06:34:14.276300
15,163478,780307.0,Entire home/apt,Central,Centra,104,4.5,3.0,1.0,1.0,130.0,2.0,22.283988,114.151941,2015-12-09 05:16:36.622268
16,163664,304876.0,Entire home/apt,Sheung Wan,Sheung Wa,109,4.0,,2.0,1.0,119.0,2.0,22.286511,114.148743,2015-12-09 06:32:23.683528
17,163742,304876.0,Entire home/apt,Sheung Wan,Sheung Wa,126,4.0,,2.0,1.0,119.0,2.0,22.286944,114.148551,2015-12-09 06:21:11.513901
18,163796,304876.0,Entire home/apt,Sheung Wan,Sheung Wa,87,4.5,2.0,0.0,1.0,93.0,2.0,22.284224,114.149736,2015-12-09 04:56:26.811136
19,163833,304876.0,Entire home/apt,Sheung Wan,Sheung Wa,138,4.5,3.0,0.0,1.0,99.0,2.0,22.28553,114.149058,2015-12-09 04:26:01.470151
20,164023,304876.0,Entire home/apt,Sheung Wan,Sheung Wa,73,4.0,3.0,0.0,1.0,86.0,2.0,22.286746,114.146934,2015-12-09 04:48:49.788606
21,164040,304876.0,Entire home/apt,Hong Kong,Hong Kon,101,4.5,3.0,0.0,1.0,63.0,2.0,22.289326,114.143879,2015-12-09 07:00:22.975542
22,164050,304876.0,Entire home/apt,Hong Kong,Hong Kon,88,4.5,4.0,1.0,1.0,72.0,2.0,22.287873,114.144172,2015-12-09 06:56:48.163519
