id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4826,The Place,6603,Kaan,,Uskudar,41.0565,29.05367,Entire home/apt,596,1,1,2009-06-01,0.01,1,365
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06984,29.04545,Entire home/apt,675,30,41,2018-11-07,0.35,2,86
27271,LOVELY APT. IN PERFECT LOCATION,117026,Mutlu,,Beyoglu,41.0322,28.98216,Entire home/apt,187,20,13,2018-05-04,0.22,1,303
28277,Duplex Apartment with Terrace,121607,Alen,,Sisli,41.04471,28.98567,Hotel room,613,3,0,,,19,349
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09048,29.05559,Entire home/apt,681,3,0,,,1,88
29241,"↪ Istanbul, Your second house ",125742,Şevki,,Beyoglu,41.04844,28.95254,Private room,284,3,0,,,1,365
30697,nice home in popular area,132137,Nan,,Beyoglu,41.0335,28.97626,Private room,618,1,1,2010-06-14,0.01,1,365
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05382,28.99739,Private room,312,2,1,2014-10-21,0.02,2,254
33580,single/double visitors,145271,Miné,,Besiktas,41.07687,29.02714,Private room,170,2,10,2017-12-02,0.09,1,363
33730,Bosphorus Turquoise Room! Sea view♡,145810,Tony,,Beykoz,41.08765,29.07596,Private room,113,2,11,2018-12-31,0.18,5,180
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02704,28.97588,Private room,391,1,0,,,1,365
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.03658,28.97213,Entire home/apt,374,30,37,2018-10-07,0.53,2,327
35938,Cosy Room in Istanbul Center,154245,Sinan,,Besiktas,41.04902,28.99829,Private room,425,1,0,,,1,365
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02725,28.97718,Entire home/apt,369,5,46,2017-05-21,0.42,6,179
44421,Beautiful Studio With A View,194194,Zeyno,,Beyoglu,41.03089,28.98054,Private room,743,180,86,2015-10-06,0.78,3,269
44429,"COZY, CENTRAL, LOVELY&CHECK OUT THE BATHROOM!*",194194,Zeyno,,Beyoglu,41.03082,28.97958,Entire home/apt,261,5,19,2019-08-21,1.36,3,60
47264,Kurucesme stunning seaview peacfull Flat,213410,Evrim,,Besiktas,41.06486,29.03473,Entire home/apt,425,3,9,2019-09-02,0.09,5,350
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.03467,28.98902,Private room,284,3,0,,,1,365
48503,MECİDİYEKÖY MERKEZDE 2+1 GÜNLÜK KİRALIK APART,220972,Barış,,Sisli,41.06761,28.98895,Entire home/apt,550,1,1,2019-08-11,0.59,6,365
48506,MECİDİYEKÖY MERKEZDE 1+0 STUDYO APART,220972,Barış,,Sisli,41.06837,28.99203,Entire home/apt,289,5,1,2019-04-16,0.18,6,365
49955,A room with a view of Bosphorous.,228352,Oz,,Fatih,41.01717,28.96325,Private room,312,1,0,,,1,365
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.02752,28.97858,Entire home/apt,369,5,27,2017-03-14,0.26,6,179
58441,Private  studio bestlocation@Taksim,279673,Engin,,Beyoglu,41.0385,28.98189,Entire home/apt,187,28,16,2016-12-31,0.18,4,364
60923,1+1 Closed to Taksim Square,294332,Selin,,Sisli,41.04693,28.98002,Entire home/apt,199,2,0,,,1,269
62172,Central Location Taksim/Cihangir ,302361,Nurten,,Beyoglu,41.03442,28.98561,Private room,499,3,0,,,3,0
62817,Quiet room in central apartment,305202,Oksan,,Beyoglu,41.03704,28.99067,Private room,250,2,74,2018-08-22,0.74,1,364
77190,flat with garden'n' terrace taksim,413150,Baris,,Beyoglu,41.03343,28.99057,Entire home/apt,176,5,33,2018-08-16,0.33,1,0
77292,Gümüşsuyu Apartment,414003,Gumussuyu,,Beyoglu,41.03656,28.98873,Entire home/apt,618,3,0,,,1,363
87024,Nisantasi Studio Apartment,413986,Nisantasi,,Sisli,41.05018,28.99015,Entire home/apt,1554,1,0,,,1,365
87557,❤️1BR APT★NISANTASI★RESIDENCE★RECEPTION★LIFT-1,461533,Cevdet,,Sisli,41.05058,28.98875,Hotel room,737,5,17,2018-10-19,0.21,36,106
97800,Bosphorus Views,517242,Selcuk,,Beyoglu,41.02945,28.97404,Entire home/apt,403,3,0,,,1,0
101397,❛Cozy • Clean • Central • Room❜,531367,Guliz,,Beyoglu,41.03082,28.98053,Private room,91,2,65,2019-08-30,0.65,1,349
108537,Cihangir Connection,561692,Hasan,,Beyoglu,41.03103,28.984,Entire home/apt,284,2,3,2018-04-11,0.13,1,365
114786,Blue Mosque View in Sultanahmet,582060,Fernando,,Fatih,41.00527,28.97851,Entire home/apt,550,3,69,2019-09-06,0.75,7,297
124137,Beautiful Artist's home,594053,Dev,,Beyoglu,41.03277,28.98822,Entire home/apt,442,3,10,2019-05-25,0.14,3,87
124147,Beautiful room in an Artist's home,594053,Dev,,Beyoglu,41.03249,28.99102,Private room,170,3,155,2019-09-16,1.54,3,95
127912,"View, Kid-friendly, Central @Taksim",632856,Secil,,Beyoglu,41.03518,28.99216,Entire home/apt,306,4,28,2019-09-19,0.32,1,351
130225,Room in a modern home.,641487,Efe,,Kadikoy,40.97618,29.04442,Private room,284,1,1,2012-08-04,0.01,1,365
130231,Flat with super Golden Horn view,641504,Chris,,Beyoglu,41.03398,28.97297,Entire home/apt,448,3,13,2019-09-15,0.13,1,147
133148,Eveything you need - as you wish,654031,Nurhan,,Kagithane,41.06496,28.95651,Entire home/apt,851,2,0,,,1,365
135956,Single private room in shared flat,666066,Ali,,Beyoglu,41.02893,28.9779,Private room,74,10,26,2019-08-30,0.27,15,225
136818,warm family place ..,669517,Cengiz,,Kadikoy,40.98242,29.05151,Private room,369,1,0,,,1,365
138394,Entire Flat at Cihangir/Taksim,675641,Juliet,,Beyoglu,41.03282,28.98537,Entire home/apt,681,1,0,,,1,365
139351,flat in galata 150sqm fantastic vue,679615,Paskal,,Beyoglu,41.02658,28.9759,Entire home/apt,420,2,35,2019-09-04,1.92,2,0
139804,Entire house in central Kadikoy,681763,Deniz,,Kadikoy,40.98373,29.02865,Entire home/apt,284,4,7,2019-01-03,0.07,1,362
140269,Penthouse in Taxim -with 2 bedrooms,683356,Damir,,Beyoglu,41.03577,28.9773,Entire home/apt,312,3,129,2019-03-01,1.29,3,241
140952,(-55%)28nts in may 300€:Best LocationDuplex@Taksim,279673,Engin,,Beyoglu,41.03895,28.98387,Entire home/apt,278,15,8,2017-01-10,0.13,4,365
146854,Beautiful & Super Deluxe Flat,709964,Lily,,Sisli,41.04753,28.9803,Private room,340,1,0,,,1,365
155757,Cosy lovely room in Kadıkoy/Moda,748852,Asiye,,Kadikoy,40.98697,29.02771,Private room,199,2,15,2014-10-04,0.15,2,365
158461,Friendly Family Home,760827,Enathol,,Adalar,40.87171,29.1291,Private room,567,1,0,,,1,365
158618,King Suite Studio  Near Taksim Square,730566,Murat,,Beyoglu,41.03767,28.98219,Private room,340,1,0,,,3,365
160809,"""Homeinİstanbul"" wGreat Location",770100,Neslihan,,Beyoglu,41.03224,28.98714,Entire home/apt,227,3,13,2015-10-06,0.13,2,173
161361,PERFECT LOCATION W BOSPHORUS VIEW!,771119,Ram,,Beyoglu,41.03061,28.97942,Entire home/apt,227,1,69,2019-09-14,0.69,6,243
162180,Nice flat in historical Galata ,775317,Cigdem,,Beyoglu,41.02622,28.97488,Entire home/apt,794,6,1,2011-09-25,0.01,1,365
163785,Fully furnished bosphorus view,781562,Belgin,,Sariyer,41.16308,29.03753,Private room,737,3,0,,,1,0
164216,Ottoman Flat 2BR @Taksim Square,783470,Aslinaz,,Beyoglu,41.03614,28.98163,Entire home/apt,550,2,36,2019-06-13,0.38,3,362
166265,Apartment in the Heart of the City1,792658,ISlK,,Beyoglu,41.03886,28.98199,Entire home/apt,244,2,136,2019-08-21,1.72,9,341
171593,Nice historical apartment in Galata,818744,Fırat,,Beyoglu,41.0278,28.97696,Entire home/apt,851,7,3,2012-01-07,0.03,1,365
175213,115 Sqm Great Quality Home-Unique Local Experience,837616,Oktay,,Uskudar,41.01602,29.01548,Entire home/apt,119,2,44,2019-09-24,0.45,1,330
175766,at the center of İstanbul..,840111,Kadir,,Sisli,41.07005,28.98561,Private room,170,1,0,,,1,365
178868,"Bright Room, Great Location...",770100,Neslihan,,Beyoglu,41.03237,28.9869,Private room,125,2,38,2015-12-31,0.38,2,267
180570,Feel at home@Istanbul city center,865041,Isil,,Beyoglu,41.02894,28.98594,Entire home/apt,437,1,0,,,1,0
181146,Exclusive terrace in Sultanahmet...,386745,Taner,,Fatih,41.00341,28.97725,Entire home/apt,425,2,40,2019-05-01,0.41,1,276
