,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,30187,2923669,Entire home/apt,,Quartiers anciens,2,,2,1.0,1.0,88.0,,45.764268,4.826655,2016-05-14 20:24:05.909954
1,34439,148706,Entire home/apt,,Quartiers anciens,1,,2,1.0,1.0,94.0,4.0,45.764431,4.826588,2016-05-15 02:00:11.776829
2,35001,150604,Entire home/apt,,Est,0,,2,1.0,1.0,94.0,5.0,45.765844,4.851158,2016-05-14 23:55:29.753880
3,56766,269557,Entire home/apt,,Quartiers anciens,39,4.5,8,3.0,2.0,187.0,3.0,45.763205,4.829109,2016-05-14 19:28:02.812234
4,71455,365968,Entire home/apt,,Quartiers anciens,1,,4,1.0,1.0,88.0,2.0,45.762065,4.827511,2016-05-15 00:41:53.604121
5,72545,376459,Entire home/apt,,Bellecour - Cordeliers,55,4.5,2,1.0,,115.0,3.0,45.757844,4.836719,2016-05-14 20:36:01.509530
6,77104,411285,Entire home/apt,,Ouest Pentes,12,5.0,4,1.0,1.0,81.0,2.0,45.769622,4.8275,2016-05-14 23:35:28.582368
7,82195,447032,Entire home/apt,,Bas des pentes / presqu'�le,26,5.0,4,1.0,1.0,99.0,3.0,45.767358,4.836751,2016-05-15 02:02:58.577483
8,105104,546198,Private room,,Voltaire - Part Dieu,66,5.0,2,1.0,1.0,60.0,1.0,45.763105,4.849536,2016-05-14 20:24:49.331379
9,116864,566645,Entire home/apt,,Ouest Pentes,90,5.0,4,2.0,1.0,140.0,2.0,45.770425,4.828145,2016-05-15 02:54:37.264247
10,134539,660135,Entire home/apt,,Quartiers anciens,72,4.5,5,2.0,1.0,53.0,2.0,45.754952,4.823413,2016-05-14 21:33:20.733159
11,136556,668524,Entire home/apt,,Voltaire - Part Dieu,1,,5,1.0,1.0,115.0,7.0,45.76208,4.853272,2016-05-15 01:55:17.569853
12,137132,670404,Entire home/apt,,Est,10,4.5,4,1.0,1.0,103.0,2.0,45.768537,4.853122,2016-05-14 21:48:00.618684
13,140216,683086,Entire home/apt,,Bellecour - Cordeliers,0,,2,1.0,1.0,123.0,3.0,45.76381,4.834228,2016-05-15 02:17:00.531139
14,173088,826242,Entire home/apt,,Perrache - Confluent,9,5.0,2,1.0,1.0,123.0,1.0,45.744161,4.817994,2016-05-15 03:09:57.499973
15,174304,832917,Entire home/apt,,Bas des pentes / presqu'�le,67,4.5,6,3.0,,105.0,1.0,45.766145,4.833163,2016-05-15 02:16:24.504060
16,219590,376459,Entire home/apt,,Bellecour - Cordeliers,30,4.5,5,2.0,2.0,245.0,3.0,45.759833,4.830582,2016-05-15 01:35:25.443473
17,233372,1221417,Entire home/apt,,Colline des Funiculaires,85,5.0,2,1.0,1.0,81.0,2.0,45.758303,4.821943,2016-05-14 23:47:57.422404
18,233396,1221556,Private room,,M�nival - Batti�res - La Plaine,7,4.5,2,1.0,1.0,49.0,1.0,45.751276,4.773558,2016-05-15 00:55:04.375728
19,242183,1271050,Private room,,Sans souci - Dauphin�,4,5.0,4,1.0,1.0,88.0,1.0,45.74753,4.866977,2016-05-14 22:05:48.383218
