,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,6400,13822.0,Private room,,Porta Ticinese - Vigentino - Gratosoglio,7,5.0,2.0,1.0,,100.0,2.0,45.44195,9.177974,2016-01-08 11:45:40.110168
1,17232,66856.0,Private room,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,37,4.5,2.0,1.0,1.0,39.0,1.0,45.504652,9.160866,2016-01-08 06:16:00.298300
2,18429,66856.0,Entire home/apt,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,0,,4.0,2.0,1.0,111.0,2.0,45.504795,9.161985,2016-01-08 05:38:48.871721
3,23986,95941.0,Entire home/apt,,Porta Genova - Giambellino - Lorenteggio,2,3.0,4.0,2.0,1.0,166.0,1.0,45.449906,9.175971,2016-01-08 02:45:08.872125
4,28095,121000.0,Private room,,Porta Vittoria - Porta Romana - Rogoredo,11,4.5,4.0,1.0,3.0,66.0,2.0,45.464268,9.207634,2016-01-08 09:59:46.658206
5,28273,121598.0,Entire home/apt,,Centro Storico,29,4.5,2.0,1.0,1.0,78.0,3.0,45.456495,9.179959,2016-01-08 15:22:14.146140
6,28300,121663.0,Private room,,Centro Storico,8,4.5,2.0,1.0,,104.0,1.0,45.478141,9.172939,2016-01-08 04:03:27.937135
7,32119,138683.0,Entire home/apt,,Stazione Centrale - Greco - Crescenzago,7,4.5,4.0,1.0,1.0,78.0,3.0,45.519876,9.223101,2016-01-08 14:13:07.617210
8,32649,138683.0,Entire home/apt,,Stazione Centrale - Greco - Crescenzago,19,5.0,4.0,1.0,1.0,78.0,2.0,45.519422,9.226154,2016-01-08 08:54:16.221456
9,37256,119002.0,Private room,,Porta Venezia - Lambrate - Citt� Studi,16,5.0,1.0,1.0,1.0,67.0,3.0,45.470184,9.207837,2016-01-08 14:31:27.998208
10,40470,174203.0,Entire home/apt,,Stazione Centrale - Greco - Crescenzago,28,4.5,4.0,2.0,1.0,89.0,3.0,45.52111,9.227273,2016-01-08 06:01:29.001383
11,40971,177223.0,Shared room,,Porta Volta - Fiera - Gallaratese - Quarto Oggiaro,0,,,1.0,,33.0,3.0,45.48173,9.179084,2016-01-08 14:23:10.825605
12,46536,138683.0,Entire home/apt,,Stazione Centrale - Greco - Crescenzago,13,4.5,5.0,2.0,1.0,78.0,3.0,45.522128,9.226928,2016-01-08 09:15:56.084557
13,46785,208909.0,Entire home/apt,,Stazione Centrale - Greco - Crescenzago,42,4.5,4.0,1.0,1.0,117.0,3.0,45.489767,9.203136,2016-01-08 13:53:27.289473
14,47305,193371.0,Entire home/apt,,Porta Genova - Giambellino - Lorenteggio,262,4.5,4.0,1.0,1.0,61.0,2.0,45.45325,9.168793,2016-01-08 07:43:37.037643
15,49934,223425.0,Private room,,Stazione Centrale - Greco - Crescenzago,39,4.5,2.0,1.0,1.0,56.0,1.0,45.487419,9.21022,2016-01-08 13:10:59.117112
16,55055,246217.0,Entire home/apt,,Porta Venezia - Lambrate - Citt� Studi,1,5.0,3.0,2.0,1.0,139.0,3.0,45.480551,9.216286,2016-01-08 09:59:08.172564
17,55388,261549.0,Entire home/apt,,Porta Genova - Giambellino - Lorenteggio,4,5.0,2.0,1.0,1.0,106.0,,45.449758,9.136371,2016-01-08 13:36:37.431182
18,62215,302607.0,Private room,,Stazione Centrale - Greco - Crescenzago,18,4.0,4.0,1.0,1.0,89.0,1.0,45.488352,9.202119,2016-01-08 02:42:30.462435
19,65142,318394.0,Entire home/apt,,Stazione Centrale - Greco - Crescenzago,251,4.5,3.0,1.0,1.0,88.0,1.0,45.480226,9.201814,2016-01-08 01:19:43.778018
20,65228,318858.0,Entire home/apt,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,1,5.0,4.0,1.0,1.0,78.0,3.0,45.504877,9.207792,2016-01-08 09:11:53.469067
21,67437,332184.0,Private room,,Porta Venezia - Lambrate - Citt� Studi,37,5.0,2.0,1.0,0.0,66.0,1.0,45.481128,9.20949,2016-01-08 08:30:56.244628
22,69749,144021.0,Entire home/apt,,Porta Vittoria - Porta Romana - Rogoredo,84,5.0,4.0,2.0,2.0,109.0,2.0,45.467386,9.207862,2016-01-08 15:06:41.035434
23,69812,351165.0,Entire home/apt,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,136,4.5,2.0,1.0,1.0,73.0,3.0,45.493778,9.173635,2016-01-08 02:02:45.395424
24,70591,358567.0,Private room,,Porta Volta - Fiera - Gallaratese - Quarto Oggiaro,138,5.0,2.0,1.0,1.0,78.0,1.0,45.482067,9.179059,2016-01-08 13:55:24.256896
25,72080,371292.0,Entire home/apt,,Porta Vittoria - Porta Romana - Rogoredo,12,5.0,4.0,1.0,1.0,122.0,2.0,45.444965,9.216443,2016-01-08 01:45:29.775634
26,73365,351165.0,Entire home/apt,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,39,4.5,2.0,1.0,1.0,74.0,3.0,45.496266,9.174922,2016-01-08 14:06:27.904663
27,73892,387110.0,Entire home/apt,,Centro Storico,74,5.0,2.0,1.0,1.0,111.0,2.0,45.469533,9.192038,2016-01-08 02:15:26.229540
28,74169,268127.0,Entire home/apt,,Centro Storico,2,5.0,2.0,1.0,1.0,310.0,2.0,45.470601,9.182676,2016-01-08 02:23:11.518286
29,74835,157872.0,Entire home/apt,,Centro Storico,1,5.0,2.0,1.0,1.0,332.0,7.0,45.468898,9.17943,2016-01-08 08:57:38.297711
30,75741,387110.0,Entire home/apt,,Centro Storico,150,5.0,2.0,1.0,1.0,156.0,2.0,45.472514,9.185223,2016-01-08 10:54:06.528978
31,76357,407513.0,Entire home/apt,,Centro Storico,166,5.0,2.0,1.0,1.0,134.0,2.0,45.460398,9.17653,2016-01-08 11:37:23.325694
32,77193,223425.0,Entire home/apt,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,2,4.0,4.0,2.0,1.0,78.0,3.0,45.5026,9.164599,2016-01-08 15:16:07.032716
33,77325,272461.0,Entire home/apt,,Porta Genova - Giambellino - Lorenteggio,3,4.5,4.0,2.0,2.0,134.0,4.0,45.451061,9.15339,2016-01-08 09:48:17.195301
34,77958,387110.0,Entire home/apt,,Centro Storico,51,5.0,2.0,1.0,1.0,112.0,2.0,45.46978,9.192264,2016-01-08 13:48:13.945546
35,79078,425531.0,Entire home/apt,,Porta Genova - Giambellino - Lorenteggio,0,,3.0,1.0,1.0,335.0,6.0,45.454733,9.168086,2016-01-08 10:46:49.701965
36,79696,429570.0,Entire home/apt,,Porta Ticinese - Vigentino - Gratosoglio,31,5.0,3.0,1.0,1.0,100.0,2.0,45.448437,9.182204,2016-01-08 15:32:19.235590
37,81202,439051.0,Private room,,Stazione Centrale - Greco - Crescenzago,1,4.5,2.0,1.0,1.0,84.0,3.0,45.490186,9.196591,2016-01-08 13:55:37.343773
38,81934,445234.0,Private room,,Stazione Centrale - Greco - Crescenzago,8,4.5,,1.0,1.0,55.0,1.0,45.495411,9.228765,2016-01-08 14:04:12.801232
39,82227,447162.0,Entire home/apt,,Forze Armate - San Siro - Baggio,5,5.0,3.0,1.0,2.0,106.0,3.0,45.464376,9.161443,2016-01-08 07:38:08.482694
40,82635,443414.0,Entire home/apt,,Porta Vittoria - Porta Romana - Rogoredo,1,5.0,2.0,1.0,1.0,123.0,3.0,45.454364,9.213298,2016-01-08 15:02:08.395115
41,83335,454244.0,Entire home/apt,,Porta Vittoria - Porta Romana - Rogoredo,50,5.0,4.0,2.0,1.0,90.0,2.0,45.450905,9.211699,2016-01-08 13:08:14.844009
42,84119,302607.0,Private room,,Stazione Centrale - Greco - Crescenzago,12,4.0,1.0,1.0,1.0,332.0,1.0,45.488453,9.203654,2016-01-08 03:51:25.498762
43,84741,443989.0,Private room,,Porta Venezia - Lambrate - Citt� Studi,188,4.5,2.0,1.0,1.0,35.0,2.0,45.470889,9.213843,2016-01-08 06:27:25.880923
44,84997,302607.0,Private room,,Stazione Centrale - Greco - Crescenzago,9,4.0,3.0,1.0,1.0,78.0,1.0,45.488647,9.2021,2016-01-08 10:34:58.785924
45,84998,302607.0,Private room,,Stazione Centrale - Greco - Crescenzago,15,4.0,2.0,1.0,1.0,66.0,1.0,45.48848,9.203102,2016-01-08 01:12:58.563073
46,85089,465756.0,Entire home/apt,,Forze Armate - San Siro - Baggio,7,5.0,2.0,1.0,1.0,111.0,4.0,45.470542,9.136068,2016-01-08 02:40:43.971382
47,85798,470396.0,Entire home/apt,,Porta Venezia - Lambrate - Citt� Studi,19,4.5,5.0,2.0,2.0,137.0,1.0,45.47251,9.246452,2016-01-08 11:06:53.319339
48,87511,223425.0,Entire home/apt,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,4,4.0,4.0,1.0,1.0,61.0,1.0,45.500865,9.16531,2016-01-08 13:18:57.733623
49,88130,481475.0,Entire home/apt,,Porta Volta - Fiera - Gallaratese - Quarto Oggiaro,3,5.0,4.0,2.0,2.0,177.0,3.0,45.497432,9.14572,2016-01-08 01:56:53.386729
50,88233,482768.0,Private room,,Porta Ticinese - Vigentino - Gratosoglio,5,4.5,2.0,1.0,,56.0,1.0,45.433207,9.202397,2016-01-08 12:03:21.233797
51,89804,470171.0,Entire home/apt,,Porta Genova - Giambellino - Lorenteggio,21,4.5,,3.0,2.0,94.0,,45.447572,9.162409,2016-01-08 05:04:48.276211
52,90677,491200.0,Entire home/apt,,Porta Genova - Giambellino - Lorenteggio,14,4.5,3.0,2.0,1.0,78.0,1.0,45.452625,9.16137,2016-01-08 02:08:54.526961
53,90830,414209.0,Entire home/apt,,Porta Genova - Giambellino - Lorenteggio,10,4.5,,3.0,1.0,258.0,1.0,45.446576,9.16419,2016-01-08 11:39:40.816043
54,91789,495190.0,Entire home/apt,,Forze Armate - San Siro - Baggio,37,4.0,4.0,2.0,1.0,66.0,1.0,45.459213,9.15206,2016-01-08 04:06:44.624684
55,91822,13639239.0,Private room,,Porta Vittoria - Porta Romana - Rogoredo,0,,4.0,1.0,1.0,45.0,5.0,45.454253,9.245051,2016-01-08 12:06:35.725436
56,92336,497112.0,Entire home/apt,,Porta Venezia - Lambrate - Citt� Studi,4,4.5,2.0,1.0,1.0,112.0,3.0,45.477127,9.221866,2016-01-08 10:16:50.233301
57,93025,499743.0,Entire home/apt,,Centro Storico,9,5.0,3.0,1.0,1.0,167.0,3.0,45.472042,9.196396,2016-01-08 14:48:01.445518
58,93232,500414.0,Private room,,Porta Vittoria - Porta Romana - Rogoredo,6,5.0,2.0,1.0,1.0,66.0,7.0,45.466352,9.214231,2016-01-08 07:31:55.660699
59,93888,502750.0,Entire home/apt,,Stazione Centrale - Greco - Crescenzago,227,4.5,3.0,1.0,1.0,89.0,1.0,45.483762,9.204033,2016-01-08 01:27:48.626902
60,94043,503193.0,Entire home/apt,,Centro Storico,22,4.0,3.0,2.0,1.0,201.0,3.0,45.481099,9.179559,2016-01-08 10:03:58.444893
61,94233,503840.0,Entire home/apt,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,30,5.0,4.0,1.0,1.0,106.0,1.0,45.48712,9.192999,2016-01-08 12:23:43.073725
62,94354,493149.0,Private room,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,52,4.5,3.0,1.0,1.0,31.0,1.0,45.497648,9.193816,2016-01-08 10:52:04.224930
63,98119,503840.0,Private room,,Porta Nuova - Bovisa - Niguarda - Fulvio Testi,32,5.0,3.0,1.0,2.0,78.0,2.0,45.487495,9.191828,2016-01-08 08:13:53.251680
64,98500,514653.0,Private room,,Porta Venezia - Lambrate - Citt� Studi,2,4.5,2.0,1.0,1.0,101.0,1.0,45.485391,9.226859,2016-01-08 03:03:43.499821
