,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,7857,21605,Private room,,PALERMO,0,,6,1.0,2.0,35.0,1.0,38.169423,13.300508,2016-09-14 07:14:50.441623
1,10635,36298,Entire home/apt,,PALERMO,30,5.0,4,,,81.0,3.0,38.2071,13.327024,2016-09-14 09:08:12.748723
2,14561,57243,Entire home/apt,,PALERMO,45,4.5,8,4.0,2.0,81.0,2.0,38.11486,13.363797,2016-09-14 05:16:22.419262
3,44477,57243,Private room,,PALERMO,78,4.5,3,1.0,2.0,21.0,1.0,38.115534,13.362906,2016-09-14 09:08:27.295218
4,46533,208109,Private room,,PALERMO,0,,2,1.0,2.0,81.0,1.0,38.112832,13.369039,2016-09-14 09:33:44.241065
5,49508,225667,Entire home/apt,,PALERMO,172,5.0,4,2.0,1.0,98.0,3.0,38.115972,13.365694,2016-09-14 09:08:38.510280
6,56535,268125,Entire home/apt,,PALERMO,0,,6,2.0,2.0,35.0,2.0,38.111111,13.357056,2016-09-14 05:34:12.680702
7,60044,288944,Private room,,PALERMO,0,,4,1.0,1.0,69.0,1.0,38.119068,13.358472,2016-09-14 05:57:34.614677
8,60916,292253,Entire home/apt,,PALERMO,15,5.0,4,2.0,1.0,104.0,3.0,38.112702,13.361236,2016-09-14 09:47:36.465041
9,83294,425509,Entire home/apt,,PALERMO,22,5.0,6,3.0,3.0,46.0,3.0,38.111799,13.363035,2016-09-14 08:49:43.231214
10,84046,458949,Entire home/apt,,PALERMO,12,4.5,4,1.0,1.0,46.0,3.0,38.117072,13.37167,2016-09-14 05:15:33.920028
11,84897,464469,Entire home/apt,,PALERMO,36,5.0,4,2.0,1.0,59.0,3.0,38.194273,13.329437,2016-09-14 07:51:56.634756
12,86930,476681,Entire home/apt,,PALERMO,0,,4,1.0,1.0,93.0,4.0,38.117608,13.359783,2016-09-14 06:52:11.997403
13,90569,57243,Entire home/apt,,PALERMO,16,4.0,3,2.0,1.0,54.0,7.0,38.111553,13.367189,2016-09-14 06:39:09.504101
14,93061,57243,Entire home/apt,,PALERMO,27,4.5,3,1.0,1.0,43.0,1.0,38.111013,13.371697,2016-09-14 06:32:31.588679
15,95233,507365,Private room,,PALERMO,0,,2,1.0,1.0,29.0,2.0,38.197707,13.312054,2016-09-14 09:32:47.912904
16,97889,517472,Entire home/apt,,PALERMO,11,4.5,3,1.0,1.0,70.0,7.0,38.110689,13.362855,2016-09-14 08:19:54.426494
17,116513,588583,Entire home/apt,,PALERMO,0,,6,2.0,,116.0,3.0,38.180377,13.319178,2016-09-14 07:27:59.314239
18,122180,612680,Entire home/apt,,PALERMO,0,,2,1.0,1.0,69.0,1.0,38.140159,13.347377,2016-09-14 08:25:52.829949
19,124359,620119,Entire home/apt,,PALERMO,183,4.5,4,2.0,1.0,56.0,2.0,38.116395,13.36462,2016-09-14 07:36:46.509861
20,131212,645900,Private room,,PALERMO,2,,2,1.0,2.0,27.0,2.0,38.119084,13.360437,2016-09-14 05:56:55.819775
21,135190,625465,Entire home/apt,,PALERMO,187,5.0,4,1.0,1.0,40.0,2.0,38.116051,13.354494,2016-09-14 07:53:21.027155
22,138158,645900,Entire home/apt,,PALERMO,4,4.5,4,1.0,1.0,58.0,7.0,38.116923,13.365304,2016-09-14 05:12:22.291868
23,167506,798200,Entire home/apt,,PALERMO,1,,3,1.0,1.0,64.0,4.0,38.189454,13.287296,2016-09-14 09:02:24.891448
24,174422,57243,Entire home/apt,,PALERMO,44,4.5,7,3.0,1.0,52.0,2.0,38.109968,13.370393,2016-09-14 07:36:14.659204
25,186186,894346,Entire home/apt,,PALERMO,110,4.5,4,1.0,,39.0,2.0,38.112502,13.359268,2016-09-14 05:37:55.316249
26,186685,894346,Entire home/apt,,PALERMO,69,4.5,8,3.0,2.0,40.0,2.0,38.1102,13.355338,2016-09-14 09:12:17.932084
27,186711,897479,Private room,,PALERMO,2,,3,1.0,1.0,58.0,1.0,38.113398,13.366416,2016-09-14 06:35:03.407967
28,187028,57243,Entire home/apt,,PALERMO,11,4.5,3,2.0,1.0,38.0,2.0,38.112604,13.366341,2016-09-14 08:55:18.733357
29,194911,946654,Entire home/apt,,PALERMO,13,5.0,3,1.0,1.0,52.0,3.0,38.122735,13.364204,2016-09-14 08:42:30.086300
30,196326,955791,Entire home/apt,,PALERMO,20,4.0,16,8.0,8.0,112.0,2.0,38.116305,13.363485,2016-09-14 07:28:31.725593
31,198083,966478,Entire home/apt,,PALERMO,8,4.0,6,2.0,1.0,58.0,1.0,38.166068,13.366892,2016-09-14 05:27:21.035931
32,200818,982293,Entire home/apt,,PALERMO,0,,4,3.0,1.0,93.0,3.0,38.112275,13.364324,2016-09-14 05:47:50.002931
33,204150,1002185,Private room,,PALERMO,220,4.5,4,1.0,1.0,58.0,1.0,38.115038,13.365946,2016-09-14 06:38:29.843764
34,204601,1004568,Entire home/apt,,PALERMO,25,4.0,8,3.0,2.0,81.0,2.0,38.119012,13.367659,2016-09-14 07:42:56.542042
35,205527,1010523,Entire home/apt,,PALERMO,3,3.5,5,3.0,1.0,46.0,2.0,38.200007,13.321095,2016-09-14 07:32:03.163426
36,207700,1022519,Entire home/apt,,PALERMO,0,,10,3.0,3.0,46.0,1.0,38.12599,13.357009,2016-09-14 05:29:07.512357
37,208929,1029250,Private room,,PALERMO,0,,2,1.0,1.0,66.0,1.0,38.113166,13.364738,2016-09-14 06:42:02.931702
38,209538,1032802,Entire home/apt,,PALERMO,35,4.5,5,2.0,1.0,58.0,,38.126892,13.35527,2016-09-14 05:13:01.396584
39,210998,1050719,Entire home/apt,,PALERMO,28,4.0,2,1.0,1.0,46.0,3.0,38.117203,13.371342,2016-09-14 05:13:40.572244
40,211379,1090491,Private room,,PALERMO,2,,2,1.0,1.0,45.0,1.0,38.110413,13.366805,2016-09-14 07:11:04.342109
41,211702,1091816,Private room,,PALERMO,0,,10,1.0,5.0,81.0,1.0,38.11267,13.369405,2016-09-14 06:40:16.728614
42,212491,1095802,Private room,,PALERMO,0,,8,1.0,4.0,58.0,1.0,38.143108,13.369407,2016-09-14 06:23:32.027753
43,222117,1152668,Private room,,PALERMO,1,,6,1.0,3.0,40.0,1.0,38.160183,13.306055,2016-09-14 06:46:07.535260
44,223429,1154322,Private room,,PALERMO,90,4.5,3,1.0,1.0,26.0,1.0,38.125952,13.35482,2016-09-14 09:19:57.897445
45,226122,1178890,Private room,,PALERMO,19,4.5,3,1.0,1.0,58.0,1.0,38.120484,13.363697,2016-09-14 07:11:23.626239
46,228631,1193486,Private room,,PALERMO,0,,5,1.0,2.0,40.0,1.0,38.146844,13.349196,2016-09-14 09:10:48.465811
47,229565,1198996,Private room,,PALERMO,6,3.0,2,1.0,1.0,27.0,1.0,38.113889,13.365135,2016-09-14 07:20:34.975990
48,229593,1196614,Entire home/apt,,PALERMO,75,4.5,6,1.0,1.0,40.0,1.0,38.205876,13.322757,2016-09-14 07:19:26.061041
49,230981,1202231,Entire home/apt,,PALERMO,0,,8,3.0,3.0,81.0,1.0,38.110885,13.349924,2016-09-14 09:43:27.835100
50,233867,1224518,Entire home/apt,,PALERMO,3,5.0,4,1.0,1.0,64.0,,38.18879,13.323977,2016-09-14 09:03:24.009251
51,239767,1257354,Entire home/apt,,PALERMO,26,4.5,6,2.0,1.0,69.0,2.0,38.117196,13.371464,2016-09-14 06:26:41.269698
52,240195,57243,Private room,,PALERMO,11,4.0,2,1.0,1.0,20.0,2.0,38.114008,13.361611,2016-09-14 05:30:57.474138
53,243279,1276707,Entire home/apt,,PALERMO,64,5.0,2,1.0,1.0,46.0,2.0,38.121089,13.362311,2016-09-14 07:34:24.457617
54,245101,1285802,Entire home/apt,,PALERMO,2,,16,7.0,8.0,694.0,1.0,38.112821,13.357692,2016-09-14 06:48:10.157623
55,262234,1375774,Entire home/apt,,PALERMO,5,4.0,3,1.0,1.0,58.0,3.0,38.13033,13.360697,2016-09-14 09:38:44.597496
56,262279,1375774,Entire home/apt,,PALERMO,23,4.0,6,1.0,,64.0,3.0,38.12889,13.358745,2016-09-14 07:56:40.104736
57,262281,1375774,Entire home/apt,,PALERMO,3,4.5,5,1.0,1.0,64.0,3.0,38.128773,13.358616,2016-09-14 06:03:23.723978
58,265192,1368177,Entire home/apt,,PALERMO,0,,2,1.0,,103.0,1.0,38.20876,13.321079,2016-09-14 05:32:03.802618
59,267892,1257354,Entire home/apt,,PALERMO,13,4.5,4,2.0,1.0,58.0,3.0,38.116746,13.372735,2016-09-14 09:47:44.290230
60,270579,1416515,Private room,,PALERMO,1,,3,1.0,2.0,93.0,8.0,38.123769,13.360593,2016-09-14 08:59:28.831934
61,272002,1422918,Private room,,PALERMO,0,,1,1.0,1.0,58.0,1.0,38.150979,13.330334,2016-09-14 09:40:30.066202
62,274816,1436713,Entire home/apt,,PALERMO,3,4.5,5,1.0,1.0,42.0,3.0,38.140927,13.346918,2016-09-14 07:23:01.306280
63,281601,1467858,Private room,,PALERMO,211,4.5,4,1.0,2.0,28.0,1.0,38.1165,13.36614,2016-09-14 07:00:22.689947
64,286367,4170634,Private room,,PALERMO,8,3.5,4,1.0,1.0,46.0,1.0,38.12036,13.356814,2016-09-14 07:43:12.838572
65,292590,1514805,Private room,,PALERMO,0,,4,1.0,1.0,93.0,2.0,38.181752,13.323961,2016-09-14 09:34:35.680549
66,293238,294965,Private room,,PALERMO,0,,2,1.0,,41.0,2.0,38.111982,13.379174,2016-09-14 07:16:45.184651
67,296494,1577145,Private room,,PALERMO,0,,2,1.0,,137.0,1.0,38.107096,13.342593,2016-09-14 07:59:34.901534
68,299137,1541870,Private room,,PALERMO,2,,4,1.0,1.0,46.0,1.0,38.119489,13.353011,2016-09-14 08:21:41.527313
