,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,41339,180050,Entire home/apt,06,033,8,4.5,5,1.0,1.0,57.0,2.0,41.148941,-8.661127,2016-10-13 10:06:37.993449
1,42554,185835,Entire home/apt,12,013,58,4.5,4,1.0,1.0,43.0,3.0,41.153485,-8.605854,2016-10-13 15:54:47.999720
2,42560,185835,Entire home/apt,12,010,88,4.5,4,1.0,1.0,52.0,,41.153647,-8.605186,2016-10-13 10:08:26.572139
3,60920,294342,Entire home/apt,10,074,5,4.0,4,2.0,1.0,84.0,2.0,41.166344,-8.608151,2016-10-13 10:05:30.388760
4,61166,228132,Entire home/apt,04,021,58,4.5,4,1.0,1.0,63.0,3.0,41.162157,-8.619633,2016-10-13 15:42:32.746480
5,76436,399503,Entire home/apt,13,004,71,5.0,4,1.0,1.0,171.0,2.0,41.139495,-8.614672,2016-10-13 16:30:20.946848
6,86388,185209,Private room,12,018,95,5.0,2,1.0,2.0,45.0,2.0,41.148473,-8.608121,2016-10-13 10:46:06.213426
7,87873,480980,Entire home/apt,02,011,85,5.0,4,2.0,,50.0,2.0,41.157862,-8.604265,2016-10-13 11:43:15.195667
8,91439,185209,Private room,12,020,114,5.0,4,1.0,2.0,45.0,2.0,41.14833,-8.609828,2016-10-13 13:16:24.617798
9,94701,505473,Entire home/apt,02,041,144,5.0,3,1.0,1.0,47.0,3.0,41.147074,-8.60109,2016-10-13 13:05:09.709144
10,95382,508000,Entire home/apt,14,001,72,5.0,4,1.0,1.0,74.0,3.0,41.144338,-8.60998,2016-10-13 15:35:23.839653
11,95468,508000,Entire home/apt,14,001,43,5.0,4,1.0,1.0,56.0,3.0,41.144063,-8.610269,2016-10-13 10:34:43.822548
12,100661,185209,Private room,12,020,49,5.0,2,1.0,2.0,29.0,2.0,41.148512,-8.609883,2016-10-13 14:08:07.177593
13,103253,538616,Private room,01,002,1,,2,1.0,3.0,34.0,2.0,41.176663,-8.661001,2016-10-13 13:30:42.215230
14,103256,538616,Private room,01,002,6,4.0,2,1.0,,34.0,2.0,41.17622,-8.661858,2016-10-13 10:15:26.705538
15,104045,541968,Entire home/apt,02,012,166,4.5,10,5.0,3.0,171.0,3.0,41.158766,-8.598925,2016-10-13 16:06:53.525142
16,113586,577638,Entire home/apt,15,002,86,4.5,4,1.0,1.0,45.0,3.0,41.146025,-8.614466,2016-10-13 11:07:00.784638
17,117552,185835,Entire home/apt,12,015,40,4.5,5,1.0,1.0,52.0,3.0,41.152906,-8.610981,2016-10-13 10:31:06.876012
18,122362,613350,Entire home/apt,10,033,21,4.5,9,4.0,3.0,57.0,2.0,41.175627,-8.623231,2016-10-13 16:33:02.240069
19,127208,630252,Private room,03,045,237,5.0,2,1.0,1.0,29.0,1.0,41.154096,-8.590969,2016-10-13 15:58:56.250545
20,131994,648963,Entire home/apt,04,047,56,5.0,2,1.0,1.0,63.0,2.0,41.149934,-8.615099,2016-10-13 13:06:45.062410
21,133099,648963,Entire home/apt,15,001,45,5.0,4,1.0,1.0,79.0,3.0,41.150046,-8.612879,2016-10-13 11:42:19.010707
22,139416,679877,Private room,05,011,10,4.5,2,1.0,1.0,52.0,3.0,41.150992,-8.66959,2016-10-13 11:00:21.716256
23,139425,680010,Entire home/apt,02,043,134,4.5,6,1.0,1.0,55.0,2.0,41.145806,-8.594988,2016-10-13 12:57:50.840173
24,139766,680506,Private room,02,040,107,4.5,2,1.0,,31.0,2.0,41.14792,-8.598623,2016-10-13 15:02:36.082328
25,144329,699645,Private room,10,067,0,,2,1.0,,45.0,1.0,41.169314,-8.596987,2016-10-13 10:34:58.059982
26,149225,714120,Entire home/apt,05,015,66,4.5,4,1.0,,52.0,3.0,41.150397,-8.670094,2016-10-13 16:04:16.505890
27,153264,736784,Entire home/apt,11,057,36,4.5,4,2.0,1.0,39.0,3.0,41.163846,-8.649394,2016-10-13 10:54:45.394075
28,155723,748789,Entire home/apt,12,002,4,4.5,5,3.0,3.0,91.0,3.0,41.158885,-8.610016,2016-10-13 13:55:59.230221
29,156820,753549,Entire home/apt,13,002,93,5.0,6,3.0,,113.0,2.0,41.141124,-8.616214,2016-10-13 16:38:51.858669
30,160499,522708,Private room,04,006,4,5.0,2,1.0,2.0,29.0,2.0,41.164367,-8.61924,2016-10-13 10:15:04.695710
31,162484,776463,Entire home/apt,12,020,11,5.0,3,1.0,1.0,68.0,3.0,41.145547,-8.607623,2016-10-13 12:05:36.844945
32,162524,776463,Entire home/apt,12,019,30,5.0,3,1.0,1.0,57.0,3.0,41.145814,-8.607008,2016-10-13 10:30:29.287441
33,162542,776463,Entire home/apt,14,001,19,4.5,4,2.0,1.0,74.0,3.0,41.14563,-8.608876,2016-10-13 14:17:44.066750
34,165699,789887,Entire home/apt,15,001,30,5.0,11,6.0,3.0,227.0,2.0,41.14822,-8.614762,2016-10-13 10:51:30.413073
35,169321,806826,Entire home/apt,02,040,99,5.0,6,2.0,2.0,52.0,2.0,41.147422,-8.597121,2016-10-13 16:05:36.384197
36,170912,815184,Private room,14,005,86,4.5,2,1.0,1.0,33.0,2.0,41.142472,-8.606188,2016-10-13 16:41:22.748577
37,173827,154415,Entire home/apt,06,002,41,5.0,5,1.0,1.0,57.0,3.0,41.161795,-8.658653,2016-10-13 14:43:19.714691
38,180383,864228,Private room,12,012,83,4.0,3,1.0,1.0,40.0,2.0,41.155604,-8.611896,2016-10-13 11:35:29.113679
39,186655,897112,Entire home/apt,06,027,121,5.0,6,3.0,1.0,63.0,1.0,41.152059,-8.652282,2016-10-13 11:23:20.732348
40,186946,898831,Entire home/apt,13,004,145,5.0,4,1.0,1.0,81.0,2.0,41.139689,-8.616247,2016-10-13 10:09:47.152301
41,191005,923371,Entire home/apt,12,013,21,4.5,6,2.0,,85.0,3.0,41.152758,-8.608472,2016-10-13 12:06:50.446776
42,206868,1018203,Private room,04,012,149,4.5,8,1.0,1.0,45.0,2.0,41.163542,-8.626766,2016-10-13 11:10:44.256103
43,211588,1018203,Private room,04,012,136,5.0,8,1.0,1.0,29.0,2.0,41.16241,-8.627186,2016-10-13 16:49:46.771918
44,218191,1128359,Private room,02,016,76,4.5,2,1.0,1.0,20.0,2.0,41.157516,-8.596794,2016-10-13 12:24:26.701363
45,229655,1138920,Entire home/apt,02,025,39,4.5,4,1.0,1.0,50.0,2.0,41.151793,-8.604078,2016-10-13 10:44:18.913598
