,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,69569,349023.0,Entire home/apt,Riga,Rig,35,4.5,4.0,1.0,1.0,57.0,2.0,56.955677,24.124935,2015-12-12 04:00:36.180573
1,83000,451194.0,Entire home/apt,R?ga,R?g,19,4.5,,2.0,1.0,58.0,2.0,56.952762,24.130513,2015-12-12 03:30:18.338655
2,83050,451194.0,Entire home/apt,R?ga,R?g,27,5.0,4.0,1.0,1.0,54.0,2.0,56.951781,24.132775,2015-12-12 03:22:50.756929
3,102486,535750.0,Entire home/apt,Riga,Rig,88,5.0,,2.0,1.0,45.0,1.0,56.954273,24.12949,2015-12-12 03:38:17.350986
4,102579,535750.0,Entire home/apt,Baldones lauku teritorija,Baldones lauku teritorij,14,5.0,,4.0,3.0,74.0,2.0,56.741276,24.422935,2015-12-12 03:22:23.183279
5,120480,606352.0,Entire home/apt,Riga,Rig,155,4.5,5.0,2.0,1.0,39.0,2.0,56.951673,24.105433,2015-12-12 03:40:19.241984
6,139781,681691.0,Private room,Riga,Rig,22,4.5,2.0,1.0,1.0,36.0,2.0,56.958856,24.10948,2015-12-12 03:56:29.989678
7,143429,695850.0,Entire home/apt,Saulkrasti,Saulkrast,0,,4.0,1.0,1.0,41.0,1.0,57.267996,24.417449,2015-12-12 03:41:45.901583
8,174362,451194.0,Entire home/apt,R?ga,R?g,17,4.5,,3.0,,84.0,2.0,56.952912,24.132097,2015-12-12 03:52:33.147193
9,218344,1129126.0,Entire home/apt,R?ga,R?g,12,5.0,,3.0,2.0,131.0,5.0,56.933962,24.080966,2015-12-12 03:30:06.975150
10,240015,451194.0,Entire home/apt,R?ga,R?g,41,4.5,4.0,1.0,1.0,53.0,2.0,56.952069,24.130445,2015-12-12 03:48:57.632319
11,240032,451194.0,Entire home/apt,R?ga,R?g,13,5.0,,2.0,1.0,58.0,2.0,56.953335,24.130489,2015-12-12 04:02:14.125360
12,247454,1297055.0,Entire home/apt,Riga,Rig,43,5.0,2.0,1.0,1.0,89.0,1.0,56.948399,24.107661,2015-12-12 03:51:16.202843
13,253753,1332828.0,Entire home/apt,R?ga,R?g,59,5.0,4.0,1.0,1.0,62.0,2.0,56.95823,24.104289,2015-12-12 03:53:03.112944
14,260539,1297653.0,Entire home/apt,Riga,Rig,8,4.5,,2.0,2.0,68.0,4.0,56.956014,24.135364,2015-12-12 03:21:46.889936
15,264847,1389394.0,Private room,Stopi?i,Stopi?,0,,2.0,1.0,,40.0,1.0,56.943214,24.319863,2015-12-12 03:44:46.489597
16,271978,1423295.0,Private room,J?rmala,J?rmal,0,,2.0,1.0,1.0,113.0,1.0,56.970013,23.772406,2015-12-12 03:43:34.785005
17,281254,1464293.0,Entire home/apt,Riga,Rig,23,4.5,5.0,2.0,,133.0,3.0,56.954666,24.124758,2015-12-12 03:35:47.010681
18,281283,535750.0,Entire home/apt,R?ga,R?g,30,4.5,3.0,1.0,1.0,29.0,2.0,56.974474,24.13768,2015-12-12 03:49:27.922916
19,299351,1542639.0,Private room,Riga,Rig,29,5.0,2.0,1.0,1.0,31.0,1.0,56.955551,24.098955,2015-12-12 04:05:13.475567
20,305919,451194.0,Entire home/apt,R?ga,R?g,16,5.0,,2.0,1.0,60.0,2.0,56.953477,24.131275,2015-12-12 03:48:13.736433
21,305933,451194.0,Entire home/apt,R?ga,R?g,10,4.0,,2.0,1.0,60.0,2.0,56.952052,24.132474,2015-12-12 03:56:24.620074
22,305954,451194.0,Entire home/apt,R?ga,R?g,15,4.5,,2.0,1.0,66.0,2.0,56.953614,24.130242,2015-12-12 03:46:48.197413
23,335035,1706408.0,Entire home/apt,Riga,Rig,15,3.5,,2.0,2.0,45.0,2.0,56.948915,24.122604,2015-12-12 03:34:11.776035
24,335056,1706408.0,Entire home/apt,Riga,Rig,4,3.0,,2.0,2.0,68.0,1.0,56.950668,24.123342,2015-12-12 03:30:14.596471
25,335057,1706408.0,Entire home/apt,Riga,Rig,13,4.5,,3.0,2.0,45.0,3.0,56.94916,24.122772,2015-12-12 03:48:44.690381
26,354874,1441076.0,Entire home/apt,Riga,Rig,19,4.5,,2.0,1.0,90.0,3.0,56.947447,24.113351,2015-12-12 03:22:19.767380
27,355961,1441076.0,Entire home/apt,Riga,Rig,2,5.0,,2.0,1.0,90.0,3.0,56.945967,24.113936,2015-12-12 03:33:36.827543
28,360604,1441076.0,Entire home/apt,Riga,Rig,6,4.5,,2.0,1.0,79.0,3.0,56.94716,24.107896,2015-12-12 03:40:50.493493
29,364884,1843055.0,Entire home/apt,J?rmala,J?rmal,3,5.0,,3.0,1.0,67.0,5.0,56.980022,23.869257,2015-12-12 03:37:47.182667
30,424498,1929477.0,Entire home/apt,Riga,Rig,10,5.0,3.0,1.0,1.0,62.0,1.0,56.958579,24.140257,2015-12-12 03:22:53.543397
31,425949,451194.0,Entire home/apt,R?ga,R?g,10,4.0,,2.0,1.0,60.0,2.0,56.951928,24.131465,2015-12-12 03:41:06.201373
32,429062,2054298.0,Entire home/apt,Riga,Rig,30,5.0,4.0,1.0,1.0,45.0,3.0,56.956651,24.12602,2015-12-12 04:07:57.941284
33,445853,1929477.0,Entire home/apt,Riga,Rig,53,4.5,3.0,1.0,1.0,68.0,1.0,56.960634,24.131838,2015-12-12 04:05:17.765887
34,446612,2218232.0,Entire home/apt,Riga,Rig,95,5.0,2.0,1.0,1.0,45.0,2.0,56.940611,24.093352,2015-12-12 03:33:54.360230
35,450396,2235481.0,Entire home/apt,Riga,Rig,0,,,3.0,1.0,125.0,1.0,56.92657,24.16399,2015-12-12 03:25:09.533843
36,460374,2288605.0,Entire home/apt,R?ga,R?g,13,4.0,4.0,1.0,1.0,35.0,,56.952744,24.121463,2015-12-12 03:29:08.392862
37,474339,1744407.0,Entire home/apt,Riga,Rig,16,4.5,5.0,2.0,1.0,51.0,1.0,56.981668,24.115176,2015-12-12 03:51:36.691639
38,499653,2462971.0,Entire home/apt,J?rmala,J?rmal,3,4.5,,2.0,1.0,113.0,7.0,56.967818,23.807757,2015-12-12 03:43:09.471256
39,514952,2534039.0,Entire home/apt,Riga,Rig,60,4.5,4.0,2.0,1.0,42.0,2.0,56.947687,24.105765,2015-12-12 03:44:44.298493
40,521740,451194.0,Entire home/apt,R?ga,R?g,3,4.5,,2.0,1.0,58.0,2.0,56.953609,24.130531,2015-12-12 04:08:40.501446
41,556102,1854077.0,Private room,Riga,Rig,17,4.5,2.0,1.0,1.0,24.0,1.0,56.953571,24.119146,2015-12-12 04:06:51.569220
42,569469,1441076.0,Entire home/apt,Riga,Rig,4,5.0,5.0,2.0,1.0,90.0,3.0,56.950774,24.133603,2015-12-12 03:35:35.276981
43,574804,2827947.0,Entire home/apt,Riga,Rig,11,4.5,,2.0,1.0,90.0,2.0,56.962596,24.128035,2015-12-12 03:59:04.347542
44,574997,2828542.0,Entire home/apt,Saulkrasti,Saulkrast,18,4.5,4.0,1.0,1.0,51.0,1.0,57.232877,24.390578,2015-12-12 03:21:29.391369
45,580504,2856485.0,Entire home/apt,Riga,Rig,114,5.0,,2.0,1.0,44.0,,56.954415,24.135595,2015-12-12 03:40:03.766197
46,580627,451194.0,Entire home/apt,R?ga,R?g,4,4.5,4.0,1.0,1.0,47.0,2.0,56.953357,24.130737,2015-12-12 03:21:51.584252
47,582369,451194.0,Entire home/apt,R?ga,R?g,4,5.0,,2.0,1.0,58.0,2.0,56.952201,24.132007,2015-12-12 03:43:06.489235
48,589405,1797198.0,Private room,J?rmala,J?rmal,0,,4.0,1.0,1.0,41.0,1.0,56.955089,23.770273,2015-12-12 03:53:32.756765
49,601861,2629417.0,Entire home/apt,Riga,Rig,184,5.0,3.0,1.0,1.0,62.0,2.0,56.950861,24.110858,2015-12-12 03:41:56.633208
50,614576,3048356.0,Entire home/apt,Riga,Rig,24,5.0,4.0,1.0,1.0,51.0,2.0,56.940573,24.005875,2015-12-12 03:47:11.576739
51,623312,3082126.0,Private room,Riga,Rig,49,4.5,2.0,1.0,1.0,21.0,2.0,56.968396,24.19296,2015-12-12 03:35:44.281179
52,639880,3194520.0,Entire home/apt,J?rmala,J?rmal,10,5.0,,5.0,,192.0,3.0,56.95305,23.666695,2015-12-12 04:02:03.365394
53,642027,3208093.0,Entire home/apt,Bab?te,Bab?t,3,5.0,,3.0,,192.0,5.0,56.93407,23.884412,2015-12-12 03:32:03.229861
54,644426,451194.0,Entire home/apt,R?ga,R?g,52,4.5,,2.0,2.0,66.0,2.0,56.952083,24.130595,2015-12-12 03:47:06.814195
55,647176,3244574.0,Entire home/apt,Riga,Rig,44,5.0,2.0,1.0,1.0,81.0,1.0,56.960851,24.106074,2015-12-12 04:05:33.798105
56,674037,3386023.0,Private room,Riga,Rig,62,4.5,,1.0,,19.0,1.0,56.955023,24.13479,2015-12-12 03:34:25.405026
57,676183,3435806.0,Entire home/apt,Riga,Rig,6,4.5,5.0,2.0,1.0,79.0,2.0,56.973033,24.178804,2015-12-12 03:21:16.381380
58,700081,3135185.0,Private room,Riga,Rig,89,5.0,2.0,1.0,1.0,28.0,1.0,56.958907,24.13423,2015-12-12 03:57:58.931875
59,707268,3635378.0,Private room,Riga,Rig,0,,1.0,1.0,1.0,30.0,1.0,56.999637,24.124467,2015-12-12 03:23:25.466054
60,716021,3689816.0,Entire home/apt,Riga,Rig,18,4.0,3.0,1.0,1.0,33.0,5.0,56.952728,24.153638,2015-12-12 03:34:29.085225
61,716025,3689816.0,Entire home/apt,Riga,Rig,38,4.5,5.0,2.0,1.0,44.0,2.0,56.945093,24.125186,2015-12-12 03:21:22.168899
62,721413,3689816.0,Entire home/apt,Riga,Rig,22,4.5,3.0,1.0,1.0,42.0,5.0,56.952604,24.153353,2015-12-12 03:59:01.682252
63,728749,451194.0,Entire home/apt,R?ga,R?g,7,4.5,,2.0,1.0,60.0,2.0,56.951297,24.132012,2015-12-12 03:37:00.396623
64,740385,3874527.0,Private room,Riga,Rig,0,,2.0,1.0,,70.0,1.0,56.987218,24.289245,2015-12-12 03:52:46.180303
65,751458,451194.0,Entire home/apt,R?ga,R?g,7,4.0,,2.0,1.0,58.0,2.0,56.951582,24.130723,2015-12-12 03:28:19.001533
