,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,14063,53598,Entire home/apt,Rio de Janeiro,Botafogo,21,4.5,4,,1.0,80.0,7,-22.946854,-43.182737,2015-01-16 11:26:33.715000
1,17656,68294,Entire home/apt,Rio,Copacabana,6,4.0,6,2.0,2.0,160.0,2,-22.981641,-43.194131,2015-01-16 12:05:08.740000
2,17878,68997,Entire home/apt,Rio de Janeiro,Copacabana,113,4.5,5,2.0,1.0,148.0,4,-22.965919,-43.178962,2015-01-16 10:18:38.511000
3,17897,68496,Entire home/apt,Rio de Janeiro,Ipanema,64,4.5,2,,1.0,103.0,3,-22.983297,-43.195126,2015-01-16 11:09:12.172000
4,18953,68496,Entire home/apt,Rio de Janeiro,Ipanema,14,4.5,2,1.0,1.0,92.0,3,-22.983866,-43.195289,2015-01-16 01:33:09.060000
5,19256,68496,Entire home/apt,Rio de Janeiro,Ipanema,31,4.5,2,,,81.0,3,-22.983669,-43.19747,2015-01-16 03:28:39.563000
6,21280,81163,Entire home/apt,Rio de Janeiro,Ipanema,21,5.0,6,2.0,2.0,282.0,5,-22.98467,-43.196115,2015-01-16 02:30:59.405000
7,21712,82928,Entire home/apt,Rio de Janeiro,Ipanema,32,4.5,4,1.0,2.0,103.0,2,-22.983751,-43.194645,2015-01-16 10:00:43.286000
8,24480,99249,Entire home/apt,Rio de Janeiro,Ipanema,31,5.0,2,1.0,1.0,115.0,3,-22.985698,-43.201935,2015-01-16 07:54:15.950000
9,25026,102840,Entire home/apt,Rio de Janeiro,Copacabana,124,5.0,3,1.0,1.0,107.0,2,-22.977117,-43.190454,2015-01-16 09:25:22.514000
10,31560,135635,Entire home/apt,Rio de Janeiro,Ipanema,82,4.5,3,1.0,1.0,148.0,3,-22.983024,-43.21427,2015-01-16 04:09:08.777000
11,34882,150329,Entire home/apt,Rio de Janeiro,Copacabana,66,5.0,7,2.0,1.5,123.0,3,-22.966881,-43.182147,2015-01-16 03:54:31.444000
12,35636,153232,Entire home/apt,Rio de Janeiro,Ipanema,33,5.0,3,1.0,1.5,160.0,2,-22.988165,-43.193588,2015-01-16 03:20:15.647000
13,35764,153691,Entire home/apt,Rio de Janeiro,Copacabana,125,5.0,3,1.0,1.0,92.0,4,-22.981269,-43.190457,2015-01-16 08:48:58.854000
14,35776,153721,Entire home/apt,Rio de Janeiro,Flamengo,6,5.0,5,2.0,1.5,228.0,3,-22.939331,-43.175208,2015-01-16 09:19:58.497000
15,41198,178975,Entire home/apt,Rio de Janeiro,Copacabana,15,4.0,5,2.0,1.0,166.0,3,-22.978988,-43.193713,2015-01-16 11:25:27.567000
16,41617,181796,Private room,Rio,Flamengo,12,5.0,2,1.0,1.0,74.0,1,-22.92746,-43.176118,2015-01-16 07:17:11.821000
17,41842,182847,Private room,Rio,Santa Teresa,0,,2,1.0,1.0,112.0,2,-22.923484,-43.18823,2015-01-16 05:57:59.345000
18,48305,70933,Entire home/apt,Rio de Janeiro,Ipanema,14,4.0,14,6.0,6.0,1413.0,2,-22.986333,-43.202563,2015-01-16 08:41:22.855000
19,48901,222884,Entire home/apt,Rio,Copacabana,0,,8,4.0,3.0,418.0,5,-22.964675,-43.174418,2015-01-16 01:23:24.113000
20,48902,222884,Entire home/apt,Rio,Humait�,0,,2,1.0,,122.0,5,-22.955418,-43.20058,2015-01-16 01:26:09.161000
21,49179,224192,Entire home/apt,Rio de Janeiro,Copacabana,17,4.5,2,0.0,1.0,86.0,3,-22.97934,-43.191125,2015-01-16 02:19:45.480000
22,50294,70933,Entire home/apt,Rio de Janeiro,Ipanema,29,4.5,8,3.0,3.0,404.0,1,-22.985507,-43.204096,2015-01-16 06:07:36.244000
