,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,1318,1482,Entire home/apt,,VI Municipio,17,5.0,2.0,2.0,1.0,66.0,5.0,41.876495,12.543356,2015-08-29 19:26:35.020747
1,1650,1822,Private room,,XVII Municipio,108,4.5,3.0,1.0,0.5,75.0,1.0,41.917495,12.460583,2015-08-29 19:26:35.020747
2,1741,1944,Entire home/apt,,XVI Municipio,33,4.5,2.0,1.0,1.0,81.0,4.0,41.872248,12.453459,2015-08-29 19:26:35.020747
3,2077,11756,Entire home/apt,,I Municipio,13,4.5,,2.0,1.0,69.0,2.0,41.909614,12.499306,2015-08-29 19:26:35.020747
4,2135,2330,Entire home/apt,,XI Municipio,5,4.5,4.0,2.0,1.0,115.0,3.0,41.872439,12.479622,2015-08-29 19:26:35.020747
5,2162,2353,Entire home/apt,,I Municipio,60,4.5,4.0,2.0,,116.0,3.0,41.892712,12.509593,2015-08-29 19:26:35.020747
6,2737,3047,Private room,,XI Municipio,7,5.0,1.0,1.0,1.0,29.0,3.0,41.872176,12.483547,2015-08-29 19:26:35.020747
7,2903,3280,Private room,,I Municipio,51,4.5,4.0,1.0,1.0,90.0,1.0,41.888258,12.470023,2015-08-29 19:26:35.020747
8,3079,3504,Entire home/apt,,I Municipio,13,4.5,4.0,1.0,1.0,121.0,,41.894196,12.491587,2015-08-29 19:26:35.020747
9,6141,12456,Private room,,II Municipio,256,5.0,2.0,1.0,1.0,76.0,2.0,41.911864,12.499541,2015-08-29 19:26:35.020747
10,6993,16804,Entire home/apt,,XVIII Municipio,0,,5.0,3.0,1.0,167.0,5.0,41.897926,12.45397,2015-08-29 19:26:35.020747
11,11775,11560472,Private room,,XVIII Municipio,65,4.5,4.0,1.0,1.0,65.0,1.0,41.898919,12.455967,2015-08-29 19:26:35.020747
12,11834,44552,Entire home/apt,,I Municipio,75,5.0,3.0,1.0,1.0,104.0,2.0,41.895736,12.490585,2015-08-29 19:26:35.020747
