description,name,room_type,host,price,income,rank,geometry
,84226,Entire home/apt,434488,689,43407,1,"<Point><coordinates>12.470479,41.890925,0.0</coordinates></Point>"
,269005,Entire home/apt,1409308,289,22253,2,"<Point><coordinates>12.503687,41.891899,0.0</coordinates></Point>"
,37054,Entire home/apt,160020,109,21909,3,"<Point><coordinates>12.487079,41.895382,0.0</coordinates></Point>"
,163008,Entire home/apt,778599,153,21420,4,"<Point><coordinates>12.50431,41.887607,0.0</coordinates></Point>"
,747656,Entire home/apt,3925580,124,21328,5,"<Point><coordinates>12.472964,41.894391,0.0</coordinates></Point>"
,348229,Entire home/apt,1764914,254,20828,6,"<Point><coordinates>12.496729,41.896779,0.0</coordinates></Point>"
,366164,Entire home/apt,1848711,145,20010,7,"<Point><coordinates>12.470231,41.892262,0.0</coordinates></Point>"
,825299,Entire home/apt,3925580,139,19738,8,"<Point><coordinates>12.473683,41.89553,0.0</coordinates></Point>"
,153657,Entire home/apt,738979,116,19256,9,"<Point><coordinates>12.491868,41.895756,0.0</coordinates></Point>"
,226372,Entire home/apt,1180196,109,19184,10,"<Point><coordinates>12.496306,41.890525,0.0</coordinates></Point>"
,984327,Entire home/apt,5397966,290,19140,11,"<Point><coordinates>12.472923,41.89901,0.0</coordinates></Point>"
,739291,Entire home/apt,427572,174,18792,12,"<Point><coordinates>12.465,41.908011,0.0</coordinates></Point>"
,691436,Entire home/apt,3276565,248,18352,13,"<Point><coordinates>12.4812,41.880246,0.0</coordinates></Point>"
,174501,Entire home/apt,487181,146,17374,14,"<Point><coordinates>12.445283,41.906236,0.0</coordinates></Point>"
,121609,Private room,610888,109,17222,15,"<Point><coordinates>12.5027,41.897292,0.0</coordinates></Point>"
,67709,Entire home/apt,334506,109,16677,16,"<Point><coordinates>12.466409,41.890661,0.0</coordinates></Point>"
,256695,Entire home/apt,1350540,204,16116,17,"<Point><coordinates>12.478223,41.887768,0.0</coordinates></Point>"
,622105,Entire home/apt,895292,189,15876,18,"<Point><coordinates>12.499105,41.884048,0.0</coordinates></Point>"
