,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,35108,151117,Shared room,,Changjeon-dong,2,,6,1.0,1.0,20.0,2.0,37.553134,126.925835,2016-05-29 06:31:54.482589
1,50657,151117,Private room,,Seogyo-dong,7,4.5,1,1.0,1.0,46.0,2.0,37.555893,126.928023,2016-05-29 06:19:52.450358
2,50809,233925,Entire home/apt,,Yeongeon-dong,8,5.0,2,0.0,1.0,151.0,1.0,37.576998,126.997793,2016-05-29 00:55:38.168069
3,81855,444785,Shared room,,Waryong-dong,6,4.5,6,1.0,1.0,14.0,1.0,37.575486,126.990546,2016-05-29 09:12:35.679440
4,81858,444785,Private room,,Gwonnong-dong,2,,1,1.0,1.0,35.0,1.0,37.577231,126.991428,2016-05-29 07:59:50.536092
5,81860,444785,Private room,,Waryong-dong,4,5.0,2,1.0,1.0,36.0,1.0,37.577029,126.990747,2016-05-29 11:33:35.324008
6,82728,444785,Private room,,Hunjeong-dong,2,,2,1.0,1.0,37.0,1.0,37.576173,126.991711,2016-05-29 08:19:09.395065
7,86016,151117,Private room,,Seogyo-dong,3,4.5,2,1.0,,59.0,2.0,37.555285,126.927202,2016-05-29 07:46:10.338564
8,116599,589056,Private room,,Yeonhui-dong,0,,4,1.0,1.0,98.0,3.0,37.571402,126.927789,2016-05-29 04:05:35.985984
9,117906,233925,Entire home/apt,,Wonnam-dong,2,,2,0.0,1.0,114.0,1.0,37.575781,126.996836,2016-05-29 05:21:28.848849
10,118591,233925,Entire home/apt,,Waryong-dong,6,4.5,4,0.0,1.0,157.0,2.0,37.577566,126.996916,2016-05-29 10:13:36.947472
11,126573,2304707,Entire home/apt,,Pil-dong 1(il)-ga,22,5.0,10,2.0,1.0,119.0,3.0,37.561032,126.991835,2016-05-29 10:04:25.169541
12,143226,233925,Entire home/apt,,Wonnam-dong,4,5.0,2,0.0,1.0,109.0,2.0,37.575365,126.99795,2016-05-29 03:05:15.484503
13,154329,742196,Private room,,Gye-dong,0,,2,1.0,,55.0,2.0,37.581909,126.987421,2016-05-29 08:19:05.641242
14,154342,742196,Private room,,Gye-dong,2,,2,1.0,1.0,71.0,2.0,37.580588,126.986215,2016-05-29 08:07:29.558057
15,184902,887239,Private room,,Sanggye-dong,0,,1,1.0,,36.0,1.0,37.665257,127.065515,2016-05-29 08:22:19.777249
16,185782,892162,Entire home/apt,,Seogyo-dong,3,5.0,10,3.0,1.0,200.0,2.0,37.554688,126.930803,2016-05-29 10:09:41.305970
17,218680,233925,Entire home/apt,,Wonnam-dong,0,,4,0.0,1.0,212.0,2.0,37.575475,126.998362,2016-05-29 06:59:18.617561
18,226226,1446422,Private room,,Hwayang-dong,74,5.0,2,1.0,1.0,50.0,1.0,37.540028,127.07257,2016-05-29 05:21:35.494336
19,229245,1196918,Entire home/apt,,Naesu-dong,1,,2,1.0,1.0,113.0,6.0,37.573291,126.971206,2016-05-29 11:37:20.448964
20,234506,1228318,Private room,,Changjeon-dong,1,,1,1.0,1.0,36.0,3.0,37.55173,126.930966,2016-05-29 10:03:43.674280
21,237330,1244670,Private room,,Jingwan-dong,5,4.5,3,1.0,1.0,52.0,2.0,37.640751,126.941039,2016-05-29 11:02:16.311147
22,237431,1245014,Private room,,Eungbong-dong,0,,2,1.0,,50.0,7.0,37.552485,127.034811,2016-05-29 06:57:08.799136
23,237451,1245014,Private room,,Eungbong-dong,0,,1,1.0,1.0,50.0,7.0,37.55306,127.035399,2016-05-29 02:12:05.732920
24,237471,1245014,Private room,,Eungbong-dong,0,,1,1.0,1.0,52.0,7.0,37.552613,127.035306,2016-05-29 09:14:03.791816
25,239130,1228318,Private room,,Changjeon-dong,3,4.5,1,1.0,1.0,30.0,7.0,37.55176,126.931485,2016-05-29 02:34:28.932056
26,245055,1284742,Entire home/apt,,Sindang-dong,58,4.5,6,1.0,1.0,50.0,1.0,37.564125,127.026394,2016-05-29 04:52:32.167219
27,265944,1446422,Entire home/apt,,Jayang-dong,13,5.0,4,3.0,2.0,201.0,3.0,37.538854,127.071314,2016-05-29 04:02:47.924724
28,277412,953888,Entire home/apt,,Wonnam-dong,65,4.5,4,1.0,1.0,55.0,2.0,37.576337,126.998234,2016-05-29 11:07:26.849446
29,282505,1472473,Shared room,,Seogyo-dong,0,,10,1.0,,50.0,1.0,37.550333,126.916661,2016-05-29 06:36:12.852468
30,292572,1508307,Entire home/apt,,Seogyo-dong,107,4.5,3,1.0,1.0,45.0,1.0,37.553784,126.918574,2016-05-29 11:31:36.769414
31,298522,1538054,Entire home/apt,,Malli-dong 1(il)-ga,164,5.0,5,2.0,1.0,65.0,3.0,37.555353,126.967966,2016-05-29 07:19:46.585658
32,299877,1425202,Entire home/apt,,Itaewon-dong,27,4.5,8,2.0,1.0,60.0,2.0,37.533465,126.992885,2016-05-29 07:58:21.374305
33,300609,1425202,Entire home/apt,,Itaewon-dong,16,4.5,10,3.0,1.0,90.0,2.0,37.53386,126.992829,2016-05-29 10:06:55.911292
34,300826,1549545,Shared room,,Changcheon-dong,4,3.5,4,1.0,2.0,15.0,15.0,37.559043,126.935964,2016-05-29 06:24:11.612551
35,304703,1544607,Entire home/apt,,Yeoksam-dong,15,5.0,2,1.0,1.0,85.0,3.0,37.504195,127.03393,2016-05-29 10:36:36.989306
36,304906,1544607,Entire home/apt,,Yeoksam-dong,3,5.0,2,1.0,1.0,88.0,3.0,37.506124,127.033501,2016-05-29 08:07:36.582888
37,305641,1572120,Entire home/apt,,Naengcheon-dong,78,4.5,2,1.0,1.0,50.0,1.0,37.567084,126.962222,2016-05-29 01:57:42.112218
38,305837,1446422,Private room,,Jayang-dong,11,5.0,2,1.0,1.0,80.0,1.0,37.535976,127.073572,2016-05-29 10:01:27.063362
39,309731,1544607,Entire home/apt,,Yeoksam-dong,16,5.0,3,1.0,1.0,95.0,3.0,37.504872,127.031899,2016-05-29 11:34:25.027435
40,323746,1656863,Shared room,,Bugahyeon-dong,9,4.0,2,1.0,0.0,40.0,1.0,37.559676,126.955708,2016-05-29 09:44:17.549449
41,327959,1673510,Entire home/apt,,Itaewon-dong,56,5.0,2,2.0,,50.0,4.0,37.532971,126.994261,2016-05-29 08:20:20.288376
42,328224,1677335,Entire home/apt,,Banghwa-dong,1,,16,10.0,0.0,30.0,7.0,37.565143,126.808984,2016-05-29 03:58:13.110173
43,341838,1284742,Entire home/apt,,Chungmuro 5(o)-ga,81,4.5,6,1.0,1.0,77.0,1.0,37.562925,127.000132,2016-05-29 05:05:26.296874
44,341897,1284742,Entire home/apt,,Sindang-dong,38,4.0,6,1.0,1.0,57.0,1.0,37.565028,127.026385,2016-05-29 09:43:27.278468
45,345671,1753349,Private room,,Seocho-dong,11,4.5,2,1.0,2.0,39.0,1.0,37.499817,127.017702,2016-05-29 08:57:07.698689
46,348991,1768470,Entire home/apt,,Ogin-dong,87,5.0,4,2.0,2.0,185.0,3.0,37.581566,126.970209,2016-05-29 06:55:06.919680
47,354492,589056,Private room,,Yeonhui-dong,1,,2,1.0,1.0,49.0,2.0,37.569253,126.929277,2016-05-29 03:28:44.342957
48,356301,1736391,Shared room,,Jeungsan-dong,3,4.0,4,1.0,1.0,20.0,1.0,37.583154,126.908408,2016-05-29 06:57:03.174655
49,363709,1736391,Shared room,,Jeungsan-dong,4,5.0,4,1.0,1.0,20.0,1.0,37.584756,126.910315,2016-05-29 05:02:06.036782
50,379521,1905813,Private room,,Jangchung-dong 1(il)-ga,40,5.0,4,1.0,1.0,40.0,2.0,37.562178,127.009313,2016-05-29 02:40:03.144645
