description,name,room_type,host,price,income,rank,geometry
,884409,Entire home/apt,4683724,272,19040,1,"<Point><coordinates>-6.00124,37.391639,0.0</coordinates></Point>"
,543350,Entire home/apt,2671302,105,18900,2,"<Point><coordinates>-5.996476,37.395281,0.0</coordinates></Point>"
,881478,Entire home/apt,4663487,208,17472,3,"<Point><coordinates>-5.991424,37.390112,0.0</coordinates></Point>"
,1120526,Entire home/apt,3015287,93,16647,4,"<Point><coordinates>-5.991088,37.387759,0.0</coordinates></Point>"
,803984,Entire home/apt,3015287,86,14878,5,"<Point><coordinates>-5.993038,37.385957,0.0</coordinates></Point>"
,632876,Entire home/apt,1198187,57,14820,6,"<Point><coordinates>-5.991733,37.402866,0.0</coordinates></Point>"
,631575,Entire home/apt,1450295,79,14773,7,"<Point><coordinates>-5.992976,37.387644,0.0</coordinates></Point>"
,1049719,Entire home/apt,5780076,67,14338,8,"<Point><coordinates>-5.984551,37.391847,0.0</coordinates></Point>"
,108742,Entire home/apt,562545,107,14338,9,"<Point><coordinates>-5.996296,37.403922,0.0</coordinates></Point>"
,613844,Entire home/apt,3043319,115,13685,10,"<Point><coordinates>-5.989292,37.391755,0.0</coordinates></Point>"
,229403,Entire home/apt,1198187,50,13500,11,"<Point><coordinates>-5.990884,37.399129,0.0</coordinates></Point>"
,596803,Entire home/apt,2964157,72,13464,12,"<Point><coordinates>-5.995547,37.387018,0.0</coordinates></Point>"
,532392,Entire home/apt,2616444,140,13020,13,"<Point><coordinates>-6.005185,37.385135,0.0</coordinates></Point>"
,1585275,Entire home/apt,8445851,72,12888,14,"<Point><coordinates>-5.987792,37.392826,0.0</coordinates></Point>"
,597776,Entire home/apt,2955713,115,12765,15,"<Point><coordinates>-5.989641,37.39138,0.0</coordinates></Point>"
,266016,Entire home/apt,1391956,93,12741,16,"<Point><coordinates>-5.98592,37.380813,0.0</coordinates></Point>"
,321192,Entire home/apt,1643754,100,12700,17,"<Point><coordinates>-5.98447,37.391329,0.0</coordinates></Point>"
,1672151,Entire home/apt,8445851,79,12245,18,"<Point><coordinates>-5.984255,37.392376,0.0</coordinates></Point>"
,742801,Entire home/apt,3889491,92,11776,19,"<Point><coordinates>-5.992417,37.388012,0.0</coordinates></Point>"
,985433,Entire home/apt,5406544,115,11730,20,"<Point><coordinates>-5.985114,37.383791,0.0</coordinates></Point>"
,2488846,Entire home/apt,4431575,136,11696,21,"<Point><coordinates>-5.991833,37.386454,0.0</coordinates></Point>"
,2757336,Entire home/apt,4431575,136,11696,22,"<Point><coordinates>-5.990815,37.387458,0.0</coordinates></Point>"
,799368,Entire home/apt,4208935,100,11600,23,"<Point><coordinates>-5.991171,37.398267,0.0</coordinates></Point>"
,751667,Entire home/apt,3952052,85,11560,24,"<Point><coordinates>-5.992366,37.389291,0.0</coordinates></Point>"
,217440,Private room,606762,42,11172,25,"<Point><coordinates>-5.993171,37.38868,0.0</coordinates></Point>"
,1207761,Entire home/apt,5730934,97,10961,26,"<Point><coordinates>-5.988503,37.395298,0.0</coordinates></Point>"
,714219,Entire home/apt,3678327,89,10591,27,"<Point><coordinates>-5.990143,37.390534,0.0</coordinates></Point>"
,120619,Private room,606762,39,10257,28,"<Point><coordinates>-5.9986,37.391306,0.0</coordinates></Point>"
,108236,Entire home/apt,560040,106,10070,29,"<Point><coordinates>-5.998874,37.396448,0.0</coordinates></Point>"
,2721405,Entire home/apt,8445851,83,10043,30,"<Point><coordinates>-5.995374,37.391857,0.0</coordinates></Point>"
,1838091,Entire home/apt,2614256,139,10008,31,"<Point><coordinates>-5.995653,37.387212,0.0</coordinates></Point>"
,1034480,Entire home/apt,5046337,72,9936,32,"<Point><coordinates>-5.987187,37.390811,0.0</coordinates></Point>"
,1842444,Entire home/apt,2614256,193,9457,33,"<Point><coordinates>-5.995567,37.386049,0.0</coordinates></Point>"
,384727,Private room,1920069,57,9348,34,"<Point><coordinates>-5.993584,37.384137,0.0</coordinates></Point>"
,394083,Entire home/apt,1428269,86,9288,35,"<Point><coordinates>-5.981757,37.380878,0.0</coordinates></Point>"
,581059,Entire home/apt,2859478,79,9164,36,"<Point><coordinates>-5.995378,37.390174,0.0</coordinates></Point>"
,1123440,Entire home/apt,6162974,93,9114,37,"<Point><coordinates>-6.00157,37.384704,0.0</coordinates></Point>"
,2377375,Entire home/apt,12145126,107,8881,38,"<Point><coordinates>-5.994198,37.387298,0.0</coordinates></Point>"
