,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,54096,253154,Private room,Shanghai,Shangha,96,4.5,2,1.0,1.0,39.0,1.0,31.207175,121.465865,2016-05-08 07:56:13.136394
1,57773,253154,Private room,Shanghai,Shangha,44,4.5,1,1.0,1.0,25.0,7.0,31.206725,121.465517,2016-05-08 04:16:45.919077
2,84311,305758,Entire home/apt,Shanghai,Shangha,60,4.5,2,0.0,1.0,32.0,3.0,31.206541,121.438643,2016-05-08 06:54:06.416602
3,88242,253154,Private room,Shanghai,Shangha,21,4.5,1,1.0,0.0,25.0,7.0,31.205457,121.464489,2016-05-08 05:12:34.114184
4,116637,589194,Private room,Shanghai,Shangha,0,,1,1.0,,55.0,1.0,31.233303,121.364822,2016-05-08 07:52:27.234119
5,120547,606576,Private room,Suzhou,Suzho,0,,1,1.0,,29.0,1.0,31.316807,120.66197,2016-05-08 07:17:51.814207
6,139757,681552,Entire home/apt,Shanghai,Shangha,3,3.5,4,1.0,1.0,64.0,1.0,31.243747,121.442974,2016-05-08 05:11:04.675971
7,139815,681552,Entire home/apt,Shanghai,Shangha,1,,3,1.0,1.0,64.0,1.0,31.243542,121.442454,2016-05-08 05:06:58.843839
8,139828,681552,Entire home/apt,Shanghai,Shangha,10,4.5,3,1.0,1.0,54.0,1.0,31.244821,121.442977,2016-05-08 04:20:44.548767
9,139846,681552,Entire home/apt,Shanghai,Shangha,50,4.5,3,1.0,1.0,55.0,1.0,31.244849,121.44409,2016-05-08 07:17:43.924102
10,180487,798993,Entire home/apt,Shanghai,Shangha,11,4.5,2,1.0,,125.0,3.0,31.265623,121.485954,2016-05-08 07:32:26.335429
11,185736,891951,Private room,Shanghai,Shangha,0,,1,1.0,1.0,69.0,3.0,31.219679,121.449302,2016-05-08 06:45:37.650091
12,206715,1017024,Private room,Shanghai,Shangha,78,5.0,2,1.0,1.0,56.0,3.0,31.310122,121.543714,2016-05-08 04:39:36.106730
13,210176,1036257,Private room,Shanghai,Shangha,0,,1,1.0,2.0,60.0,1.0,31.221823,121.454458,2016-05-08 08:08:46.190162
14,233789,1224183,Private room,Shanghai,Shangha,0,,1,1.0,1.0,60.0,1.0,31.204252,121.489205,2016-05-08 06:50:27.734038
15,242801,1274858,Private room,Shanghai,Shangha,0,,1,1.0,1.0,100.0,1.0,31.220701,121.466085,2016-05-08 04:27:28.002610
16,252486,1321593,Private room,Shanghai,Shangha,2,,2,1.0,,90.0,2.0,31.204939,121.441152,2016-05-08 06:57:19.160720
17,253618,1331906,Private room,Suzhou,Suzho,72,4.5,12,1.0,2.0,22.0,1.0,31.319089,120.569866,2016-05-08 07:04:15.386719
18,259574,1362746,Private room,Shanghai,Shangha,8,5.0,2,1.0,1.0,29.0,3.0,31.37343,121.240619,2016-05-08 05:55:34.065645
19,259591,1362746,Private room,Shanghai,Shangha,16,5.0,2,1.0,1.0,39.0,2.0,31.372199,121.239109,2016-05-08 04:37:00.594515
20,275046,1437915,Entire home/apt,Shanghai,Shangha,4,4.5,8,4.0,2.0,175.0,7.0,31.199003,121.441288,2016-05-08 04:31:13.322873
21,298019,1535479,Private room,Shanghai,Shangha,0,,2,1.0,1.0,79.0,1.0,31.198945,121.469425,2016-05-08 05:09:30.893453
22,310357,1362746,Private room,Shanghai,Shangha,35,4.5,2,1.0,1.0,19.0,3.0,31.373081,121.239447,2016-05-08 07:17:16.854245
23,312696,681552,Private room,Shanghai,Shangha,1,,3,1.0,1.0,95.0,1.0,31.242503,121.443725,2016-05-08 05:56:15.694194
24,322045,681552,Entire home/apt,Shanghai,Shangha,15,4.0,3,1.0,1.0,59.0,1.0,31.237676,121.450427,2016-05-08 04:15:08.040855
25,341062,681552,Entire home/apt,Shanghai,Shangha,2,,4,1.0,1.0,63.0,1.0,31.243416,121.442836,2016-05-08 07:55:31.928155
26,341063,681552,Entire home/apt,Shanghai,Shangha,4,4.0,4,1.0,1.0,64.0,1.0,31.242541,121.442704,2016-05-08 04:55:03.645416
27,350728,1777552,Private room,Shanghai,Shangha,46,4.5,2,1.0,1.0,28.0,1.0,31.220962,121.433035,2016-05-08 07:52:06.676337
28,352669,1785341,Private room,Shanghai,Shangha,5,5.0,2,1.0,1.0,16.0,2.0,31.229508,121.458729,2016-05-08 07:16:51.996226
29,357910,1810705,Entire home/apt,Shanghai,Shangha,4,5.0,6,3.0,1.0,95.0,3.0,31.261269,121.454627,2016-05-08 04:30:18.588641
30,358925,1810705,Entire home/apt,Shanghai,Shangha,11,4.5,2,1.0,1.0,69.0,3.0,31.220702,121.442133,2016-05-08 06:45:20.842447
31,359572,1667646,Private room,Shanghai,Shangha,0,,2,1.0,,46.0,2.0,31.246921,121.433233,2016-05-08 05:54:58.144155
32,378574,1209801,Entire home/apt,Shanghai,Shangha,28,4.0,2,1.0,1.0,58.0,3.0,31.221821,121.532011,2016-05-08 05:30:28.429934
33,395088,1974731,Entire home/apt,Shanghai,Shangha,7,4.5,2,1.0,1.0,50.0,3.0,31.252965,121.46444,2016-05-08 07:39:51.566169
34,397895,1974731,Entire home/apt,Shanghai,Shangha,0,,2,1.0,1.0,58.0,3.0,31.255661,121.462245,2016-05-08 08:01:15.092687
35,397946,1974731,Entire home/apt,Shanghai,Shangha,2,,4,1.0,1.0,62.0,3.0,31.2554,121.46432,2016-05-08 04:40:36.266468
36,402315,681552,Entire home/apt,Shanghai,Shangha,7,3.5,3,1.0,0.0,54.0,1.0,31.243905,121.443827,2016-05-08 06:47:43.396304
37,422741,1209801,Entire home/apt,Shanghai,Shangha,10,4.0,2,1.0,1.0,35.0,5.0,31.202735,121.548603,2016-05-08 07:22:07.627561
38,427038,2122588,Private room,Shanghai,Shangha,0,,2,1.0,1.0,50.0,3.0,31.215321,121.462719,2016-05-08 07:33:16.837759
39,437814,1037734,Entire home/apt,Shanghai,Shangha,2,,5,2.0,,140.0,3.0,31.222431,121.489433,2016-05-08 06:50:19.506615
40,479499,681552,Entire home/apt,Shanghai,Shangha,20,4.0,3,1.0,1.0,63.0,1.0,31.242329,121.443255,2016-05-08 07:14:29.148506
41,479506,681552,Entire home/apt,Shanghai,Shangha,10,3.5,3,1.0,1.0,55.0,1.0,31.243565,121.442796,2016-05-08 07:36:17.450070
42,479517,681552,Entire home/apt,Shanghai,Shangha,3,4.0,3,1.0,1.0,65.0,1.0,31.242641,121.442915,2016-05-08 07:58:36.552160
43,479530,681552,Entire home/apt,Shanghai,Shangha,2,,3,1.0,1.0,60.0,1.0,31.243727,121.442494,2016-05-08 06:28:51.666197
44,496387,681552,Entire home/apt,Shanghai,Shangha,2,,3,1.0,1.0,64.0,1.0,31.243167,121.444742,2016-05-08 07:01:44.222149
45,496972,2454164,Private room,Shanghai,Shangha,43,4.5,2,1.0,1.0,25.0,1.0,31.278591,121.495415,2016-05-08 04:42:34.835626
46,519944,2131088,Private room,Shanghai,Shangha,5,4.5,1,1.0,1.0,44.0,1.0,31.237627,121.422495,2016-05-08 07:01:05.562099
47,542994,2669741,Entire home/apt,Shanghai,Shangha,0,,2,1.0,1.0,65.0,1.0,31.216764,121.418331,2016-05-08 04:22:35.684815
48,543051,2669741,Entire home/apt,Shanghai,Shangha,0,,2,1.0,1.0,65.0,1.0,31.216372,121.416856,2016-05-08 06:18:46.037454
49,543070,2669741,Entire home/apt,Shanghai,Shangha,12,4.0,4,1.0,1.0,70.0,1.0,31.216279,121.41655,2016-05-08 04:22:19.220782
50,556023,2669741,Entire home/apt,Shanghai,Shangha,0,,2,1.0,1.0,68.0,1.0,31.247931,121.48976,2016-05-08 04:47:01.655719
51,556040,2669741,Entire home/apt,Shanghai,Shangha,6,5.0,2,1.0,1.0,70.0,1.0,31.247091,121.488369,2016-05-08 08:00:05.313945
52,556059,2669741,Entire home/apt,Shanghai,Shangha,1,,4,1.0,1.0,80.0,1.0,31.247542,121.489812,2016-05-08 05:04:16.812419
53,590810,2454164,Shared room,Shanghai,Shangha,32,4.5,1,1.0,,17.0,1.0,31.275736,121.497548,2016-05-08 04:17:17.691123
54,610343,1404543,Entire home/apt,Shanghai,Shangha,18,5.0,2,1.0,1.0,149.0,3.0,31.242257,121.482682,2016-05-08 07:07:47.708231
55,619605,3047949,Entire home/apt,Shanghai,Shangha,0,,2,1.0,1.0,158.0,7.0,31.242312,121.484624,2016-05-08 05:51:44.720079
56,619673,3047949,Entire home/apt,Shanghai,Shangha,0,,2,1.0,1.0,174.0,7.0,31.244077,121.484301,2016-05-08 04:47:53.092827
57,619691,3047949,Entire home/apt,Shanghai,Shangha,0,,2,1.0,1.0,195.0,3.0,31.242692,121.482437,2016-05-08 06:03:07.526480
58,619726,3047949,Entire home/apt,Shanghai,Shangha,1,,2,1.0,1.0,134.0,7.0,31.242653,121.483808,2016-05-08 04:29:50.243048
59,633535,1974731,Entire home/apt,Shanghai,Shangha,3,3.5,4,1.0,1.0,66.0,3.0,31.254682,121.464249,2016-05-08 04:51:09.432492
60,633568,1974731,Entire home/apt,Shanghai,Shangha,6,4.5,2,1.0,1.0,62.0,2.0,31.254755,121.463627,2016-05-08 06:43:40.572063
61,641094,3181331,Entire home/apt,Shanghai,Shangha,30,4.5,5,2.0,,199.0,2.0,31.215631,121.45474,2016-05-08 04:09:08.800289
62,641116,3181331,Entire home/apt,Shanghai,Shangha,15,5.0,3,1.0,1.0,119.0,2.0,31.213876,121.45515,2016-05-08 06:32:15.850359
63,641118,3181331,Entire home/apt,Shanghai,Shangha,33,5.0,5,2.0,1.0,149.0,2.0,31.214001,121.454453,2016-05-08 07:23:12.468868
64,641122,3181331,Entire home/apt,Shanghai,Shangha,3,4.5,3,1.0,1.0,119.0,2.0,31.216098,121.454437,2016-05-08 06:06:57.742485
65,641125,3181331,Entire home/apt,Shanghai,Shangha,15,5.0,3,0.0,1.0,119.0,2.0,31.213694,121.45877,2016-05-08 05:19:35.160737
66,641126,3181331,Entire home/apt,Shanghai,Shangha,26,5.0,5,2.0,2.0,169.0,2.0,31.215045,121.455054,2016-05-08 05:31:49.178316
67,648173,3181331,Entire home/apt,Shanghai,Shangha,30,4.5,5,2.0,,189.0,2.0,31.213866,121.453075,2016-05-08 07:10:49.276583
68,648190,3181331,Entire home/apt,Shanghai,Shangha,24,4.5,5,2.0,,189.0,2.0,31.214275,121.458953,2016-05-08 06:45:17.366555
69,648194,3181331,Entire home/apt,Shanghai,Shangha,16,5.0,3,1.0,1.0,119.0,2.0,31.214922,121.455018,2016-05-08 06:27:34.883296
70,662560,3346365,Private room,Shanghai,Shangha,0,,2,1.0,1.0,40.0,1.0,31.190645,121.442638,2016-05-08 05:46:03.830012
71,669100,3387343,Private room,???,??,0,,1,1.0,2.0,45.0,1.0,31.230599,121.420074,2016-05-08 04:42:22.963240
72,669168,3335254,Private room,Shanghai,Shangha,4,5.0,2,1.0,1.0,60.0,1.0,31.113727,121.382963,2016-05-08 06:42:22.653861
73,670684,2454164,Private room,Shanghai,Shangha,4,4.5,2,1.0,1.0,25.0,1.0,31.278003,121.491341,2016-05-08 07:30:49.086866
74,674925,3387343,Private room,???,??,12,5.0,1,1.0,2.0,29.0,2.0,31.231502,121.421385,2016-05-08 06:06:24.907960
75,688368,3448109,Private room,Shanghai,Shangha,6,5.0,2,1.0,1.0,70.0,1.0,31.228646,121.456756,2016-05-08 06:53:59.546260
76,699888,2454164,Private room,Shanghai,Shangha,17,4.0,2,1.0,1.0,25.0,1.0,31.278301,121.493466,2016-05-08 06:54:54.655193
77,710225,1331906,Private room,Suzhou,Suzho,14,4.5,12,1.0,2.0,22.0,1.0,31.31941,120.571877,2016-05-08 04:47:02.215391
78,726930,2182022,Private room,Shanghai,Shangha,0,,3,1.0,,29.0,5.0,31.242822,121.533881,2016-05-08 04:22:07.193444
79,727123,2182022,Private room,Shanghai,Shangha,0,,2,1.0,1.0,29.0,3.0,31.242699,121.534033,2016-05-08 05:13:48.970385
80,727162,2182022,Entire home/apt,Shanghai,Shangha,0,,2,1.0,,29.0,5.0,31.241009,121.532139,2016-05-08 04:59:25.342644
81,731672,3808518,Entire home/apt,Shanghai,Shangha,5,4.0,2,1.0,1.0,87.0,2.0,31.241586,121.522238,2016-05-08 06:27:15.646146
82,736360,3808518,Entire home/apt,Shanghai,Shangha,4,3.5,2,1.0,1.0,87.0,1.0,31.24001,121.522272,2016-05-08 06:43:55.730242
83,736473,1759078,Private room,Shanghai,Shangha,11,5.0,1,1.0,,34.0,2.0,31.184413,121.495124,2016-05-08 04:40:17.895080
84,736499,3808518,Entire home/apt,Shanghai,Shangha,0,,2,1.0,1.0,76.0,1.0,31.241506,121.522025,2016-05-08 06:08:06.537378
85,736526,3808518,Entire home/apt,Shanghai,Shangha,2,,2,1.0,1.0,76.0,1.0,31.240033,121.521845,2016-05-08 04:22:51.887035
