,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,32780,141881,Entire home/apt,Spoleto,Spolet,1,5.0,4.0,10.0,,112.0,2.0,42.674853,12.74539,2016-03-04 11:31:22.463710
1,66059,323220,Private room,Terni,Tern,1,5.0,3.0,1.0,1.0,73.0,2.0,42.524227,12.625045,2016-03-04 12:18:23.135563
2,67306,330926,Private room,Monte Castello di Vibio,Monte Castello di Vibi,0,,,1.0,3.0,78.0,2.0,42.838236,12.348538,2016-03-04 11:57:06.270460
3,71942,366012,Private room,Assisi,Assis,0,,2.0,1.0,,106.0,1.0,43.070379,12.611315,2016-03-04 11:56:13.174769
4,85548,468598,Private room,Bastia Umbra,Bastia Umbr,8,5.0,4.0,1.0,3.0,62.0,1.0,43.065656,12.540807,2016-03-04 11:45:31.242485
5,85783,470386,Entire home/apt,Spoleto,Spolet,0,,4.0,1.0,1.0,73.0,1.0,42.782229,12.798396,2016-03-04 11:36:37.224389
6,88388,483330,Entire home/apt,Spoleto,Spolet,14,4.5,,4.0,4.0,89.0,1.0,42.77533,12.701039,2016-03-04 12:17:38.551045
7,125784,624863,Entire home/apt,Spoleto,Spolet,12,5.0,5.0,2.0,2.0,140.0,3.0,42.781457,12.798364,2016-03-04 12:19:22.779249
8,128456,624863,Entire home/apt,Spoleto,Spolet,11,4.5,4.0,1.0,1.0,101.0,3.0,42.781507,12.797672,2016-03-04 11:55:56.326188
9,129566,639005,Private room,Assisi,Assis,41,4.5,2.0,1.0,1.0,45.0,1.0,43.074552,12.608892,2016-03-04 11:33:20.301097
10,137866,673792,Entire home/apt,Spoleto,Spolet,0,,2.0,1.0,1.0,34.0,4.0,42.705732,12.609001,2016-03-04 11:33:16.960488
11,148394,716564,Entire home/apt,Stroncone,Stroncon,12,4.5,2.0,1.0,1.0,39.0,3.0,42.49762,12.664225,2016-03-04 11:31:25.008069
12,152817,735026,Entire home/apt,Montefalco,Montefalc,0,,,3.0,3.0,67.0,1.0,42.846757,12.688065,2016-03-04 12:09:23.246593
13,153912,740210,Private room,Assisi,Assis,0,,4.0,1.0,2.0,67.0,1.0,43.084877,12.670451,2016-03-04 11:50:10.927517
14,159826,766323,Private room,Baschi,Basch,0,,,1.0,6.0,225.0,1.0,42.728187,12.335585,2016-03-04 12:13:33.901189
15,189531,914388,Private room,Bastia Umbra,Bastia Umbr,0,,2.0,1.0,1.0,34.0,1.0,43.070542,12.536576,2016-03-04 11:53:38.711988
16,194462,944498,Private room,Ferentillo,Ferentill,0,,3.0,1.0,1.0,22.0,2.0,42.624828,12.781461,2016-03-04 11:45:34.797095
17,207350,1027291,Private room,Todi,Tod,2,5.0,2.0,1.0,1.0,27.0,2.0,42.762617,12.436163,2016-03-04 12:13:50.457680
18,220308,1142007,Entire home/apt,Foligno,Folign,87,4.5,5.0,2.0,1.0,33.0,1.0,42.979607,12.72476,2016-03-04 12:16:54.582608
19,228181,566462,Private room,Bastia Umbra,Bastia Umbr,0,,4.0,1.0,1.0,67.0,3.0,43.067896,12.547723,2016-03-04 12:07:03.417994
20,234115,361930,Private room,Lugnano in Teverina,Lugnano in Teverin,4,5.0,4.0,1.0,1.0,95.0,5.0,42.56495,12.327783,2016-03-04 11:37:45.954366
21,237747,1246410,Entire home/apt,Spoleto,Spolet,0,,,10.0,8.0,1122.0,3.0,42.784828,12.693521,2016-03-04 11:29:53.206626
22,237974,1246410,Entire home/apt,Spoleto,Spolet,1,5.0,,4.0,3.0,281.0,3.0,42.786373,12.694166,2016-03-04 12:10:08.805205
23,243313,906799,Private room,Assisi,Assis,36,5.0,2.0,1.0,1.0,66.0,1.0,43.070244,12.615234,2016-03-04 11:51:59.705506
24,252466,1325100,Entire home/apt,Trevi,Trev,0,,3.0,1.0,1.0,112.0,3.0,42.877886,12.746837,2016-03-04 12:16:06.853535
25,259051,639005,Private room,Assisi,Assis,4,5.0,3.0,1.0,1.0,45.0,1.0,43.07275,12.608815,2016-03-04 12:08:43.084593
26,261107,1246410,Private room,Spoleto,Spolet,1,5.0,3.0,1.0,1.0,145.0,2.0,42.787143,12.697188,2016-03-04 12:13:43.690618
27,261108,1246410,Private room,Spoleto,Spolet,0,,2.0,1.0,1.0,157.0,2.0,42.785304,12.693723,2016-03-04 11:55:44.480463
28,261114,1246410,Private room,Spoleto,Spolet,0,,3.0,1.0,1.0,151.0,2.0,42.785457,12.693847,2016-03-04 11:33:54.886076
29,261128,1246410,Private room,Spoleto,Spolet,0,,3.0,1.0,1.0,124.0,2.0,42.786385,12.693947,2016-03-04 11:47:34.024502
30,261130,1246410,Private room,Spoleto,Spolet,0,,2.0,1.0,1.0,134.0,2.0,42.787423,12.698421,2016-03-04 11:51:51.894352
31,261136,1246410,Entire home/apt,Spoleto,Spolet,2,4.5,5.0,2.0,2.0,112.0,2.0,42.78826,12.698112,2016-03-04 11:35:01.566644
32,261665,1372796,Private room,Assisi,Assis,141,5.0,,1.0,3.0,50.0,,43.070691,12.613909,2016-03-04 12:09:49.166270
33,266105,906799,Private room,Assisi,Assis,11,4.5,3.0,1.0,1.0,89.0,1.0,43.070223,12.615432,2016-03-04 11:52:40.535698
34,266120,906799,Private room,Assisi,Assis,7,5.0,1.0,1.0,1.0,39.0,1.0,43.070403,12.615451,2016-03-04 11:31:15.184779
35,318147,1632942,Entire home/apt,Trevi,Trev,3,5.0,,10.0,8.0,898.0,1.0,42.853469,12.750753,2016-03-04 11:35:48.535231
36,335028,1706390,Private room,Foligno,Folign,0,,2.0,1.0,1.0,78.0,1.0,42.95963,12.700989,2016-03-04 11:49:17.625694
37,339015,716564,Entire home/apt,Stroncone,Stroncon,19,4.5,2.0,1.0,1.0,39.0,1.0,42.498414,12.664107,2016-03-04 11:38:29.818739
38,359063,1706390,Private room,Foligno,Folign,0,,2.0,1.0,1.0,78.0,1.0,42.957713,12.702264,2016-03-04 11:48:22.199618
39,360747,673792,Entire home/apt,Spoleto,Spolet,1,5.0,4.0,2.0,1.0,44.0,3.0,42.705934,12.607529,2016-03-04 11:35:19.178869
40,418035,857151,Entire home/apt,Montefalco,Montefalc,41,5.0,4.0,2.0,2.0,67.0,2.0,42.870415,12.682972,2016-03-04 12:10:23.663357
41,423588,361930,Private room,Lugnano in Teverina,Lugnano in Teverin,2,4.0,2.0,1.0,0.0,83.0,5.0,42.566315,12.327182,2016-03-04 12:01:06.293735
42,427959,361930,Private room,Lugnano in Teverina,Lugnano in Teverin,0,,2.0,1.0,1.0,83.0,5.0,42.566291,12.326975,2016-03-04 11:51:33.159556
43,457038,2272363,Entire home/apt,Foligno,Folign,7,5.0,4.0,2.0,1.0,39.0,1.0,42.955248,12.700016,2016-03-04 12:10:54.014067
44,458560,2280260,Private room,Spoleto,Spolet,23,4.5,,1.0,7.0,67.0,1.0,42.754931,12.757457,2016-03-04 11:55:38.279528
45,478583,2272363,Entire home/apt,Foligno,Folign,3,4.5,4.0,2.0,1.0,39.0,1.0,42.952771,12.704338,2016-03-04 12:12:09.040764
46,482069,2387342,Private room,Assisi,Assis,14,5.0,4.0,1.0,2.0,34.0,1.0,43.044888,12.617612,2016-03-04 12:09:06.615967
47,483853,2395637,Private room,Assisi,Assis,7,5.0,2.0,1.0,1.0,56.0,1.0,43.062379,12.584521,2016-03-04 11:54:39.667111
48,492568,2280260,Private room,Spoleto,Spolet,3,4.5,3.0,1.0,1.0,67.0,1.0,42.756108,12.75581,2016-03-04 11:33:02.082262
