,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,32984,53396.0,Entire home/apt,Stockholm,Stockhol,22,4.5,2.0,1.0,1.0,140.0,2.0,59.328592,18.048736,2016-01-26 20:30:26.277638
1,42808,186922.0,Private room,Stockholm,Stockhol,35,5.0,2.0,1.0,1.0,99.0,2.0,59.341098,18.057269,2016-01-26 21:59:33.772362
2,66341,127925.0,Entire home/apt,Stockholm,Stockhol,11,4.5,5.0,1.0,1.0,145.0,2.0,59.304654,18.004468,2016-01-26 21:31:30.254080
3,103236,475953.0,Private room,Stockholm,Stockhol,13,4.5,2.0,1.0,1.0,111.0,1.0,59.308418,18.075942,2016-01-26 19:35:34.553359
4,141621,688631.0,Private room,Stockholm,Stockhol,12,4.5,2.0,1.0,1.0,67.0,1.0,59.344295,17.929313,2016-01-26 19:30:29.023817
5,148305,716281.0,Private room,Stockholm,Stockhol,32,4.5,1.0,1.0,1.0,60.0,2.0,59.304435,18.098763,2016-01-26 19:52:18.322432
6,149539,721383.0,Private room,Stockholm,Stockhol,161,4.0,2.0,1.0,2.0,60.0,1.0,59.28537,18.097764,2016-01-26 20:43:37.045463
7,155220,746396.0,Entire home/apt,Stockholm,Stockhol,0,,5.0,2.0,1.0,96.0,1.0,59.246669,18.177988,2016-01-26 20:24:16.013323
8,163048,778776.0,Private room,Stockholm,Stockhol,26,5.0,2.0,1.0,1.0,54.0,1.0,59.310695,18.083827,2016-01-26 21:12:26.684429
9,164448,784312.0,Private room,Stockholm,Stockhol,100,5.0,2.0,1.0,1.0,72.0,2.0,59.312683,18.062579,2016-01-26 19:41:19.997777
10,166367,793025.0,Private room,Stockholm,Stockhol,9,5.0,2.0,1.0,1.0,49.0,12.0,59.31714,18.031415,2016-01-26 21:45:55.915670
11,166664,793872.0,Entire home/apt,Stockholm,Stockhol,2,5.0,2.0,1.0,1.0,80.0,4.0,59.296936,18.108114,2016-01-26 22:21:50.817590
12,194052,942033.0,Private room,Stockholm,Stockhol,60,4.5,2.0,1.0,1.0,66.0,2.0,59.286423,18.077713,2016-01-26 21:24:23.534173
13,203245,996437.0,Private room,Stockholm,Stockhol,50,4.5,3.0,1.0,,108.0,3.0,59.339239,18.012979,2016-01-26 19:37:26.583114
14,203971,1001073.0,Private room,Stockholm,Stockhol,65,4.5,2.0,1.0,1.0,60.0,2.0,59.347099,18.054307,2016-01-26 21:33:22.074140
15,206221,1022374.0,Shared room,Stockholm,Stockhol,35,5.0,2.0,1.0,1.0,81.0,3.0,59.312259,18.079424,2016-01-26 19:01:11.183396
16,208662,1027549.0,Private room,Stockholm,Stockhol,26,5.0,5.0,1.0,2.0,96.0,1.0,59.334814,18.030185,2016-01-26 19:15:39.339979
17,209338,1031429.0,Entire home/apt,Stockholm,Stockhol,10,5.0,1.0,1.0,,70.0,1.0,59.306605,17.992679,2016-01-26 21:48:55.276022
18,220233,1137208.0,Entire home/apt,Stockholm,Stockhol,0,,2.0,1.0,1.0,107.0,3.0,59.339481,18.035505,2016-01-26 22:18:56.520518
19,220851,412283.0,Private room,Stockholm,Stockhol,16,4.5,2.0,1.0,1.0,60.0,1.0,59.33376,18.038163,2016-01-26 20:54:35.991736
20,238411,1250232.0,Entire home/apt,Stockholm,Stockhol,87,5.0,2.0,1.0,1.0,120.0,1.0,59.337021,18.04232,2016-01-26 21:25:58.895539
21,238884,1023498.0,Entire home/apt,Stockholm,Stockhol,61,4.5,4.0,2.0,1.0,144.0,3.0,59.318107,18.05552,2016-01-26 21:55:35.868044
22,240517,1114332.0,Private room,Stockholm,Stockhol,2,5.0,2.0,1.0,2.0,42.0,3.0,59.316064,18.043264,2016-01-26 20:25:09.174888
23,240749,1262899.0,Entire home/apt,Stockholm,Stockhol,50,5.0,2.0,1.0,1.0,66.0,4.0,59.313854,18.083656,2016-01-26 21:51:57.941443
24,242188,784312.0,Private room,Stockholm,Stockhol,100,5.0,1.0,1.0,1.0,59.0,2.0,59.313468,18.061058,2016-01-26 20:18:28.546151
25,242871,1027549.0,Private room,Stockholm,Stockhol,13,4.5,4.0,1.0,1.0,96.0,1.0,59.336763,18.03122,2016-01-26 22:26:28.197830
26,251959,1233898.0,Private room,Stockholm,Stockhol,79,4.5,3.0,1.0,1.0,39.0,1.0,59.307835,18.069819,2016-01-26 20:54:33.054742
27,259722,1261494.0,Private room,Stockholm,Stockhol,15,4.5,5.0,1.0,1.0,45.0,2.0,59.410029,17.936604,2016-01-26 20:45:27.652288
28,259727,1261494.0,Private room,Stockholm,Stockhol,11,5.0,5.0,1.0,1.0,33.0,2.0,59.406191,17.937973,2016-01-26 20:27:18.907146
29,271164,1419294.0,Entire home/apt,Stockholm,Stockhol,3,5.0,,2.0,1.0,96.0,2.0,59.298308,18.000036,2016-01-26 20:57:19.352831
