,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,11156,40855,Private room,Potts Point,Potts Poin,110,4.5,1.0,1.0,,47.0,2.0,-33.869342,151.226878,2016-01-29 12:31:01.672369
1,12351,17061,Private room,Pyrmont,Pyrmon,284,5.0,2.0,1.0,0.0,72.0,2.0,-33.865153,151.191896,2016-01-29 03:38:09.782685
2,13782,12894,Entire home/apt,Woollahra,Woollahr,50,5.0,2.0,1.0,1.0,65.0,3.0,-33.888662,151.248351,2016-01-29 10:54:00.104096
3,14250,55948,Entire home/apt,Balgowlah,Balgowla,1,5.0,,3.0,3.0,342.0,1.0,-33.800929,151.261722,2016-01-29 19:09:52.047515
4,14935,58796,Private room,Redfern,Redfer,94,4.5,2.0,1.0,1.0,43.0,2.0,-33.890765,151.20045,2016-01-29 07:53:15.297811
5,14974,58796,Shared room,Redfern,Redfer,87,4.5,1.0,1.0,2.0,30.0,2.0,-33.889667,151.200896,2016-01-29 07:49:45.787264
6,15253,59850,Private room,Darlinghurst,Darlinghurs,142,4.5,2.0,1.0,1.0,87.0,2.0,-33.880455,151.216541,2016-01-29 04:20:12.396951
7,20865,64282,Entire home/apt,Balmain,Balmai,10,4.5,,4.0,2.0,327.0,3.0,-33.859072,151.172753,2016-01-29 16:37:08.729178
8,26174,110561,Private room,Bellevue Hill,Bellevue Hil,11,4.5,1.0,1.0,,47.0,2.0,-33.889087,151.259404,2016-01-29 03:50:24.912603
9,26741,113874,Entire home/apt,North Bondi,North Bond,12,4.0,4.0,1.0,1.0,75.0,2.0,-33.891466,151.28343,2016-01-29 14:16:54.334261
10,27155,116337,Entire home/apt,Glebe,Gleb,107,4.5,4.0,2.0,1.0,153.0,3.0,-33.882622,151.190222,2016-01-29 10:08:16.648687
11,27495,113874,Entire home/apt,Sydney,Sydne,10,4.5,5.0,2.0,2.0,140.0,2.0,-33.885855,151.256987,2016-01-29 18:43:24.489070
12,27564,113874,Entire home/apt,North Bondi,North Bond,5,4.0,5.0,2.0,1.0,126.0,2.0,-33.889376,151.285521,2016-01-29 10:38:23.673586
13,36909,159252,Private room,Bellevue Hill,Bellevue Hil,1,5.0,1.0,1.0,1.0,59.0,1.0,-33.887186,151.263155,2016-01-29 20:34:26.268597
14,38073,103476,Entire home/apt,North Sydney,North Sydne,56,5.0,2.0,1.0,1.0,94.0,90.0,-33.834429,151.208875,2016-01-29 08:46:39.353252
15,42107,163907,Private room,Sydney,Sydne,22,4.5,1.0,1.0,1.0,49.0,7.0,-33.88001,151.257919,2016-01-29 15:17:18.900164
16,45440,201611,Entire home/apt,Bondi Beach,Bondi Beac,14,5.0,,5.0,3.0,509.0,4.0,-33.889087,151.274506,2016-01-29 11:38:18.771290
17,49698,113874,Entire home/apt,Bondi,Bond,6,4.5,4.0,2.0,1.0,119.0,2.0,-33.897834,151.271511,2016-01-29 19:40:05.870677
18,54868,258244,Entire home/apt,North Bondi,North Bond,5,4.0,2.0,1.0,1.0,69.0,3.0,-33.892578,151.283492,2016-01-29 17:11:19.872743
19,56842,113874,Entire home/apt,North Bondi,North Bond,8,4.0,2.0,1.0,1.0,127.0,4.0,-33.889633,151.283553,2016-01-29 16:21:18.805541
20,57183,1623151,Entire home/apt,Bondi Beach,Bondi Beac,74,4.5,2.0,1.0,1.0,109.0,4.0,-33.891846,151.273084,2016-01-29 05:04:36.375916
21,57733,33309,Entire home/apt,Sydney,Sydne,50,4.5,2.0,1.0,1.0,109.0,7.0,-33.919789,151.24788,2016-01-29 14:19:06.145791
22,58506,279955,Entire home/apt,Mosman,Mosma,135,4.5,4.0,1.0,1.0,95.0,2.0,-33.819268,151.236525,2016-01-29 20:13:09.411478
23,58954,282630,Entire home/apt,Bondi Junction,Bondi Junctio,0,,,4.0,2.0,775.0,7.0,-33.891763,151.242593,2016-01-29 12:46:59.078442
24,59297,284711,Entire home/apt,Alexandria,Alexandri,3,4.5,,4.0,,175.0,10.0,-33.901988,151.193047,2016-01-29 13:17:35.980856
25,59560,285453,Private room,Bronte,Bront,19,4.5,1.0,1.0,1.0,47.0,2.0,-33.901234,151.26152,2016-01-29 05:13:26.286688
26,59779,285453,Entire home/apt,Bronte,Bront,11,4.0,4.0,2.0,1.0,145.0,2.0,-33.901103,151.261615,2016-01-29 18:03:14.689995
27,63795,311659,Entire home/apt,Avalon,Avalo,26,5.0,2.0,,1.0,109.0,2.0,-33.626121,151.331511,2016-01-29 03:24:44.524205
