,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,110414,567611,Private room,,Tallinn,99,5.0,2,1.0,1.0,23.0,1.0,59.396845,24.698148,2016-07-09 00:01:43.199558
1,159121,763562,Private room,,Tallinn,46,5.0,2,1.0,1.0,52.0,2.0,59.447688,24.735077,2016-07-08 23:05:03.024913
2,163099,779020,Entire home/apt,,Tallinn,17,4.5,2,1.0,,97.0,1.0,59.438345,24.737416,2016-07-08 23:48:58.266866
3,163933,782119,Entire home/apt,,Tallinn,37,4.5,6,1.0,2.0,113.0,1.0,59.440529,24.747995,2016-07-08 23:13:58.632492
4,178793,855868,Entire home/apt,,Tallinn,30,5.0,4,1.0,1.0,34.0,2.0,59.437894,24.818368,2016-07-08 23:04:02.497097
5,195542,950817,Entire home/apt,,Tallinn,119,5.0,3,1.0,1.0,45.0,2.0,59.444464,24.735928,2016-07-08 23:33:28.992116
6,201076,983381,Entire home/apt,,Tallinn,15,5.0,2,1.0,1.0,52.0,3.0,59.440546,24.765514,2016-07-09 00:12:47.279317
7,257625,502421,Entire home/apt,,Tallinn,2,,6,1.0,1.0,57.0,1.0,59.442347,24.736605,2016-07-08 23:05:47.886269
8,280142,1460541,Entire home/apt,,Tallinn,51,4.5,4,1.0,1.0,56.0,1.0,59.422083,24.724215,2016-07-08 23:06:37.775944
9,288731,1270925,Private room,,Tallinn,104,4.5,4,1.0,1.0,68.0,1.0,59.442206,24.748249,2016-07-08 23:36:51.212830
10,293122,1517190,Entire home/apt,,Tallinn,14,4.5,5,3.0,1.0,80.0,3.0,59.43668,24.76497,2016-07-08 23:24:27.587807
11,322036,1649135,Entire home/apt,,Tallinn,35,4.5,4,1.0,1.0,64.0,2.0,59.431736,24.739055,2016-07-08 23:17:08.403852
12,329688,1616704,Entire home/apt,,Tallinn,27,4.0,2,1.0,1.0,30.0,2.0,59.457799,24.67682,2016-07-08 23:21:09.040405
13,332906,1696690,Entire home/apt,,Tallinn,0,,4,3.0,2.0,206.0,1.0,59.446775,24.730923,2016-07-08 23:36:24.092904
14,341330,984564,Entire home/apt,,Tallinn,46,5.0,3,1.0,1.0,44.0,20.0,59.430122,24.770026,2016-07-08 23:31:16.190464
15,350827,1616704,Entire home/apt,,Tallinn,4,5.0,2,1.0,1.0,29.0,2.0,59.457374,24.676234,2016-07-08 23:41:01.370699
16,504065,2485702,Entire home/apt,,Tallinn,118,4.5,4,1.0,1.0,43.0,1.0,59.43462,24.758888,2016-07-08 23:33:50.335128
17,518852,2526338,Entire home/apt,,Tallinn,132,5.0,2,1.0,1.0,57.0,2.0,59.438967,24.746013,2016-07-08 23:05:58.786964
18,520123,2560010,Entire home/apt,,Tallinn,117,5.0,6,2.0,1.0,57.0,1.0,59.414105,24.737723,2016-07-08 23:04:55.064068
19,556787,2526338,Entire home/apt,,Tallinn,98,4.5,4,2.0,1.0,85.0,2.0,59.438495,24.745515,2016-07-08 23:37:11.340328
20,583534,2526338,Entire home/apt,,Tallinn,146,5.0,3,2.0,1.0,74.0,2.0,59.438921,24.745601,2016-07-08 23:58:38.163195
21,619188,3067993,Private room,,Tallinn,12,5.0,2,1.0,1.0,26.0,2.0,59.37771,24.677036,2016-07-08 23:50:10.468438
22,674205,2485702,Entire home/apt,,Tallinn,2,,4,2.0,2.0,112.0,3.0,59.446238,24.726235,2016-07-09 00:11:09.039499
23,677830,3447983,Entire home/apt,,Tallinn,7,5.0,4,2.0,1.0,126.0,2.0,59.435544,24.745197,2016-07-08 23:08:30.559509
24,724482,3745173,Entire home/apt,,Tallinn,6,4.5,6,3.0,1.0,284.0,1.0,59.4357,24.743326,2016-07-08 23:51:44.136323
25,724516,3745173,Entire home/apt,,Tallinn,2,,2,1.0,1.0,170.0,1.0,59.440394,24.749879,2016-07-08 23:41:31.976854
26,724548,3745173,Entire home/apt,,Tallinn,0,,2,1.0,1.0,102.0,1.0,59.438195,24.74771,2016-07-08 23:28:36.149418
27,724567,3745173,Entire home/apt,,Tallinn,1,,6,3.0,1.0,284.0,1.0,59.440397,24.742646,2016-07-09 00:10:01.760357
28,730458,3798601,Entire home/apt,,Tallinn,14,4.5,7,2.0,1.0,85.0,1.0,59.434607,24.745141,2016-07-08 23:29:26.843205
29,730551,3799112,Entire home/apt,,Tallinn,11,5.0,5,1.0,1.0,43.0,3.0,59.430943,24.751621,2016-07-08 23:33:14.524222
