,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,6348,13550,Entire home/apt,Florence,Firenze,0,,4,1.0,1.0,75.0,3.0,43.787146,11.248704,2016-08-03 08:24:37.988302
5,24470,99178,Entire home/apt,Florence,Firenze,2,,3,1.0,1.0,104.0,2.0,43.782871,11.24431,2016-08-03 23:37:59.619642
6,24807,68490,Entire home/apt,Florence,Firenze,269,5.0,6,3.0,2.0,61.0,1.0,43.778133,11.292018,2016-08-04 03:36:50.390085
14,29937,129000,Private room,Florence,Firenze,30,4.5,2,1.0,1.0,40.0,2.0,43.765676,11.244148,2016-08-03 01:32:17.650671
15,29982,129216,Entire home/apt,Florence,Firenze,11,5.0,5,2.0,2.0,230.0,3.0,43.774496,11.253957,2016-08-03 15:15:58.476763
18,31840,136927,Private room,Florence,Firenze,70,4.5,2,1.0,1.0,80.0,2.0,43.777881,11.251084,2016-08-03 14:00:32.426406
19,32120,99235,Private room,Florence,Firenze,3,5.0,2,1.0,1.0,80.0,1.0,43.76352,11.277258,2016-08-03 08:23:47.332387
20,32395,140170,Private room,Florence,Firenze,388,5.0,2,1.0,1.0,93.0,2.0,43.761584,11.241882,2016-08-04 02:23:53.510002
21,35263,151657,Entire home/apt,Florence,Firenze,0,,2,1.0,1.0,114.0,10.0,43.780408,11.244932,2016-08-03 20:04:27.850122
22,36199,155473,Entire home/apt,Florence,Firenze,14,5.0,4,1.0,1.0,109.0,3.0,43.767757,11.242443,2016-08-04 03:07:43.459732
25,39115,167739,Private room,Florence,Firenze,44,4.5,2,1.0,0.0,75.0,1.0,43.774501,11.251435,2016-08-04 02:04:42.470313
26,39165,167739,Private room,Florence,Firenze,13,4.0,2,1.0,1.0,98.0,1.0,43.775916,11.2519,2016-08-03 00:17:14.414159
28,39822,154769,Entire home/apt,Florence,Firenze,18,4.5,4,2.0,1.0,79.0,3.0,43.768651,11.244262,2016-08-03 13:03:44.836510
29,42997,4156491,Entire home/apt,Florence,Firenze,1,,2,1.0,1.0,208.0,3.0,43.769166,11.262189,2016-08-03 14:05:29.687779
31,44781,33210,Entire home/apt,Florence,Firenze,163,5.0,4,1.0,1.0,102.0,3.0,43.764427,11.24505,2016-08-03 17:21:04.721441
33,45606,202686,Entire home/apt,Florence,Firenze,220,5.0,4,1.0,1.0,80.0,2.0,43.771647,11.238158,2016-08-03 11:14:29.435352
34,46520,136927,Private room,Florence,Firenze,59,4.5,4,1.0,1.0,82.0,2.0,43.776336,11.253109,2016-08-03 00:25:35.446969
35,46523,136927,Private room,Florence,Firenze,59,4.5,2,1.0,,45.0,2.0,43.777507,11.251113,2016-08-03 21:40:34.890957
36,46524,136927,Private room,Florence,Firenze,13,4.5,3,1.0,1.0,91.0,2.0,43.777891,11.253463,2016-08-04 01:54:22.664376
37,46526,136927,Entire home/apt,Florence,Firenze,38,4.5,5,1.0,1.0,85.0,,43.777315,11.251199,2016-08-03 18:09:43.803008
38,46855,210305,Entire home/apt,Florence,Firenze,134,5.0,6,2.0,1.0,103.0,3.0,43.776333,11.260588,2016-08-04 05:49:25.375340
39,47498,215302,Private room,Florence,Firenze,234,4.5,4,1.0,3.0,40.0,1.0,43.772235,11.249964,2016-08-04 04:11:17.582407
48,52543,202686,Entire home/apt,Florence,Firenze,111,5.0,5,1.0,2.0,80.0,2.0,43.773364,11.236531,2016-08-03 21:24:05.094705
49,52545,202686,Entire home/apt,Florence,Firenze,96,5.0,4,1.0,1.0,80.0,1.0,43.771964,11.238623,2016-08-03 20:28:45.685867
50,53454,248796,Entire home/apt,Florence,Firenze,76,4.5,3,1.0,1.0,79.0,3.0,43.781604,11.256801,2016-08-04 04:03:07.582643
62,56143,179187,Entire home/apt,Florence,Firenze,22,5.0,4,1.0,1.0,91.0,2.0,43.769249,11.255547,2016-08-03 12:00:35.655852
63,56154,179187,Entire home/apt,Florence,Firenze,5,4.5,6,2.0,1.0,172.0,2.0,43.769316,11.256988,2016-08-03 22:53:10.378142
71,57572,274227,Private room,Florence,Firenze,40,4.5,2,1.0,1.0,56.0,1.0,43.781796,11.264777,2016-08-03 07:55:09.020436
73,57644,274758,Entire home/apt,Florence,Firenze,17,5.0,4,1.0,1.0,109.0,3.0,43.777955,11.260718,2016-08-03 08:27:17.786282
74,57767,274758,Entire home/apt,Florence,Firenze,16,5.0,8,3.0,2.0,213.0,2.0,43.766248,11.249861,2016-08-04 00:53:16.825859
75,57859,274074,Entire home/apt,Florence,Firenze,78,4.5,4,1.0,1.0,104.0,3.0,43.775884,11.254526,2016-08-04 03:21:36.727968
78,61209,274227,Private room,Florence,Firenze,173,5.0,2,1.0,,48.0,1.0,43.78331,11.265584,2016-08-03 12:04:11.739445
82,64023,96905,Entire home/apt,Florence,Firenze,55,5.0,3,1.0,1.0,98.0,3.0,43.771773,11.258553,2016-08-03 19:13:28.137763
85,64827,283842,Entire home/apt,Arezzo,Arezzo,76,4.5,3,2.0,1.0,69.0,3.0,43.464666,11.881747,2016-08-03 13:37:07.338615
88,66045,323151,Entire home/apt,Florence,Firenze,77,4.5,4,1.0,1.0,74.0,3.0,43.782958,11.26874,2016-08-03 06:06:40.566255
89,66353,323151,Entire home/apt,Florence,Firenze,18,4.5,5,3.0,3.0,98.0,3.0,43.770281,11.266905,2016-08-04 04:19:05.728444
90,66598,323151,Entire home/apt,Florence,Firenze,110,5.0,7,2.0,2.0,98.0,3.0,43.766465,11.264927,2016-08-03 13:03:46.918956
93,66903,328936,Entire home/apt,Florence,Firenze,4,5.0,4,1.0,1.0,87.0,3.0,43.775371,11.259803,2016-08-03 22:40:52.779012
94,67725,167739,Private room,Florence,Firenze,2,,3,1.0,1.0,114.0,1.0,43.775499,11.251837,2016-08-03 23:59:05.834856
95,68273,338220,Entire home/apt,Florence,Firenze,13,5.0,4,1.0,,132.0,3.0,43.779306,11.258354,2016-08-02 19:10:16.687074
97,68530,340421,Entire home/apt,Florence,Firenze,20,4.5,6,2.0,2.0,167.0,3.0,43.776456,11.252442,2016-08-03 19:07:12.305884
106,70401,356616,Entire home/apt,Florence,Firenze,82,4.5,4,1.0,1.0,78.0,3.0,43.765378,11.240292,2016-08-03 22:05:29.530609
107,70885,167739,Private room,Florence,Firenze,16,4.5,2,1.0,0.0,75.0,1.0,43.775792,11.253433,2016-08-03 10:09:15.665044
126,73345,382561,Entire home/apt,Florence,Firenze,9,5.0,4,1.0,1.0,108.0,,43.770685,11.251932,2016-08-03 19:57:28.474054
127,73739,385786,Entire home/apt,Florence,Firenze,19,4.5,4,1.0,1.0,68.0,6.0,43.770451,11.238834,2016-08-03 10:02:42.478748
130,74682,386165,Entire home/apt,Florence,Firenze,412,5.0,2,1.0,1.0,79.0,1.0,43.773065,11.243412,2016-08-03 02:51:18.725504
131,74856,318416,Private room,Florence,Firenze,23,4.5,16,1.0,6.0,79.0,1.0,43.787075,11.247854,2016-08-03 04:20:24.743340
