,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
76,60604,292184,Entire home/apt,Siena,Siena,36,4.5,4,1.0,1.0,144.0,1.0,43.329445,11.328013,2016-08-03 21:35:20.332564
192,97170,479594,Entire home/apt,Lucca,Lucca,0,,5,2.0,1.0,208.0,4.0,43.8441,10.409869,2016-08-03 11:51:24.217300
193,97189,479594,Entire home/apt,Lucca,Lucca,9,5.0,7,4.0,2.0,288.0,4.0,43.845599,10.408162,2016-08-04 03:59:07.989062
194,97202,479594,Entire home/apt,Lucca,Lucca,0,,9,4.0,4.0,404.0,4.0,43.845671,10.408536,2016-08-04 03:35:27.068297
222,106204,550607,Private room,Lucca,Lucca,3,5.0,4,1.0,1.0,75.0,1.0,43.872818,10.48695,2016-08-03 09:56:50.361038
229,108652,562121,Entire home/apt,Lucca,Lucca,8,4.5,6,2.0,1.0,149.0,3.0,43.840709,10.503918,2016-08-03 19:18:09.764761
230,108661,562121,Entire home/apt,Lucca,Lucca,16,5.0,6,3.0,2.0,230.0,4.0,43.840918,10.5028,2016-08-04 03:00:37.248491
231,108663,562121,Entire home/apt,Lucca,Lucca,0,,4,2.0,1.0,149.0,4.0,43.841452,10.502072,2016-08-04 02:57:53.983402
232,108671,562121,Entire home/apt,Lucca,Lucca,2,,4,2.0,,138.0,3.0,43.841236,10.502541,2016-08-03 00:24:58.271935
233,108678,562121,Entire home/apt,Lucca,Lucca,0,,4,2.0,1.0,138.0,4.0,43.842363,10.503544,2016-08-04 04:07:40.517178
234,108679,562121,Entire home/apt,Lucca,Lucca,0,,4,1.0,,80.0,3.0,43.84277,10.503936,2016-08-04 02:34:35.975499
235,108683,562121,Entire home/apt,Lucca,Lucca,1,,4,2.0,1.0,103.0,3.0,43.842138,10.503474,2016-08-03 22:10:53.759096
236,108686,562121,Entire home/apt,Lucca,Lucca,2,,4,2.0,1.0,149.0,3.0,43.84255,10.504233,2016-08-03 22:36:52.069424
239,111006,569455,Entire home/apt,Lucca,Lucca,0,,2,1.0,0.0,98.0,2.0,43.874896,10.432995,2016-08-03 13:09:01.366357
267,125534,624041,Entire home/apt,Lucca,Lucca,0,,4,1.0,2.0,150.0,3.0,43.846646,10.505314,2016-08-03 18:50:00.856641
285,130650,643160,Entire home/apt,Siena,Siena,46,4.5,2,1.0,,58.0,3.0,43.355733,11.319551,2016-08-03 08:46:26.275582
290,132108,649338,Private room,Lucca,Lucca,169,4.5,2,1.0,,58.0,1.0,43.841555,10.489878,2016-08-03 10:05:51.915429
317,137721,559479,Entire home/apt,Lucca,Lucca,7,4.5,4,1.0,2.0,115.0,3.0,43.852159,10.529055,2016-08-03 18:01:55.626835
333,145303,688861,Entire home/apt,Lucca,Lucca,6,4.5,4,1.0,1.0,79.0,3.0,43.841734,10.507598,2016-08-04 04:48:01.191326
365,155847,662853,Entire home/apt,Lucca,Lucca,0,,8,4.0,,460.0,7.0,43.826356,10.445772,2016-08-03 19:10:41.795221
372,161544,649338,Private room,Lucca,Lucca,95,5.0,1,1.0,,40.0,1.0,43.839916,10.487914,2016-08-03 06:17:50.857635
374,162039,569455,Entire home/apt,Lucca,Lucca,0,,4,2.0,,144.0,14.0,43.871328,10.433748,2016-08-03 10:26:49.201173
381,164569,649338,Private room,Lucca,Lucca,161,5.0,3,1.0,,65.0,1.0,43.839956,10.489509,2016-08-03 23:16:46.115591
408,174606,643160,Entire home/apt,Siena,Siena,4,5.0,4,2.0,1.0,127.0,3.0,43.355993,11.320409,2016-08-03 16:24:56.753457
409,174620,643160,Entire home/apt,Siena,Siena,3,4.5,3,2.0,,103.0,3.0,43.357443,11.320925,2016-08-04 02:50:32.541352
413,178953,550607,Entire home/apt,Lucca,Lucca,19,4.5,3,1.0,1.0,75.0,4.0,43.845262,10.507334,2016-08-04 03:44:06.169733
417,182307,873898,Entire home/apt,Lucca,Lucca,8,4.5,4,1.0,1.0,58.0,2.0,43.848794,10.467447,2016-08-03 11:52:30.512159
421,184208,565371,Entire home/apt,Siena,Siena,44,5.0,4,1.0,1.0,75.0,3.0,43.319483,11.330102,2016-08-03 19:37:44.471548
423,184523,885122,Private room,Siena,Siena,29,4.5,10,1.0,5.0,68.0,1.0,43.313718,11.326344,2016-08-03 06:48:57.934681
427,187259,900855,Entire home/apt,Lucca,Lucca,34,4.5,6,2.0,1.0,32.0,5.0,43.847471,10.542658,2016-08-03 01:33:03.644646
434,189279,913263,Entire home/apt,Lucca,Lucca,4,5.0,5,2.0,1.0,115.0,4.0,43.845271,10.513141,2016-08-03 18:54:39.429242
459,198322,129177,Entire home/apt,Siena,Siena,121,5.0,2,1.0,1.0,138.0,3.0,43.313266,11.326289,2016-08-04 04:17:53.805416
491,210366,1037437,Private room,Lucca,Lucca,60,5.0,2,1.0,1.0,87.0,1.0,43.781089,10.455391,2016-08-03 06:19:38.858354
492,210444,1037882,Entire home/apt,Lucca,Lucca,3,5.0,2,5.0,5.0,93.0,1.0,43.844905,10.506117,2016-08-03 02:08:54.890017
517,222185,654995,Entire home/apt,Lucca,Lucca,25,5.0,8,3.0,1.0,74.0,4.0,43.843798,10.490495,2016-08-03 02:10:48.202962
532,228905,559479,Entire home/apt,Lucca,Lucca,0,,2,1.0,2.0,98.0,1.0,43.852304,10.528817,2016-08-04 03:46:06.411569
557,235751,643160,Entire home/apt,Siena,Siena,9,5.0,2,1.0,1.0,92.0,3.0,43.356502,11.320247,2016-08-03 21:02:37.623355
609,260554,1367016,Private room,Lucca,Lucca,3,4.5,2,1.0,1.0,92.0,1.0,43.776811,10.46044,2016-08-02 23:20:36.753739
649,279763,1414411,Entire home/apt,Lucca,Lucca,56,4.0,4,2.0,1.0,64.0,2.0,43.841798,10.513109,2016-08-04 00:04:21.765836
