,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,4620,7093832.0,Entire home/apt,Valencia,Valenci,33,4.0,,4.0,2.0,140.0,2.0,39.475533,-0.324609,2016-01-05 14:08:07.808487
1,37677,162192.0,Private room,Valencia,Valenci,71,4.5,2.0,1.0,2.0,34.0,2.0,39.464133,-0.357273,2016-01-05 11:52:05.445412
2,38075,162249.0,Private room,Valencia,Valenci,0,,1.0,1.0,1.0,55.0,1.0,39.474265,-0.389869,2016-01-05 12:17:55.911808
3,48154,219476.0,Entire home/apt,Valencia,Valenci,32,4.5,4.0,2.0,1.0,50.0,3.0,39.485746,-0.37428,2016-01-05 14:25:55.099848
4,55692,120649.0,Entire home/apt,Valencia,Valenci,1,5.0,3.0,1.0,,67.0,1.0,39.476814,-0.375227,2016-01-05 13:30:04.523959
5,71531,360190.0,Entire home/apt,Valencia,Valenci,24,4.5,,3.0,2.0,90.0,2.0,39.462065,-0.365068,2016-01-05 13:01:26.693973
6,74350,140702.0,Entire home/apt,Valencia,Valenci,7,5.0,5.0,3.0,2.0,67.0,2.0,39.474975,-0.363434,2016-01-05 13:37:59.558760
7,79989,431741.0,Private room,Valencia,Valenci,20,4.5,,1.0,2.0,26.0,2.0,39.474353,-0.391409,2016-01-05 12:56:11.005950
8,80392,434430.0,Entire home/apt,Valencia,Valenci,65,4.5,4.0,1.0,,67.0,3.0,39.474686,-0.384382,2016-01-05 13:58:50.414421
9,81783,444184.0,Private room,Valencia,Valenci,15,4.5,2.0,1.0,2.0,20.0,1.0,39.484094,-0.362037,2016-01-05 12:04:17.254128
10,85786,256383.0,Entire home/apt,Valencia,Valenci,0,,4.0,1.0,1.0,90.0,6.0,39.486861,-0.391193,2016-01-05 12:27:48.386383
11,95393,508042.0,Entire home/apt,Valencia,Valenci,59,5.0,,3.0,2.0,161.0,,39.47787,-0.381424,2016-01-05 14:21:57.741341
12,102524,535881.0,Entire home/apt,Valencia,Valenci,26,4.5,,5.0,6.0,448.0,3.0,39.472086,-0.330978,2016-01-05 14:31:15.376759
13,103386,508042.0,Entire home/apt,Valencia,Valenci,9,4.5,5.0,2.0,1.0,105.0,1.0,39.475907,-0.38243,2016-01-05 13:35:34.125824
14,105358,547056.0,Private room,Valencia,Valenci,40,5.0,2.0,1.0,,28.0,2.0,39.466611,-0.351918,2016-01-05 12:02:08.371767
15,109253,564463.0,Private room,Valencia,Valenci,1,5.0,2.0,1.0,1.0,34.0,,39.46044,-0.339424,2016-01-05 12:32:19.799887
16,111116,569796.0,Private room,Valencia,Valenci,12,5.0,2.0,1.0,1.0,45.0,2.0,39.453262,-0.374587,2016-01-05 13:18:34.973575
17,111383,557546.0,Private room,Valencia,Valenci,67,4.5,2.0,1.0,1.0,22.0,1.0,39.472479,-0.377661,2016-01-05 13:58:38.850069
18,121035,608292.0,Private room,Val�ncia,Val�nci,104,4.5,2.0,1.0,1.0,45.0,,39.470586,-0.375015,2016-01-05 13:46:30.744513
19,127864,632754.0,Private room,Valencia,Valenci,141,4.5,5.0,1.0,1.0,40.0,2.0,39.491501,-0.369941,2016-01-05 12:13:30.963206
20,129331,591197.0,Entire home/apt,Valencia,Valenci,31,4.0,2.0,1.0,1.0,62.0,3.0,39.467566,-0.380068,2016-01-05 12:30:58.916513
21,130948,644376.0,Entire home/apt,Valencia,Valenci,29,4.5,4.0,2.0,2.0,83.0,2.0,39.477403,-0.375022,2016-01-05 11:50:09.176329
22,133454,655439.0,Private room,Valencia,Valenci,0,,2.0,1.0,,54.0,1.0,39.472073,-0.398741,2016-01-05 14:10:46.058873
23,133784,656762.0,Private room,Valencia,Valenci,1,5.0,2.0,1.0,2.0,34.0,3.0,39.488564,-0.375386,2016-01-05 12:43:29.294861
24,136378,591197.0,Entire home/apt,Valencia,Valenci,7,4.0,4.0,1.0,,78.0,5.0,39.473866,-0.377696,2016-01-05 12:41:16.949081
25,136395,667761.0,Private room,Valencia,Valenci,0,,2.0,1.0,,62.0,1.0,39.440244,-0.386422,2016-01-05 13:43:13.158626
26,136909,669868.0,Entire home/apt,Valencia,Valenci,102,4.5,4.0,2.0,,67.0,2.0,39.465908,-0.384764,2016-01-05 13:42:48.987405
27,137209,671047.0,Entire home/apt,Valencia,Valenci,54,5.0,5.0,2.0,1.0,56.0,2.0,39.463156,-0.347684,2016-01-05 13:40:39.799711
28,137737,673381.0,Entire home/apt,Valencia,Valenci,24,4.5,4.0,2.0,1.0,62.0,3.0,39.469917,-0.390933,2016-01-05 14:33:27.681064
29,146771,709516.0,Private room,Valencia,Valenci,123,4.5,2.0,1.0,1.0,28.0,2.0,39.456239,-0.368092,2016-01-05 14:36:00.756393
30,147548,713025.0,Entire home/apt,Valencia,Valenci,22,5.0,,4.0,2.0,257.0,2.0,39.461261,-0.359503,2016-01-05 11:52:14.995752
31,149715,5947.0,Entire home/apt,Valencia,Valenci,49,4.5,,5.0,3.0,196.0,3.0,39.466095,-0.326726,2016-01-05 14:24:46.686717
32,152369,644376.0,Entire home/apt,Valencia,Valenci,34,5.0,2.0,,1.0,55.0,2.0,39.478136,-0.381076,2016-01-05 11:51:39.991664
33,157083,754538.0,Private room,Valencia,Valenci,0,,2.0,1.0,1.0,39.0,2.0,39.48212,-0.37125,2016-01-05 12:45:26.057163
34,164433,784271.0,Entire home/apt,Valencia,Valenci,46,4.5,4.0,2.0,1.0,66.0,3.0,39.458552,-0.367092,2016-01-05 14:19:39.215714
35,165971,791187.0,Entire home/apt,Valencia,Valenci,126,5.0,5.0,1.0,1.0,63.0,1.0,39.467342,-0.381828,2016-01-05 12:33:37.729494
36,166315,591197.0,Entire home/apt,Valencia,Valenci,7,5.0,4.0,1.0,,90.0,3.0,39.472366,-0.37965,2016-01-05 14:30:50.636800
37,169284,806645.0,Entire home/apt,Valencia,Valenci,31,4.5,3.0,1.0,1.0,34.0,1.0,39.466912,-0.391269,2016-01-05 14:18:15.482015
38,182221,1315567.0,Entire home/apt,Valencia,Valenci,1,4.0,5.0,2.0,,90.0,1.0,39.461665,-0.342494,2016-01-05 14:30:21.244631
39,185398,431741.0,Private room,Valencia,Valenci,28,5.0,,1.0,2.0,26.0,1.0,39.475118,-0.391101,2016-01-05 13:04:42.020653
40,188653,909038.0,Private room,Valencia,Valenci,5,4.5,2.0,1.0,1.0,112.0,2.0,39.471342,-0.376655,2016-01-05 12:20:51.765767
41,190792,921786.0,Entire home/apt,Valencia,Valenci,53,5.0,5.0,3.0,1.0,67.0,3.0,39.484362,-0.327599,2016-01-05 12:45:09.363532
42,191289,925301.0,Entire home/apt,Valencia,Valenci,58,4.5,4.0,2.0,1.0,38.0,7.0,39.459825,-0.365535,2016-01-05 14:20:55.021131
43,191651,434430.0,Entire home/apt,Valencia,Valenci,22,4.5,,4.0,2.0,67.0,3.0,39.493446,-0.3933,2016-01-05 13:17:47.916075
44,192674,933504.0,Entire home/apt,Valencia,Valenci,8,5.0,4.0,2.0,2.0,95.0,2.0,39.480342,-0.379124,2016-01-05 12:04:45.093937
45,193326,937597.0,Private room,Val�ncia,Val�nci,47,5.0,4.0,1.0,1.0,22.0,1.0,39.472938,-0.329117,2016-01-05 12:57:55.078977
46,194106,942275.0,Private room,Valencia,Valenci,68,4.5,4.0,1.0,1.0,22.0,1.0,39.467102,-0.328074,2016-01-05 13:35:32.745848
47,212344,1095195.0,Entire home/apt,Valencia,Valenci,71,4.5,,3.0,2.0,55.0,,39.464862,-0.328842,2016-01-05 11:58:24.159526
48,222753,709516.0,Private room,Valencia,Valenci,101,4.5,3.0,1.0,1.0,28.0,2.0,39.457801,-0.369272,2016-01-05 12:45:38.187282
49,225070,937597.0,Private room,Val�ncia,Val�nci,38,5.0,2.0,1.0,1.0,23.0,1.0,39.471517,-0.329935,2016-01-05 12:01:38.862487
50,227554,1186944.0,Entire home/apt,Valencia,Valenci,166,5.0,4.0,1.0,,55.0,4.0,39.479823,-0.376977,2016-01-05 12:25:47.248575
51,231347,644376.0,Entire home/apt,Valencia,Valenci,27,5.0,5.0,2.0,1.0,88.0,2.0,39.47225,-0.377871,2016-01-05 12:47:02.628940
52,231367,644376.0,Entire home/apt,Valencia,Valenci,18,5.0,3.0,1.0,1.0,48.0,2.0,39.457666,-0.369236,2016-01-05 13:25:50.645313
53,236538,1240028.0,Entire home/apt,Valencia,Valenci,125,4.5,,2.0,2.0,65.0,2.0,39.467908,-0.357414,2016-01-05 11:51:14.075617
54,236670,1240766.0,Entire home/apt,Valencia,Valenci,25,4.5,2.0,0.0,1.0,56.0,2.0,39.477624,-0.379927,2016-01-05 12:47:21.290038
55,247994,1299835.0,Entire home/apt,Valencia,Valenci,29,4.5,5.0,2.0,1.0,81.0,3.0,39.480817,-0.328894,2016-01-05 14:10:29.001686
56,250981,1315567.0,Entire home/apt,Valencia,Valenci,1,5.0,,2.0,,95.0,2.0,39.462714,-0.34266,2016-01-05 14:07:51.499777
57,252608,1326001.0,Entire home/apt,Valencia,Valenci,3,4.5,2.0,1.0,1.0,67.0,3.0,39.474994,-0.375099,2016-01-05 13:59:13.357779
58,253764,1332880.0,Entire home/apt,Valencia,Valenci,8,4.5,,2.0,2.0,101.0,3.0,39.465816,-0.324356,2016-01-05 14:05:43.866575
59,254669,1337740.0,Entire home/apt,Valencia,Valenci,99,4.5,5.0,3.0,1.0,62.0,,39.462318,-0.388585,2016-01-05 12:14:07.791805
60,260929,140702.0,Private room,Valencia,Valenci,5,5.0,2.0,1.0,,38.0,1.0,39.476857,-0.364222,2016-01-05 13:56:12.187771
61,260935,140702.0,Private room,Valencia,Valenci,64,4.5,2.0,1.0,1.0,35.0,1.0,39.476632,-0.363152,2016-01-05 13:40:18.563838
62,263113,1380544.0,Entire home/apt,Valencia,Valenci,5,5.0,,3.0,1.0,101.0,2.0,39.458692,-0.36254,2016-01-05 11:58:03.144450
63,263749,1268404.0,Private room,Valencia,Valenci,5,5.0,3.0,1.0,,67.0,,39.469081,-0.382734,2016-01-05 13:31:29.937557
64,265340,1391644.0,Entire home/apt,Valencia,Valenci,39,4.5,2.0,1.0,1.0,72.0,2.0,39.462545,-0.374541,2016-01-05 12:59:49.197129
65,269047,1116568.0,Entire home/apt,Valencia,Valenci,42,4.0,,3.0,,168.0,1.0,39.471426,-0.377743,2016-01-05 13:13:56.362054
66,273373,1387923.0,Entire home/apt,Valencia,Valenci,9,4.5,,4.0,2.0,302.0,3.0,39.480821,-0.326537,2016-01-05 13:40:07.851256
67,276455,1444357.0,Private room,Valencia,Valenci,0,,1.0,1.0,2.0,43.0,2.0,39.472727,-0.339928,2016-01-05 12:14:43.887360
68,281499,1467260.0,Entire home/apt,Valencia,Valenci,15,4.5,5.0,1.0,1.0,84.0,2.0,39.463016,-0.378327,2016-01-05 13:49:02.182197
69,288057,1497590.0,Entire home/apt,Valencia,Valenci,10,4.5,3.0,1.0,1.0,50.0,,39.484413,-0.374045,2016-01-05 13:44:53.773804
70,289808,596163.0,Entire home/apt,Valencia,Valenci,2,3.0,4.0,1.0,1.0,36.0,2.0,39.478857,-0.375256,2016-01-05 13:20:41.490784
71,294767,162552.0,Private room,Valencia,Valenci,4,5.0,4.0,1.0,2.0,22.0,2.0,39.475155,-0.356307,2016-01-05 13:51:39.363629
72,298649,909038.0,Private room,Valencia,Valenci,1,5.0,2.0,1.0,1.0,84.0,2.0,39.472125,-0.376534,2016-01-05 12:46:00.619491
73,308525,1504505.0,Entire home/apt,Valencia,Valenci,67,4.5,3.0,1.0,1.0,62.0,2.0,39.474689,-0.386076,2016-01-05 12:51:34.896607
74,313137,1610077.0,Entire home/apt,Valencia,Valenci,5,4.0,4.0,2.0,1.0,45.0,3.0,39.463325,-0.374624,2016-01-05 13:24:06.123039
75,315762,1621661.0,Private room,Valencia,Valenci,1,5.0,4.0,1.0,2.0,90.0,2.0,39.466246,-0.367801,2016-01-05 12:25:21.936060
76,317295,596163.0,Entire home/apt,Valencia,Valenci,6,4.5,4.0,1.0,,87.0,2.0,39.477602,-0.373584,2016-01-05 14:10:06.732432
77,317589,219476.0,Entire home/apt,Valencia,Valenci,43,4.5,5.0,2.0,1.0,50.0,3.0,39.486354,-0.375395,2016-01-05 13:20:53.826162
78,318269,909038.0,Private room,Valencia,Valenci,2,4.5,2.0,1.0,1.0,84.0,2.0,39.472594,-0.378086,2016-01-05 12:39:44.442413
79,318286,909038.0,Private room,Valencia,Valenci,3,5.0,1.0,1.0,1.0,62.0,2.0,39.47304,-0.378107,2016-01-05 12:07:45.920356
80,318291,909038.0,Entire home/apt,Valencia,Valenci,30,4.5,,5.0,2.0,140.0,2.0,39.47323,-0.377733,2016-01-05 13:07:17.238635
81,322857,1652866.0,Entire home/apt,Valencia,Valenci,83,4.5,3.0,1.0,1.0,54.0,2.0,39.477213,-0.381812,2016-01-05 12:13:20.253946
82,323609,1332880.0,Entire home/apt,Valencia,Valenci,4,3.5,,2.0,2.0,90.0,3.0,39.465907,-0.326238,2016-01-05 13:23:53.785301
83,327103,1332880.0,Entire home/apt,Valencia,Valenci,4,5.0,5.0,1.0,1.0,101.0,3.0,39.467634,-0.326437,2016-01-05 12:50:19.740010
84,330468,1480395.0,Private room,Valencia,Valenci,80,4.5,2.0,1.0,2.0,13.0,2.0,39.481088,-0.384251,2016-01-05 12:28:45.555636
85,338751,1720515.0,Entire home/apt,Valencia,Valenci,99,5.0,4.0,2.0,1.0,67.0,2.0,39.474192,-0.384519,2016-01-05 12:15:12.592436
86,340243,1726541.0,Private room,Valencia,Valenci,0,,1.0,1.0,2.0,39.0,1.0,39.478931,-0.351989,2016-01-05 12:41:04.241068
87,341449,1722131.0,Entire home/apt,Valencia,Valenci,5,5.0,3.0,1.0,1.0,50.0,2.0,39.465815,-0.35413,2016-01-05 14:26:25.128058
88,342806,629940.0,Private room,Valencia,Valenci,196,5.0,3.0,1.0,1.0,38.0,2.0,39.475278,-0.377403,2016-01-05 12:28:48.266123
89,345690,535881.0,Private room,Valencia,Valenci,1,,3.0,1.0,,224.0,1.0,39.480545,-0.325254,2016-01-05 13:03:13.919008
90,345709,1409031.0,Entire home/apt,Valencia,Valenci,9,4.0,3.0,1.0,1.0,84.0,2.0,39.478633,-0.381412,2016-01-05 13:02:14.828441
91,346695,1757298.0,Entire home/apt,Valencia,Valenci,155,5.0,4.0,2.0,2.0,69.0,2.0,39.479112,-0.377161,2016-01-05 12:54:46.652277
92,347125,1759642.0,Entire home/apt,Valencia,Valenci,74,4.5,2.0,1.0,1.0,53.0,3.0,39.477192,-0.381178,2016-01-05 12:51:49.872427
93,348464,1765803.0,Private room,Valencia,Valenci,4,5.0,2.0,1.0,1.0,34.0,1.0,39.456991,-0.386359,2016-01-05 12:27:02.158821
94,349904,1409031.0,Entire home/apt,Valencia,Valenci,50,4.5,4.0,2.0,1.0,112.0,2.0,39.478705,-0.380994,2016-01-05 14:04:52.793495
