,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,84,459,Private room,,Padua,118,4.5,5,1.0,1.0,23.0,1.0,45.40725,11.858011,2016-11-08 09:46:44.398322
1,6624,15016,Entire home/apt,,Venezia,42,5.0,6,2.0,2.0,118.0,3.0,45.438452,12.328689,2016-11-08 15:43:49.796824
2,15772,61737,Entire home/apt,,Venezia,13,4.5,2,,,103.0,2.0,45.432902,12.359977,2016-11-07 23:53:44.857217
3,18697,71756,Entire home/apt,,Verona,135,4.5,4,2.0,2.0,47.0,2.0,45.436846,10.999153,2016-11-08 11:14:40.952805
4,27116,116144,Private room,,Venezia,288,5.0,4,,,121.0,1.0,45.432215,12.334112,2016-11-08 00:10:09.083075
5,27963,120497,Private room,,Venezia,189,4.5,3,,,69.0,2.0,45.483845,12.236336,2016-11-08 13:18:52.666149
6,29016,15016,Entire home/apt,,Venezia,7,5.0,4,1.0,1.0,100.0,,45.558401,12.786964,2016-11-08 16:06:42.607641
7,29029,15016,Entire home/apt,,Venezia,9,5.0,6,,,149.0,3.0,45.557223,12.787175,2016-11-08 08:10:36.341288
8,29033,15016,Entire home/apt,,Venezia,3,5.0,6,2.0,2.0,110.0,,45.557883,12.786062,2016-11-07 21:35:34.557073
9,32261,139420,Entire home/apt,,Venezia,88,4.5,2,1.0,1.0,111.0,3.0,45.434513,12.356502,2016-11-08 17:15:02.753886
10,35348,3099473,Entire home/apt,,Venezia,22,4.0,2,,,183.0,,45.429835,12.332063,2016-11-08 08:44:49.642812
11,43903,192026,Entire home/apt,,Belluno,0,,7,,,158.0,5.0,46.119641,12.434294,2016-11-08 11:50:12.681932
12,44527,120215,Entire home/apt,,Venezia,30,5.0,6,3.0,2.0,286.0,2.0,45.447539,12.329181,2016-11-08 06:25:38.479581
13,44998,198581,Entire home/apt,,Venezia,5,2.5,6,,,228.0,5.0,45.438539,12.349588,2016-11-08 17:23:22.550557
14,45415,201459,Private room,,Treviso,154,4.5,3,,,50.0,1.0,45.553381,12.23401,2016-11-08 04:39:03.849657
15,47549,215652,Entire home/apt,,Venezia,77,5.0,5,,,183.0,,45.435409,12.324602,2016-11-07 19:20:11.439990
16,48461,220805,Private room,,Treviso,5,4.5,4,,,74.0,2.0,45.923784,12.205905,2016-11-08 05:27:30.498502
17,53110,246728,Entire home/apt,,Vicenza,21,4.5,5,,,91.0,6.0,45.760521,11.430779,2016-11-08 12:18:10.600257
18,53689,250524,Entire home/apt,,Verona,0,,4,,,74.0,2.0,45.606998,10.720588,2016-11-07 21:36:51.104285
19,54789,257716,Entire home/apt,,Padua,12,5.0,3,1.0,1.0,40.0,2.0,45.411939,11.839805,2016-11-08 03:55:59.771321
20,56687,268967,Entire home/apt,,Venezia,21,4.5,6,2.0,1.0,172.0,3.0,45.445248,12.331661,2016-11-08 07:39:44.183140
21,57256,272407,Entire home/apt,,Venezia,12,4.5,4,2.0,1.0,91.0,6.0,45.456197,12.458408,2016-11-07 22:23:49.707503
22,57429,201459,Private room,,Treviso,160,4.5,3,,,44.0,1.0,45.553875,12.233687,2016-11-08 06:40:56.908743
23,57430,201459,Private room,,Treviso,127,4.5,3,1.0,1.0,44.0,1.0,45.554274,12.234889,2016-11-07 21:47:38.798310
24,58034,277295,Entire home/apt,,Padua,0,,5,2.0,1.0,92.0,7.0,45.324531,11.797761,2016-11-08 10:53:22.814320
25,58206,276783,Private room,,Padua,0,,1,,,57.0,1.0,45.349199,11.865978,2016-11-08 10:51:59.761157
26,60304,290452,Private room,,Venezia,101,5.0,3,,,92.0,,45.443336,12.334833,2016-11-08 13:39:48.644048
27,60490,289615,Entire home/apt,,Venezia,39,4.0,7,2.0,,241.0,,45.435796,12.33954,2016-11-08 06:10:11.769164
28,60498,289615,Entire home/apt,,Venezia,58,4.0,6,,,161.0,,45.437734,12.348336,2016-11-08 00:41:18.124262
29,61714,289023,Private room,,Venezia,192,5.0,2,,,83.0,2.0,45.428173,12.3192,2016-11-08 13:03:11.381075
30,61757,299424,Entire home/apt,,Venezia,2,,6,,,103.0,,45.49529,12.616336,2016-11-08 05:15:29.600084
31,62198,302532,Entire home/apt,,Treviso,13,5.0,4,1.0,1.0,88.0,1.0,45.668698,12.247794,2016-11-08 17:53:30.877173
32,65532,3099473,Entire home/apt,,Venezia,0,,4,,,321.0,2.0,45.430496,12.33247,2016-11-08 09:52:21.963508
33,68957,334601,Entire home/apt,,Venezia,31,3.5,6,2.0,1.0,149.0,,45.440028,12.341013,2016-11-08 03:51:16.295879
34,69877,351965,Private room,,Venezia,4,4.5,3,1.0,1.0,148.0,2.0,45.433798,12.325741,2016-11-08 17:04:46.418715
35,70331,356033,Private room,,Venezia,77,5.0,5,,,79.0,2.0,45.454099,12.176003,2016-11-08 15:56:06.686482
36,71460,365995,Private room,,Venezia,122,4.5,3,,,57.0,2.0,45.492486,12.243483,2016-11-08 00:23:06.189168
37,71870,369617,Entire home/apt,,Venezia,118,4.5,4,2.0,1.0,85.0,3.0,45.429059,12.358204,2016-11-07 21:34:41.301817
