,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,1632,1801,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),36,5.0,2,,,137.0,2.0,45.438396,12.336571,2016-11-20 16:44:50.426221
1,6623,15016,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),123,5.0,4,,,202.0,3.0,45.438233,12.329023,2016-11-20 20:29:17.475702
2,6624,15016,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),42,5.0,6,,,113.0,3.0,45.438452,12.328689,2016-11-20 18:14:58.268162
3,12074,15016,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),142,5.0,4,,,115.0,,45.438272,12.32764,2016-11-20 20:57:18.326343
4,15772,61737,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),13,4.5,2,,,98.0,2.0,45.432902,12.359977,2016-11-20 20:03:23.915448
5,27116,116144,Private room,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),288,5.0,4,,,114.0,1.0,45.432215,12.334112,2016-11-20 16:08:19.818645
6,27574,119219,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),185,4.5,2,,,105.0,3.0,45.440313,12.323135,2016-11-20 17:21:30.062148
7,32261,139420,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),88,4.5,2,,,107.0,3.0,45.434513,12.356502,2016-11-20 21:45:07.341790
8,33934,119219,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),97,4.0,2,,,112.0,3.0,45.444802,12.331212,2016-11-20 16:36:19.603682
9,34342,128519,Private room,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),38,5.0,2,,,109.0,3.0,45.435159,12.348707,2016-11-20 17:02:20.349685
10,35348,3099473,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),22,4.0,2,,,174.0,,45.429835,12.332063,2016-11-20 17:47:28.584675
11,44527,120215,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),30,5.0,6,,,272.0,2.0,45.447539,12.329181,2016-11-20 15:33:59.618897
12,44998,198581,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),5,2.5,6,,,218.0,5.0,45.438539,12.349588,2016-11-20 15:37:31.178425
13,45056,3099473,Entire home/apt,,VENEZIA - MURANO - BURANO (VENEZIA INSULARE),14,4.5,2,,,153.0,2.0,45.430655,12.334332,2016-11-20 18:49:42.163527
