,room_id,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
0,2309,2522,Private room,62,5,2,1,1,45,4,48.202814,16.404353
1,15883,62142,Private room,1,5,2,1,1,96,1,48.241436,16.428118
2,25867,108802,Entire home/apt,39,4,4,1,1,93,2,48.213224,16.327992
3,38756,166239,Entire home/apt,73,5,4,1,1,73,2,48.187376,16.360219
4,38768,166283,Entire home/apt,124,5,5,1,1,62,3,48.218225,16.379255
5,40625,175131,Entire home/apt,34,5,,2,1,90,2,48.185252,16.328515
6,42532,185765,Private room,5,4.5,1,1,1,25,1,48.228562,16.337756
7,43928,192155,Entire home/apt,44,4.5,2,1,1,51,1,48.206214,16.339793
8,44532,195857,Private room,15,5,3,1,0,57,2,48.189309,16.379097
9,51287,166283,Entire home/apt,101,4.5,4,1,1,62,3,48.218514,16.37781
10,62736,305673,Entire home/apt,13,4.5,,3,1.5,204,3,48.225868,16.364453
11,68526,340379,Entire home/apt,118,5,3,1,,76,,48.20541,16.353977
12,69591,166239,Entire home/apt,212,5,4,1,1,57,2,48.188915,16.367217
13,70568,358163,Entire home/apt,7,5,2,1,1,67,3,48.222242,16.424604
14,70637,358842,Private room,72,5,2,1,2,57,2,48.217814,16.380228
15,75471,363315,Entire home/apt,37,5,4,2,1,78,,48.222274,16.315398
16,75500,400857,Entire home/apt,6,4,4,2,1,96,4,48.235002,16.366144
17,78416,421075,Entire home/apt,97,4.5,4,1,1,62,1,48.199519,16.33075
18,84310,460708,Entire home/apt,9,5,,2,2.5,204,2,48.210691,16.388972
19,90247,489611,Entire home/apt,205,5,4,1,1.5,88,1,48.204136,16.35122
20,107439,518644,Entire home/apt,49,4.5,5,1,1,62,1,48.194027,16.359913
21,109679,175131,Entire home/apt,19,5,4,1,1,67,2,48.184447,16.328975
22,111059,569644,Entire home/apt,42,5,4,1,1,66,3,48.219991,16.333037
23,114505,175131,Entire home/apt,6,5,4,1,,67,2,48.18479,16.326199
24,114953,562563,Entire home/apt,3,4.5,3,1,1,44,5,48.260695,16.400705
25,119627,341923,Entire home/apt,9,4,5,1,1,66,2,48.221552,16.404405
26,121026,608240,Entire home/apt,84,5,3,1,1,79,,48.216705,16.391484
27,125683,624511,Entire home/apt,24,4.5,2,1,,73,2,48.218533,16.403071
28,131628,647465,Entire home/apt,0,,4,1,1,68,3,48.216863,16.309793
29,138264,675182,Entire home/apt,0,,4,1,1,102,,48.223159,16.318071
30,145569,704670,Entire home/apt,90,4.5,,3,1,91,,48.1897,16.374659
31,150666,358163,Entire home/apt,14,5,3,1,1,67,3,48.188736,16.320862
32,153704,739130,Entire home/apt,5,4,,1,1.5,77,2,48.255909,16.400175
33,153988,739130,Entire home/apt,34,4.5,3,1,1,49,2,48.215327,16.348386
34,154191,741649,Entire home/apt,44,4.5,5,1,1,85,2,48.189138,16.350925
35,154208,741649,Entire home/apt,6,5,3,1,1,74,2,48.191822,16.355778
36,155077,704670,Entire home/apt,58,5,4,1,1,78,1,48.209329,16.393509
37,155079,704670,Entire home/apt,24,4.5,3,0,1,68,,48.202633,16.344247
38,155762,748953,Entire home/apt,2,4,2,1,1,86,3,48.219742,16.368973
39,158171,759129,Entire home/apt,91,5,2,1,1,79,2,48.19411,16.36723
40,160343,775355,Private room,221,5,2,1,1,66,3,48.21411,16.370721
41,160661,769150,Entire home/apt,16,5,2,1,1.5,62,2,48.216204,16.346142
42,160715,769731,Private room,71,5,2,1,1,40,1,48.184265,16.36348
43,161446,772475,Entire home/apt,5,5,2,1,1,55,3,48.221646,16.385604
44,163792,651150,Entire home/apt,11,5,4,1,1,68,3,48.180587,16.417784
45,165370,788634,Entire home/apt,17,4.5,4,1,1,112,3,48.207116,16.376072
46,165757,790201,Entire home/apt,24,5,4,1,1,107,4,48.201916,16.351674
47,167913,800274,Entire home/apt,40,5,5,2,1,57,2,48.223698,16.361656
48,168717,305673,Entire home/apt,5,4,4,2,1,112,3,48.227028,16.363884
49,169196,806216,Entire home/apt,14,4,3,1,1,64,3,48.189587,16.349969
50,169672,808772,Private room,182,5,1,1,,40,2,48.196331,16.363754
51,169752,809077,Entire home/apt,1,5,2,1,1,85,2,48.193946,16.358775
52,169824,809077,Entire home/apt,15,4.5,,3,1,204,1,48.188289,16.369487
53,169852,809077,Entire home/apt,6,5,5,1,1,124,1,48.193809,16.360687
54,169937,809077,Entire home/apt,1,4,5,2,1,124,1,48.191526,16.366014
55,170561,813654,Entire home/apt,5,4.5,3,1,1,55,7,48.226557,16.369986
56,171457,818118,Private room,0,,4,1,1,104,14,48.2262,16.37194
57,171835,495496,Entire home/apt,103,4.5,4,2,1,91,3,48.194533,16.374978
58,172358,704670,Entire home/apt,35,5,3,0,1,68,,48.202666,16.344129
59,172482,823004,Private room,3,4.5,1,1,1,34,1,48.213728,16.314342
60,172530,809077,Entire home/apt,41,5,,3,1.5,164,1,48.195685,16.359294
61,173579,807722,Entire home/apt,2,5,3,2,1,68,5,48.183012,16.321775
62,174552,738649,Private room,12,4.5,2,1,0.5,37,4,48.189297,16.377927
63,174701,834598,Entire home/apt,6,4.5,2,1,1,96,3,48.232541,16.371685
64,175841,840554,Private room,1,5,1,1,1,33,5,48.204263,16.343055
65,176314,843120,Entire home/apt,29,4.5,2,1,1,101,4,48.206736,16.377211
66,177354,108802,Entire home/apt,25,4,4,1,,88,2,48.214418,16.335838
67,177593,847655,Entire home/apt,5,4.5,4,1,1,146,1,48.2089,16.391733
68,177943,704670,Entire home/apt,61,4.5,3,0,1,68,,48.203112,16.343339
69,179728,268894,Entire home/apt,19,5,,2,2,112,,48.217666,16.386934
70,179857,861392,Entire home/apt,27,4.5,,3,1,101,2,48.227605,16.370158
71,182997,877043,Entire home/apt,22,4.5,2,1,1,62,,48.18043,16.342896
72,190751,809077,Entire home/apt,10,4.5,3,1,,147,2,48.201546,16.366663
73,194403,195857,Private room,17,4.5,2,1,0,68,2,48.190639,16.378535
74,194410,195857,Private room,5,5,2,1,0,34,2,48.18903,16.37877
75,194418,195857,Private room,1,4.5,2,1,0,45,1,48.188624,16.377821
76,194427,195857,Private room,7,4.5,2,1,1,45,1,48.190591,16.378524
77,194437,195857,Private room,15,4.5,3,1,0,57,2,48.189929,16.378695
78,194442,195857,Private room,6,4.5,2,1,1,57,1,48.189973,16.378564
79,197787,675182,Entire home/apt,0,,3,1,1,91,,48.22394,16.317229
80,197796,675182,Entire home/apt,0,,3,1,1,90,,48.224504,16.318373
81,197809,675182,Entire home/apt,1,,2,1,1,79,,48.223299,16.318371
82,197822,675182,Entire home/apt,0,,2,1,1,79,,48.222485,16.316986
83,197827,675182,Entire home/apt,0,,2,1,1,90,,48.222983,16.316965
84,197831,675182,Private room,0,,4,1,1,102,,48.222827,16.316792
