,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,9260,23064,Entire home/apt,,Willis Street-Cambridge Terrace,60,4.5,5,2.0,1.0,165.0,2.0,-41.294479,174.777726,2016-08-19 23:09:33.956966
1,59330,282797,Shared room,,Brooklyn,79,4.5,1,1.0,1.0,30.0,1.0,-41.302131,174.762782,2016-08-19 23:32:24.867829
2,135565,664341,Private room,,Berhampore East,54,5.0,2,1.0,,60.0,2.0,-41.321057,174.778814,2016-08-19 23:48:44.454658
3,156739,753317,Private room,,Karori North,21,5.0,6,1.0,,133.0,1.0,-41.280698,174.747632,2016-08-19 22:45:26.486011
4,198664,691359,Private room,,Newtown West,30,4.5,2,1.0,1.0,41.0,1.0,-41.314943,174.774682,2016-08-19 23:30:32.356271
5,265038,1390423,Entire home/apt,,Melrose-Houghton Bay-Southgate,6,4.5,4,2.0,1.0,165.0,1.0,-41.339627,174.789968,2016-08-19 22:44:07.612797
6,300564,1548149,Private room,,Island Bay West,33,5.0,2,1.0,1.0,90.0,1.0,-41.32861,174.771938,2016-08-19 22:54:39.864188
7,317063,1627296,Private room,,Lyall Bay-Airport-Moa Point,126,5.0,2,1.0,1.0,66.0,1.0,-41.321416,174.791362,2016-08-19 23:57:57.138228
8,345773,1580002,Private room,,Ngaio South,3,5.0,1,1.0,,40.0,1.0,-41.247146,174.780403,2016-08-19 23:22:40.734669
9,357727,1810436,Shared room,,Berhampore West,0,,2,1.0,,35.0,14.0,-41.318498,174.776973,2016-08-19 23:02:51.818248
10,391215,1956566,Entire home/apt,,Lambton,2,,2,0.0,1.0,60.0,3.0,-41.284174,174.774192,2016-08-19 23:42:37.478677
11,503869,1627296,Private room,,Kilbirnie West-Hataitai South,63,5.0,2,1.0,1.0,66.0,1.0,-41.320649,174.792764,2016-08-19 23:44:09.260973
12,576198,1627296,Private room,,Lyall Bay-Airport-Moa Point,30,5.0,2,1.0,2.0,66.0,1.0,-41.321232,174.791313,2016-08-19 22:49:49.796987
13,587733,2833630,Entire home/apt,,Willis Street-Cambridge Terrace,160,5.0,5,2.0,1.0,172.0,2.0,-41.295692,174.772714,2016-08-19 23:39:50.189172
14,634670,3161035,Private room,,Willis Street-Cambridge Terrace,122,4.5,2,1.0,,68.0,2.0,-41.291171,174.779541,2016-08-19 23:29:36.761448
15,764185,4028614,Entire home/apt,,Willis Street-Cambridge Terrace,75,5.0,5,2.0,,172.0,1.0,-41.289389,174.776542,2016-08-19 23:42:45.273048
16,765703,4037762,Entire home/apt,,Willis Street-Cambridge Terrace,103,5.0,4,1.0,1.0,172.0,1.0,-41.293953,174.776604,2016-08-19 23:15:07.281792
17,794306,4184690,Entire home/apt,,Willis Street-Cambridge Terrace,97,5.0,3,1.0,1.0,148.0,2.0,-41.294286,174.776757,2016-08-19 23:28:14.877398
18,798564,618828,Private room,,Aro Street-Nairn Street,35,4.5,2,1.0,1.0,41.0,1.0,-41.298292,174.765285,2016-08-19 22:58:43.789262
19,860899,4509953,Private room,,Mt Victoria West,12,4.5,1,1.0,1.0,37.0,7.0,-41.294515,174.788227,2016-08-20 00:06:53.488789
20,884028,4681658,Entire home/apt,,Mt Cook-Wallace Street,53,5.0,2,1.0,1.0,94.0,2.0,-41.309728,174.770039,2016-08-19 23:19:26.819806
21,885647,3171106,Entire home/apt,,Aro Street-Nairn Street,2,,4,2.0,1.0,45.0,2.0,-41.29623,174.767007,2016-08-19 23:59:24.279391
22,954154,5182084,Private room,,Brooklyn,145,5.0,2,1.0,2.0,68.0,1.0,-41.306014,174.767175,2016-08-19 22:49:54.816704
23,962267,3464417,Entire home/apt,,Mt Victoria West,23,4.5,3,2.0,1.0,141.0,3.0,-41.298021,174.785575,2016-08-19 23:00:47.608944
24,985539,5407330,Private room,,Lyall Bay-Airport-Moa Point,9,4.0,2,1.0,,56.0,1.0,-41.337168,174.810458,2016-08-20 00:01:37.806426
25,985808,694645,Entire home/apt,,Island Bay West,11,4.5,3,2.0,1.0,125.0,10.0,-41.334536,174.769329,2016-08-19 22:46:40.178760
26,1069600,5884971,Private room,,Mt Victoria West,10,4.5,1,1.0,2.0,57.0,4.0,-41.293472,174.791276,2016-08-20 00:04:52.203550
27,1069603,5884971,Private room,,Oriental Bay,16,5.0,2,1.0,2.0,57.0,4.0,-41.291664,174.790816,2016-08-19 22:49:42.908485
28,1074846,5182084,Private room,,Brooklyn,129,4.5,2,1.0,2.0,68.0,1.0,-41.305034,174.766225,2016-08-20 00:03:59.194980
29,1122020,5182084,Private room,,Brooklyn,27,5.0,4,1.0,2.0,135.0,1.0,-41.305069,174.767127,2016-08-19 23:05:09.767421
30,1135047,6226614,Private room,,Wadestown,42,4.5,3,1.0,1.0,87.0,2.0,-41.259296,174.778834,2016-08-19 23:49:41.587846
31,1136045,6232148,Private room,,Te Kainga,226,4.5,2,1.0,1.0,44.0,1.0,-41.252567,174.800711,2016-08-19 23:26:46.538603
32,1156851,1913521,Entire home/apt,,Lambton,21,4.5,2,0.0,1.0,90.0,2.0,-41.284437,174.774823,2016-08-20 00:05:21.840905
33,1180675,6159095,Entire home/apt,,Willis Street-Cambridge Terrace,141,5.0,3,1.0,1.0,90.0,,-41.296188,174.782319,2016-08-19 22:54:08.035609
34,1190241,6232148,Private room,,Te Kainga,201,4.5,2,1.0,,42.0,1.0,-41.253459,174.801149,2016-08-20 00:08:03.639483
35,1252812,3999484,Entire home/apt,,Mt Victoria West,116,5.0,2,1.0,1.0,135.0,,-41.293732,174.796177,2016-08-19 23:42:55.937908
36,1253455,6829571,Entire home/apt,,Lambton,1,,2,1.0,1.0,112.0,5.0,-41.286272,174.775337,2016-08-19 22:53:30.549533
37,1392195,4841597,Private room,,Mt Victoria West,82,4.5,2,1.0,1.0,56.0,2.0,-41.298292,174.785125,2016-08-19 23:50:29.010233
38,1515808,8093633,Entire home/apt,,Wilton,58,4.5,3,1.0,1.0,101.0,1.0,-41.271494,174.754725,2016-08-19 23:54:26.808808
39,1607581,8562985,Private room,,Kilbirnie West-Hataitai South,73,4.5,2,1.0,2.0,37.0,1.0,-41.308903,174.797098,2016-08-19 23:50:21.660214
40,1629345,8659700,Private room,,Mt Victoria West,35,4.5,2,1.0,1.0,64.0,2.0,-41.297384,174.78806,2016-08-19 23:41:47.089370
41,1699993,6829571,Entire home/apt,,Lambton,1,,6,3.0,2.0,263.0,3.0,-41.286399,174.774799,2016-08-19 23:08:50.550254
42,1700906,6266312,Private room,,Lyall Bay-Airport-Moa Point,34,5.0,2,1.0,,60.0,1.0,-41.326005,174.793833,2016-08-20 00:03:39.704880
43,1709140,3589294,Private room,,Mt Victoria West,47,5.0,2,1.0,1.0,66.0,2.0,-41.293623,174.785936,2016-08-19 23:02:18.475860
44,1714847,9044066,Private room,,Ngaio South,10,5.0,2,1.0,,47.0,1.0,-41.247191,174.779861,2016-08-19 23:25:02.432695
45,1725988,282797,Private room,,Brooklyn,46,4.5,2,1.0,1.0,45.0,2.0,-41.301315,174.761256,2016-08-19 22:46:47.321309
46,1732644,9128585,Private room,,Karaka Bay-Worser Bay,7,5.0,2,1.0,1.0,105.0,1.0,-41.31254,174.827857,2016-08-19 23:44:57.871351
47,1742379,448510,Entire home/apt,,Aro Street-Nairn Street,72,4.5,4,2.0,1.0,172.0,2.0,-41.299322,174.770264,2016-08-19 23:26:49.781610
48,1769800,9297730,Entire home/apt,,Kelburn,38,5.0,4,2.0,2.0,599.0,1.0,-41.284982,174.7645,2016-08-19 22:57:27.407594
49,1803502,9455152,Private room,,Mitchelltown,15,4.5,5,1.0,1.0,68.0,1.0,-41.295828,174.755192,2016-08-19 22:56:05.641756
50,1881036,448510,Private room,,Mt Cook-Wallace Street,49,5.0,2,1.0,1.0,90.0,2.0,-41.29986,174.770936,2016-08-19 22:54:21.465380
51,1939538,9770596,Private room,,Newtown West,43,5.0,2,1.0,1.0,52.0,2.0,-41.31539,174.773422,2016-08-19 23:25:53.110651
52,1940978,1961241,Private room,,Happy Valley-Owhiro Bay,54,5.0,2,1.0,1.0,84.0,1.0,-41.346349,174.754935,2016-08-19 23:16:11.963763
53,1993910,4470018,Entire home/apt,,Willis Street-Cambridge Terrace,48,4.5,2,1.0,1.0,82.0,3.0,-41.292912,174.777111,2016-08-19 23:56:51.427335
54,2021155,7326743,Entire home/apt,,Mt Victoria West,3,5.0,2,1.0,1.0,90.0,5.0,-41.299338,174.786924,2016-08-19 23:20:15.702075
55,2038257,10456670,Entire home/apt,,Island Bay East,4,5.0,5,3.0,1.0,135.0,2.0,-41.337543,174.775959,2016-08-19 22:49:04.959917
56,2052343,3153235,Entire home/apt,,Aro Street-Nairn Street,4,4.5,5,3.0,1.0,105.0,2.0,-41.298714,174.770609,2016-08-19 23:23:21.832576
57,2090013,10665835,Private room,,Makara-Ohariu,19,4.5,2,1.0,1.0,25.0,2.0,-41.339968,174.751569,2016-08-19 23:35:59.536880
58,2120511,10813189,Private room,,Hataitai North,17,4.5,1,1.0,1.0,53.0,1.0,-41.302423,174.796621,2016-08-19 23:49:37.651402
59,2130716,10870641,Entire home/apt,,Seatoun,6,5.0,5,2.0,1.0,179.0,3.0,-41.326233,174.829596,2016-08-19 23:57:19.525008
60,2178442,5092133,Entire home/apt,,Northland,3,5.0,2,0.0,1.0,53.0,5.0,-41.282133,174.75398,2016-08-19 22:59:31.534198
61,2258253,485424,Entire home/apt,,Kilbirnie West-Hataitai South,1,,4,1.0,1.0,135.0,2.0,-41.314655,174.793127,2016-08-19 23:26:05.150106
62,2293049,962345,Entire home/apt,,Kilbirnie West-Hataitai South,2,,6,3.0,1.0,172.0,3.0,-41.320578,174.792837,2016-08-19 23:53:24.873281
63,2326500,11248369,Private room,,Hataitai North,46,4.5,2,1.0,1.0,60.0,1.0,-41.298818,174.792704,2016-08-19 23:14:30.231606
64,2331777,618828,Private room,,Aro Street-Nairn Street,51,4.5,2,1.0,1.0,40.0,1.0,-41.297362,174.762878,2016-08-19 23:12:55.767294
65,2333093,11916932,Private room,,Kelburn,13,5.0,2,1.0,1.0,67.0,1.0,-41.285885,174.760989,2016-08-19 23:01:20.689794
66,2351906,12010521,Private room,,Willis Street-Cambridge Terrace,64,4.5,2,1.0,2.0,67.0,3.0,-41.292693,174.780221,2016-08-19 23:55:37.717690
67,2352266,12011248,Private room,,Awarua,19,5.0,2,1.0,1.0,41.0,1.0,-41.251116,174.770368,2016-08-20 00:02:47.450404
68,2368682,6136612,Private room,,Seatoun,29,4.5,2,1.0,1.0,53.0,2.0,-41.335305,174.822875,2016-08-19 22:59:40.809379
69,2374373,12130832,Entire home/apt,,Seatoun,1,,8,3.0,2.0,297.0,3.0,-41.338572,174.823109,2016-08-19 22:57:35.705866
70,2396223,2191328,Private room,,Karori South,4,5.0,1,1.0,1.0,27.0,2.0,-41.289219,174.730245,2016-08-19 23:26:11.851061
71,2442098,12275779,Entire home/apt,,Aro Street-Nairn Street,4,5.0,2,1.0,1.0,119.0,2.0,-41.295895,174.764823,2016-08-19 23:28:40.417704
72,2455564,5027045,Private room,,Awarua,34,5.0,2,1.0,1.0,57.0,1.0,-41.244132,174.776052,2016-08-19 23:07:55.386253
73,2473093,6794193,Entire home/apt,,Roseneath,2,,6,3.0,1.0,206.0,2.0,-41.293212,174.79926,2016-08-19 23:57:48.610895
74,2502484,12809821,Entire home/apt,,Mt Victoria West,37,5.0,2,1.0,1.0,142.0,1.0,-41.298925,174.78467,2016-08-19 23:45:33.066384
75,2560965,13112109,Private room,,Karori Park,28,4.0,2,1.0,1.0,37.0,1.0,-41.284686,174.718011,2016-08-19 22:44:12.080455
76,2565877,1397714,Entire home/apt,,Rangoon Heights,25,4.5,6,4.0,1.0,142.0,3.0,-41.246262,174.807703,2016-08-19 23:47:44.564205
