,room_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,36319,156128,Private room,Glattfelden,Glattfelde,10,5.0,3.0,1.0,,72.0,1.0,47.580016,8.495719,2016-01-11 07:47:33.199538
1,44071,192979,Private room,Z�rich,Z�ric,74,5.0,2.0,1.0,1.0,72.0,1.0,47.38573,8.490325,2016-01-11 08:56:11.428560
2,51890,239422,Entire home/apt,Gebenstorf,Gebenstor,8,5.0,,2.0,2.0,98.0,1.0,47.478704,8.228418,2016-01-11 07:56:23.706342
3,65750,321408,Private room,Lucerne,Lucern,165,4.5,,1.0,,78.0,2.0,47.058744,8.309439,2016-01-11 08:49:40.738583
4,71315,364415,Entire home/apt,Zurich,Zuric,141,4.5,5.0,2.0,1.0,98.0,1.0,47.374082,8.51689,2016-01-11 08:54:26.437837
5,73282,377532,Entire home/apt,Zurich,Zuric,30,5.0,4.0,1.0,1.0,135.0,1.0,47.373738,8.519572,2016-01-11 07:34:36.537385
6,81784,444222,Private room,Zurich,Zuric,70,5.0,2.0,1.0,1.0,123.0,1.0,47.375798,8.535044,2016-01-11 08:57:58.628102
7,93014,499703,Entire home/apt,Wut�schingen,Wut�schinge,34,4.5,5.0,2.0,,51.0,3.0,47.644131,8.357392,2016-01-11 08:59:47.516660
8,119042,601265,Private room,Z�rich,Z�ric,127,5.0,1.0,1.0,1.0,67.0,2.0,47.40851,8.587095,2016-01-11 07:47:23.548320
9,124460,620454,Private room,Maur,Mau,46,4.5,3.0,1.0,,37.0,2.0,47.343114,8.669702,2016-01-11 08:59:18.419847
10,127585,631766,Private room,Stein am Rhein,Stein am Rhei,5,5.0,3.0,1.0,,72.0,1.0,47.661558,8.869023,2016-01-11 09:03:26.122193
11,131110,631766,Private room,Stein am Rhein,Stein am Rhei,3,5.0,3.0,1.0,,72.0,1.0,47.659774,8.868619,2016-01-11 07:50:42.642697
12,142372,691660,Private room,Zurich,Zuric,73,5.0,1.0,1.0,,64.0,5.0,47.385312,8.500321,2016-01-11 07:57:36.704603
13,145230,620454,Entire home/apt,Maur,Mau,8,3.5,,1.0,,57.0,4.0,47.341059,8.668584,2016-01-11 07:38:42.871130
14,150081,161731,Private room,Wernetshausen,Wernetshause,8,4.0,7.0,1.0,,62.0,1.0,47.292889,8.870266,2016-01-11 08:07:09.971125
15,178448,854016,Private room,Zurich,Zuric,7,5.0,1.0,1.0,1.0,57.0,10.0,47.365652,8.527528,2016-01-11 08:39:37.274523
16,189891,803942,Private room,Zurich,Zuric,30,5.0,2.0,1.0,1.0,64.0,2.0,47.350408,8.5963,2016-01-11 07:53:58.200334
17,190753,921636,Private room,Wallisellen,Walliselle,2,5.0,2.0,1.0,,78.0,7.0,47.406539,8.606295,2016-01-11 08:24:59.844002
18,222565,1155866,Private room,Zurich,Zuric,100,4.5,4.0,1.0,1.0,78.0,2.0,47.334634,8.541171,2016-01-11 08:19:49.335035
19,227039,1184427,Entire home/apt,Zurich,Zuric,16,5.0,,2.0,,400.0,4.0,47.389906,8.518301,2016-01-11 08:16:43.027214
20,256759,1219996,Private room,Zurich,Zuric,3,5.0,2.0,1.0,,160.0,1.0,47.379606,8.525008,2016-01-11 08:33:11.576097
21,256772,1219996,Private room,Zurich,Zuric,4,4.5,3.0,1.0,1.0,160.0,1.0,47.378101,8.523386,2016-01-11 08:11:36.185764
22,269620,1320113,Entire home/apt,Zurich,Zuric,4,5.0,5.0,3.0,2.0,155.0,4.0,47.382687,8.52985,2016-01-11 08:52:00.041323
23,272841,1427927,Private room,Z�rich,Z�ric,233,4.5,1.0,1.0,1.0,74.0,1.0,47.38326,8.527182,2016-01-11 08:52:08.260402
24,274109,1433577,Private room,Zurich,Zuric,2,5.0,2.0,1.0,1.0,52.0,10.0,47.409038,8.531491,2016-01-11 08:50:07.759120
25,283737,1477771,Entire home/apt,Zurich,Zuric,82,4.5,4.0,2.0,1.0,155.0,3.0,47.372841,8.543237,2016-01-11 08:11:22.359725
26,284400,1483482,Entire home/apt,Z�rich,Z�ric,2,4.0,4.0,2.0,1.0,104.0,3.0,47.374334,8.511425,2016-01-11 08:34:53.760030
27,323510,212430,Private room,Zurich,Zuric,127,5.0,1.0,1.0,,72.0,2.0,47.362518,8.568214,2016-01-11 08:23:30.697085
28,349575,1770894,Entire home/apt,Wut�schingen,Wut�schinge,0,,,5.0,1.0,54.0,3.0,47.646447,8.344313,2016-01-11 08:18:15.969471
29,378499,1902875,Private room,Eschlikon-Wallenwil,Eschlikon-Wallenwi,2,5.0,3.0,1.0,1.0,43.0,1.0,47.459953,8.950691,2016-01-11 08:14:44.839756
30,380506,1908965,Private room,Zurich,Zuric,189,4.5,2.0,1.0,1.0,52.0,1.0,47.386224,8.53023,2016-01-11 07:54:48.167270
31,418738,161731,Private room,Hinwil,Hinwi,0,,3.0,1.0,0.0,52.0,1.0,47.290572,8.869397,2016-01-11 08:27:04.058990
32,425996,1976724,Private room,Zurich,Zuric,72,4.5,2.0,1.0,1.0,82.0,2.0,47.376023,8.510156,2016-01-11 08:37:38.594064
33,434784,1509492,Entire home/apt,Zurich,Zuric,14,4.5,2.0,1.0,1.0,113.0,3.0,47.373439,8.518441,2016-01-11 08:20:21.730796
34,448344,1986518,Private room,Zurich,Zuric,16,4.5,,1.0,1.0,52.0,1.0,47.392513,8.538286,2016-01-11 07:33:25.434198
35,453602,1986518,Entire home/apt,Zurich,Zuric,7,4.5,,4.0,1.0,88.0,1.0,47.392537,8.539921,2016-01-11 08:07:18.349125
36,478764,2371495,Private room,Zurich,Zuric,53,4.5,3.0,1.0,1.0,87.0,1.0,47.383378,8.528108,2016-01-11 07:34:41.012047
37,535873,2633474,Entire home/apt,Zurich,Zuric,14,5.0,4.0,2.0,,293.0,4.0,47.371216,8.527402,2016-01-11 07:37:04.471612
38,535890,2633489,Private room,Oberwil-Lieli,Oberwil-Liel,102,4.5,2.0,1.0,1.0,52.0,2.0,47.341565,8.39447,2016-01-11 08:15:09.977615
39,551321,2709967,Entire home/apt,Zurich,Zuric,21,5.0,2.0,1.0,2.0,113.0,4.0,47.370083,8.513676,2016-01-11 08:51:01.652550
40,563854,2772601,Private room,Wallisellen,Walliselle,54,5.0,1.0,1.0,,67.0,1.0,47.415225,8.590244,2016-01-11 08:45:01.868478
41,574264,2826108,Entire home/apt,Zurich,Zuric,40,5.0,,3.0,,290.0,3.0,47.354064,8.578852,2016-01-11 08:47:58.772403
42,579314,1578438,Private room,Zurich,Zuric,11,4.5,2.0,1.0,,155.0,3.0,47.367295,8.532454,2016-01-11 08:56:29.204658
43,579536,2850451,Private room,Zurich,Zuric,170,5.0,2.0,1.0,1.0,71.0,1.0,47.413566,8.547995,2016-01-11 08:49:57.995242
44,582946,44391,Private room,Zurich,Zuric,13,5.0,1.0,1.0,1.0,98.0,13.0,47.377949,8.557809,2016-01-11 09:01:59.842383
45,592093,2769489,Private room,Wagenhausen,Wagenhause,91,4.5,4.0,1.0,2.0,41.0,1.0,47.661147,8.844536,2016-01-11 07:59:50.915815
46,602293,2978500,Private room,Zurich,Zuric,26,4.5,1.0,1.0,1.0,78.0,1.0,47.393762,8.524837,2016-01-11 08:40:26.555867
47,606954,2659673,Private room,Zurich,Zuric,3,5.0,2.0,1.0,1.0,31.0,14.0,47.368667,8.49841,2016-01-11 08:31:39.439238
48,610348,3026473,Entire home/apt,Zurich,Zuric,25,4.5,,3.0,1.0,231.0,3.0,47.406495,8.553515,2016-01-11 07:42:01.170900
49,612643,3026473,Entire home/apt,Rekingen,Rekinge,0,,,3.0,1.0,214.0,3.0,47.568695,8.322491,2016-01-11 08:53:52.151895
50,620130,3072679,Entire home/apt,Zurich,Zuric,0,,4.0,1.0,1.0,192.0,3.0,47.392325,8.52876,2016-01-11 08:25:25.609664
51,625557,3103889,Private room,Neuenkirch,Neuenkirc,27,4.5,,1.0,1.0,82.0,3.0,47.101042,8.200938,2016-01-11 07:53:23.226595
52,628426,3121395,Private room,Rudolfstetten-Friedlisberg,Rudolfstetten-Friedlisber,2,3.5,4.0,1.0,1.0,81.0,1.0,47.368374,8.375414,2016-01-11 08:04:33.495664
53,638127,3183727,Private room,Villigen,Villige,20,4.5,3.0,1.0,2.0,51.0,1.0,47.526969,8.215068,2016-01-11 08:57:05.304061
54,638998,3177437,Private room,Zurich,Zuric,19,4.5,,1.0,2.0,104.0,1.0,47.369634,8.554588,2016-01-11 08:57:11.723090
55,648399,581216,Private room,Zurich,Zuric,1,5.0,2.0,1.0,1.0,83.0,2.0,47.355337,8.556973,2016-01-11 08:35:33.214070
56,649565,1428562,Private room,Aarau,Aara,17,4.5,4.0,1.0,1.0,83.0,1.0,47.393143,8.044154,2016-01-11 07:44:30.617573
57,650543,3267292,Entire home/apt,Baden,Bade,2,4.5,4.0,2.0,1.0,155.0,7.0,47.468661,8.299185,2016-01-11 08:32:45.037790
58,653475,2769888,Private room,Zurich,Zuric,240,4.5,2.0,1.0,1.0,66.0,1.0,47.368033,8.495798,2016-01-11 07:43:40.843766
59,656435,2410394,Private room,Winterthur,Winterthu,33,5.0,4.0,1.0,1.0,104.0,1.0,47.501118,8.730731,2016-01-11 07:36:24.131738
60,690267,3526115,Entire home/apt,Kanton Z�rich,Kanton Z�ric,30,5.0,2.0,1.0,1.0,93.0,5.0,47.317284,8.532712,2016-01-11 08:44:50.929717
61,693082,3545290,Private room,Zurich,Zuric,101,4.5,2.0,1.0,1.0,62.0,2.0,47.366058,8.520336,2016-01-11 09:01:07.047542
62,697430,3573101,Entire home/apt,Siglistorf,Siglistor,6,4.5,,2.0,2.0,59.0,1.0,47.542055,8.377492,2016-01-11 08:39:42.969967
63,704466,266345,Private room,Zurich,Zuric,13,4.5,2.0,1.0,,62.0,1.0,47.414642,8.508823,2016-01-11 08:26:33.699300
64,706997,3072679,Entire home/apt,Zurich,Zuric,3,4.0,4.0,1.0,1.0,171.0,3.0,47.393704,8.529982,2016-01-11 08:44:30.127775
65,709774,2783365,Private room,Dietikon,Dietiko,42,5.0,2.0,1.0,,57.0,1.0,47.405998,8.403424,2016-01-11 07:53:14.635194
66,709865,3653025,Entire home/apt,Baden,Bade,15,5.0,,1.0,1.0,155.0,6.0,47.472294,8.311023,2016-01-11 08:40:50.324336
67,731957,1306498,Entire home/apt,Zurich,Zuric,33,4.5,2.0,1.0,1.0,70.0,2.0,47.368773,8.501264,2016-01-11 07:35:22.843412
68,733257,3821051,Entire home/apt,Zurich,Zuric,4,5.0,4.0,1.0,1.0,155.0,5.0,47.412641,8.547686,2016-01-11 08:06:49.093328
69,740193,2769888,Entire home/apt,Zurich,Zuric,15,4.5,,3.0,1.0,259.0,2.0,47.364119,8.496018,2016-01-11 08:02:53.363915
70,743035,3891818,Entire home/apt,Uitikon,Uitiko,25,4.0,,1.0,1.0,259.0,1.0,47.35286,8.48769,2016-01-11 08:18:37.887072
71,751660,3952536,Entire home/apt,Zurich,Zuric,45,5.0,2.0,1.0,1.0,109.0,2.0,47.375088,8.515912,2016-01-11 08:49:45.283210
72,772956,4078579,Private room,Maur,Mau,40,5.0,2.0,1.0,,44.0,5.0,47.359814,8.626612,2016-01-11 07:44:08.440018
73,779635,741479,Private room,Zurich,Zuric,0,,4.0,1.0,1.0,82.0,7.0,47.377512,8.527686,2016-01-11 07:39:29.901739
74,780976,1627325,Private room,Zurich,Zuric,25,5.0,2.0,1.0,1.0,83.0,2.0,47.377568,8.526415,2016-01-11 08:26:25.813993
75,801073,1104450,Entire home/apt,Zurich,Zuric,14,4.0,,1.0,1.0,145.0,1.0,47.342781,8.536988,2016-01-11 07:56:04.138455
76,808199,4231565,Entire home/apt,Zurich,Zuric,21,5.0,3.0,1.0,1.0,117.0,5.0,47.38295,8.5291,2016-01-11 07:32:05.306687
77,816887,1155866,Private room,Z�rich,Z�ric,10,4.5,3.0,1.0,3.0,82.0,,47.336025,8.540939,2016-01-11 08:28:36.053186
78,850843,4280162,Entire home/apt,Zurich,Zuric,75,5.0,2.0,1.0,1.0,92.0,5.0,47.370534,8.525137,2016-01-11 08:02:27.092258
79,878820,2311267,Private room,Zurich,Zuric,37,5.0,2.0,1.0,,54.0,1.0,47.369466,8.521123,2016-01-11 08:37:31.736776
80,889529,1003566,Private room,Zurich,Zuric,123,4.5,2.0,1.0,1.0,56.0,3.0,47.35513,8.525536,2016-01-11 08:47:19.522779
81,907535,4861292,Private room,Zurich,Zuric,17,5.0,1.0,1.0,1.0,67.0,5.0,47.405966,8.534285,2016-01-11 08:11:12.650274
82,920697,4947967,Private room,Rudolfstetten-Friedlisberg,Rudolfstetten-Friedlisber,1,4.0,1.0,1.0,,30.0,6.0,47.3677,8.37835,2016-01-11 07:37:57.472481
83,943218,1425263,Private room,Zurich,Zuric,54,5.0,2.0,1.0,,78.0,2.0,47.358002,8.585108,2016-01-11 08:24:53.641654
